policy_label,observation_dim,direction_mode,surface_profile,env,profile_seed,outcome,passes,quality_ok,safety_ok,control_steps,contact_steps,sensor_fault_steps,force_action_mean,feed_action_mean,gu_before,gu_final,ra_before_um,ra_final_um,rz_before_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_min_um,temperature_peak_c
gate_e4_actor5,14,same_xx,factory_prepolish,5,16097,success,1,True,True,2670,2573,0,-0.27069847854447276,0.47782970739437847,74.85952010913368,76.86230864846013,0.11176658861806318,0.0867105763242116,0.8473074415311046,0.7100757957055484,0.0,0.0,43.181456467788806,25.67197104424982
gate_e4_actor5,14,same_xx,factory_prepolish,6,16194,success,1,True,True,2672,2575,0,-0.2684684498960565,0.4754290463748628,75.74178081665688,77.16954289876439,0.10321074472494707,0.08122818942943072,0.7390765054524198,0.6634864317890324,0.0,0.0,41.378426121046715,25.682648896765258
gate_e4_actor5,14,same_xx,factory_prepolish,7,16291,success,1,True,True,3003,2906,0,-0.025027961174011865,0.2033471723784616,72.24914833934439,75.3601365397609,0.10961042851394004,0.08940301405026975,0.8987706766043588,0.8191253284323146,0.582308871305789,0.43038741264179353,42.57061324115636,28.872467749630243
gate_e4_actor5,14,same_xx,factory_prepolish,4,16000,success,1,True,True,3069,2972,0,0.019679435959426304,0.15537765370630294,67.72878389698309,71.33983971736001,0.1040551129290546,0.08281985638042756,0.9048802114792109,0.8437819596423993,0.5617850700516337,0.4659489409924637,43.874539146159364,28.947924055600335
gate_e4_actor5,14,same_xx,factory_prepolish_deep_defect,10,16194,success,1,True,True,3107,3010,0,0.037389725072613324,0.12953895047705083,71.58309623668956,74.51239632209462,0.10526588344485086,0.10822438879936915,0.9664468052207009,1.0201773122302447,0.6629940111711601,0.5478486621630996,41.35095110399597,28.88800491449978
gate_e4_actor5,14,same_xx,factory_prepolish_deep_stress,14,16194,success,1,True,True,3130,3033,0,0.04816702248665471,0.11352311170900972,71.43898622151173,74.20634332604486,0.10668714098931587,0.11223030636993898,1.3348031278250174,1.4117989644913087,1.0525038108584157,0.915462689886646,41.34992999399914,28.944966815310497
gate_e4_actor5,14,same_xx,factory_prepolish_deep_defect,9,16097,success,1,True,True,3178,3081,0,0.08044988520870125,0.08149256188213788,71.77894927172073,74.93982412117711,0.11344130925202098,0.09884983323273784,1.073093204518477,1.005412534285301,0.6954128583193282,0.5755368053654377,43.18145777161132,29.365177962259178
gate_e4_actor5,14,same_xx,factory_prepolish_deep_stress,13,16097,success,1,True,True,3203,3106,0,0.08879713294954922,0.06532662825457126,71.55009105229918,74.39472644444103,0.11508680584913535,0.10256386635744812,1.3298023764589402,1.272037292608602,1.1303221284091998,0.9526689259382984,43.1814569525909,29.461500550366186
gate_e4_actor5,14,same_xx,factory_prepolish_deep_defect,11,16291,success,1,True,True,3419,3322,0,0.21227746475820272,-0.06498094675798241,68.06763592572776,73.49764856438208,0.1117828313959264,0.09538203678736794,1.0718952176950203,0.9686655492788008,0.7527637397734463,0.6196066468248842,42.564709564774354,29.315028916193935
gate_e4_actor5,14,same_xx,factory_prepolish_deep_stress,15,16291,success,1,True,True,3466,3369,0,0.230464514071929,-0.09152967680785193,68.3728018549591,73.00035437008715,0.11450287031745372,0.10062496154738415,1.303533173794589,1.1933131666976566,1.1238018571368316,0.9833167545779191,42.57242226898297,29.38028240297996
gate_e4_actor5,14,same_xx,factory_prepolish_deep_defect,8,16000,fail_max_passes,1,False,True,3484,3387,0,0.24760862577163392,-0.10153435122533931,65.04026316602891,69.54498285552185,0.10688309323438955,0.0888686309764687,1.1642681919819258,1.065545785366483,0.7212166613079085,0.6378557966365508,43.87453955800232,29.012201506765585
gate_e4_actor5,14,same_xx,factory_prepolish_deep_stress,12,16000,fail_max_passes,1,False,True,3506,3409,0,0.25351940820506824,-0.11335095954889987,64.83250399708541,69.11655861380854,0.10873527787293137,0.09223746750130918,1.3792402899288256,1.3290688504914137,1.1384294693735824,1.0514716858795254,43.87452702116812,29.11283105195848
gate_e4_actor5,14,same_xx,legacy_stress,0,16000,fail_max_passes,1,False,True,4711,4613,0,0.6739477278339309,-0.5959217550015151,61.713877719544286,68.22996532654372,0.09708206772234819,0.0881715047591856,1.7668669275848798,1.6181467019151445,1.8609992180599577,1.5045055184186955,40.08166655897943,29.428260231371038
gate_e4_actor5,14,same_xx,legacy_stress,1,16097,fail_max_passes,1,False,True,4779,4682,0,0.6804903271520555,-0.6156623227641432,59.65579201423398,65.64024765909281,0.13306107705901118,0.1631274066517657,2.172742129686005,2.1044039200234232,1.8456096384360343,1.5435292552596873,43.52620356200556,29.4136520248157
gate_e4_actor5,14,same_xx,legacy_stress,3,16291,fail_max_passes,1,False,True,5190,5092,0,0.7894921503717041,-0.725208155645743,52.42198654667949,64.14369296500492,0.12161333577800242,0.14116980701773005,1.737678294559768,1.6485502644499377,1.2927785794109785,1.1535557877773503,41.9652730736585,29.380377170426787
gate_e4_actor5,14,same_xx,legacy_stress,2,16194,fail_max_passes,1,False,True,5538,5440,0,0.844361609365265,-0.8053974890714843,51.85339906310874,59.78868152102329,0.1342971943723196,0.12450151704824511,2.0497921868464117,1.9421421619190928,1.620805536255461,1.3471200703925534,41.721545765761135,29.550731726293265
