surface_kind,check,operator,threshold,observed,passed
freeform,normal_F4_raw_hard_force_control_steps,eq,0,0,True
freeform,normal_F4_post_first_contact_rate,ge,0.95,0.9996882793017456,True
freeform,normal_F4_force_sensor_filtered_steady_mean_n,ge,2.0,5.773733949412824,True
freeform,normal_F4_force_sensor_filtered_steady_mean_n,le,12.0,5.773733949412824,True
freeform,normal_F4_force_sensor_filtered_steady_std_n,le,2.0,0.5312486763058444,True
freeform,normal_F4_force_tracking_abs_error_steady_mean_n,le,1.5,0.2960183962610267,True
freeform,normal_F4_force_tracking_abs_error_steady_p95_n,le,4.0,1.0881237030029296,True
freeform,normal_F4_force_sensor_raw_max_n,le,14.0,12.120829582214355,True
freeform,normal_F4_gap_tracking_abs_error_steady_p95_m,le,0.004,0.0038849960081279275,True
freeform,normal_F4_roi_removal_mean_um,gt,0.0,0.2119136500654902,True
freeform,normal_F4_roi_coverage_fraction,gt,0.0,0.9605,True
freeform,target_quaternion_norm_max_error,le,1e-05,2.9797967870948128e-08,True
freeform,target_quaternion_step_angle_max_deg,le,1.0,0.16226030601297933,True
freeform,target_tilt_max_deg,le,15.0,2.2728551915253825,True
freeform,normal_alignment_error_steady_p95_deg,le,2.0,0.31506160646676995,True
freeform,curved_alignment_error_ratio,le,0.25,0.1443352110364437,True
freeform,curved_removal_relative_delta,le,0.05,0.004040246303217961,True
freeform,curved_coverage_delta,ge,-0.01,9.999999999998899e-05,True
