shield_mode,surface_kind,direction_mode,surface_profile,env,profile_seed,outcome,quality_ok,safety_ok,force_hard_violated,thermal_hard_violated,unstable_hard_violated,control_steps,contact_steps,sensor_fault_steps,raw_force_max_n,normal_alignment_error_max_deg,parent_force_action_mean,executed_force_action_mean,parent_feed_action_mean,shield_step_fraction,geometry_risk_mean,geometry_risk_max,force_command_jump_max_n,feed_command_jump_max_mm_s,flat_action_exact_parity,parent_upper_bound_contract,predictive_force_cap_mean,predictive_force_cap_min,force_action_cap_mean,force_action_cap_min,gu_before,gu_final,ra_before_um,ra_final_um,rz_before_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_min_um,temperature_peak_c,before_gu_pass_area_pct,before_tile_gu_pass_area_pct_mean,before_tile_gu_pass_area_pct_min,before_tile_gu_pass_area_pct_p10,before_ra_pass_area_pct,before_tile_ra_pass_area_pct_mean,before_tile_ra_pass_area_pct_min,before_tile_ra_pass_area_pct_p10,before_rz_pass_area_pct,before_tile_rz_pass_area_pct_mean,before_tile_rz_pass_area_pct_min,before_tile_rz_pass_area_pct_p10,before_scratch_pass_area_pct,before_tile_scratch_pass_area_pct_mean,before_tile_scratch_pass_area_pct_min,before_tile_scratch_pass_area_pct_p10,before_all4_pass_area_pct,before_tile_all4_pass_area_pct_mean,before_tile_all4_pass_area_pct_min,before_tile_all4_pass_area_pct_p10,before_clearcoat_pass_area_pct,before_tile_clearcoat_pass_area_pct_mean,before_tile_clearcoat_pass_area_pct_min,before_tile_clearcoat_pass_area_pct_p10,before_temperature_pass_area_pct,before_tile_temperature_pass_area_pct_mean,before_tile_temperature_pass_area_pct_min,before_tile_temperature_pass_area_pct_p10,final_gu_pass_area_pct,final_tile_gu_pass_area_pct_mean,final_tile_gu_pass_area_pct_min,final_tile_gu_pass_area_pct_p10,final_ra_pass_area_pct,final_tile_ra_pass_area_pct_mean,final_tile_ra_pass_area_pct_min,final_tile_ra_pass_area_pct_p10,final_rz_pass_area_pct,final_tile_rz_pass_area_pct_mean,final_tile_rz_pass_area_pct_min,final_tile_rz_pass_area_pct_p10,final_scratch_pass_area_pct,final_tile_scratch_pass_area_pct_mean,final_tile_scratch_pass_area_pct_min,final_tile_scratch_pass_area_pct_p10,final_all4_pass_area_pct,final_tile_all4_pass_area_pct_mean,final_tile_all4_pass_area_pct_min,final_tile_all4_pass_area_pct_p10,final_clearcoat_pass_area_pct,final_tile_clearcoat_pass_area_pct_mean,final_tile_clearcoat_pass_area_pct_min,final_tile_clearcoat_pass_area_pct_p10,final_temperature_pass_area_pct,final_tile_temperature_pass_area_pct_mean,final_tile_temperature_pass_area_pct_min,final_tile_temperature_pass_area_pct_p10
curvature_safety_v2,flat,cross_xy,factory_prepolish,1,40000,success,True,True,False,False,False,3504,3405,0,8.804856300354004,89.16697692871094,0.55220392982148,0.55220392982148,-0.11234346470268247,0.0,0.0,0.0,1.5510190178498622,8.807265830039976,True,True,1.0,1.0,1.0,1.0,70.73515978216898,74.98190967651755,0.12224960127767467,0.10036901959441512,1.1633130685504443,1.0359125033698342,0.5910620976386651,0.4452456018928552,41.79601597761188,28.745542802673004,97.26,97.26,65.75,97.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9,99.9,98.75,100.0,97.26,97.26,65.75,97.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.33000000000001,97.33,67.25,97.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.33000000000001,97.33,67.25,97.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v2,flat,cross_xy,factory_prepolish_deep_defect,2,40000,success,True,True,False,False,False,4228,4129,0,9.138163566589355,89.1669921875,0.7062943886803391,0.7062943886803391,-0.43560758675030076,0.0,0.0,0.0,1.7631095608815555,10.132975623011587,True,True,1.0,1.0,1.0,1.0,65.23049475872075,71.89265764952644,0.12742705911151617,0.12685344971677862,1.4045567538449721,1.3837799110097335,0.8675357318664196,0.6913811444679077,41.79982313607496,29.736306692282266,93.65,93.65,59.25,67.45,99.24,99.24,89.25,99.7,100.0,100.0,100.0,100.0,99.81,99.81,98.5,98.95,93.65,93.65,59.25,67.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.95,93.95,61.5,68.15,99.78,99.78,96.0,99.85,100.0,100.0,100.0,100.0,99.98,99.98,99.5,100.0,93.95,93.95,61.5,68.15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v2,flat,cross_xy,factory_prepolish_deep_stress,3,40000,success,True,True,False,False,False,4240,4141,0,8.958297729492188,89.1669921875,0.7081461424640608,0.7081461424640608,-0.4399322734978753,0.0,0.0,0.0,1.6662599370136864,9.089136418700217,True,True,1.0,1.0,1.0,1.0,65.04439703884593,71.01951157296473,0.13072709766768353,0.13189003174145933,1.7768171317622778,1.6353123942177454,1.3045163529444608,1.1241068296297871,41.800346374727,29.742750322493883,93.60000000000001,93.6,58.5,67.3,97.94,97.94,72.75,97.85,100.0,100.0,100.0,100.0,99.81,99.81,98.25,99.05,93.60000000000001,93.6,58.5,67.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.78,93.78,60.0,68.15,98.71,98.71,81.5,99.15,100.0,100.0,100.0,100.0,99.98,99.98,99.5,100.0,93.78,93.78,60.0,68.15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v2,flat,cross_xy,legacy_stress,0,40000,fail_max_passes,False,True,False,False,False,5140,5041,0,9.350665092468262,89.16697692871094,0.8372998251655802,0.8372998251655802,-0.7133143297871322,0.0,0.0,0.0,1.8929750341549516,10.396511423587796,True,True,1.0,1.0,1.0,1.0,53.71319128558401,62.664956775736364,0.11174944583640958,0.12996622787315956,1.8912524029635944,1.8222857285550103,1.8578515036350947,1.6240698210403952,41.160224727866094,29.64438290672169,79.64,79.64,37.5,58.35,95.11,95.11,71.0,83.4,100.0,100.0,100.0,100.0,99.51,99.51,96.25,98.2,79.64,79.64,37.5,58.35,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,81.32000000000001,81.32,45.5,61.65,97.42,97.42,75.5,90.9,100.0,100.0,100.0,100.0,99.92999999999999,99.93,98.5,100.0,81.32000000000001,81.32,45.5,61.65,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
