surface_profile,direction_mode,inspection_stage,feature_name,n,mean,std,min,max
factory_prepolish,cross_xy,initial,inspection_pass_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,gu_gap_norm,16,-0.2069033847656101,0.32365269688233816,-0.6647359132766724,0.39944037795066833
factory_prepolish,cross_xy,initial,ra_gap_norm,16,-0.4382392391562462,0.029878795380979938,-0.49722424149513245,-0.4010472297668457
factory_prepolish,cross_xy,initial,rz_gap_norm,16,-0.5476636532694101,0.047935105317051745,-0.6327769160270691,-0.4593517482280731
factory_prepolish,cross_xy,initial,clearcoat_margin_norm,16,0.6312772743403912,0.04421192981332131,0.5443573594093323,0.7188140749931335
factory_prepolish,cross_xy,initial,center_edge_removal_delta_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_scratch_max_um_x0_y0_norm,16,0.0315058808773756,0.08382392387644516,0.0,0.2770440876483917
factory_prepolish,cross_xy,initial,tile_scratch_max_um_x0_y1_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_scratch_max_um_x0_y2_norm,16,0.009450817480683327,0.03660285871073246,0.0,0.15121307969093323
factory_prepolish,cross_xy,initial,tile_scratch_max_um_x0_y3_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_scratch_max_um_x0_y4_norm,16,0.012579112313687801,0.0487186925009855,0.0,0.20126579701900482
factory_prepolish,cross_xy,initial,tile_scratch_max_um_x1_y0_norm,16,0.0006722137331962585,0.002603472593761025,0.0,0.010755419731140137
factory_prepolish,cross_xy,initial,tile_scratch_max_um_x1_y1_norm,16,0.0064423768781125546,0.02495121835892165,0.0,0.10307803004980087
factory_prepolish,cross_xy,initial,tile_scratch_max_um_x1_y2_norm,16,0.004424673039466143,0.017136684994265322,0.0,0.07079476863145828
factory_prepolish,cross_xy,initial,tile_scratch_max_um_x1_y3_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_scratch_max_um_x1_y4_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_scratch_max_um_x2_y0_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_scratch_max_um_x2_y1_norm,16,0.006234342698007822,0.02414550544393411,0.0,0.09974948316812515
factory_prepolish,cross_xy,initial,tile_scratch_max_um_x2_y2_norm,16,0.02545151114463806,0.06760660704089391,0.0,0.22062911093235016
factory_prepolish,cross_xy,initial,tile_scratch_max_um_x2_y3_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_scratch_max_um_x2_y4_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_scratch_max_um_x3_y0_norm,16,0.04112540977075696,0.07664704299734627,0.0,0.22475770115852356
factory_prepolish,cross_xy,initial,tile_scratch_max_um_x3_y1_norm,16,0.005400828085839748,0.020917317232186625,0.0,0.08641324937343597
factory_prepolish,cross_xy,initial,tile_scratch_max_um_x3_y2_norm,16,0.0494281193241477,0.09151800175760345,0.0,0.25541752576828003
factory_prepolish,cross_xy,initial,tile_scratch_max_um_x3_y3_norm,16,0.03257904201745987,0.08649210715822142,0.0,0.2808564305305481
factory_prepolish,cross_xy,initial,tile_scratch_max_um_x3_y4_norm,16,0.0030638468451797962,0.011866227806711484,0.0,0.04902154952287674
factory_prepolish,cross_xy,initial,tile_scratch_max_um_x4_y0_norm,16,0.02520663384348154,0.06923476757437158,0.0,0.2542521059513092
factory_prepolish,cross_xy,initial,tile_scratch_max_um_x4_y1_norm,16,0.026361223310232162,0.07243685507793753,0.0,0.26622146368026733
factory_prepolish,cross_xy,initial,tile_scratch_max_um_x4_y2_norm,16,0.035610001534223557,0.0758684115527977,0.0,0.2426871508359909
factory_prepolish,cross_xy,initial,tile_scratch_max_um_x4_y3_norm,16,0.01672304794192314,0.06476808617689654,0.0,0.26756876707077026
factory_prepolish,cross_xy,initial,tile_scratch_max_um_x4_y4_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_removal_mean_um_x0_y0_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_removal_mean_um_x0_y1_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_removal_mean_um_x0_y2_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_removal_mean_um_x0_y3_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_removal_mean_um_x0_y4_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_removal_mean_um_x1_y0_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_removal_mean_um_x1_y1_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_removal_mean_um_x1_y2_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_removal_mean_um_x1_y3_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_removal_mean_um_x1_y4_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_removal_mean_um_x2_y0_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_removal_mean_um_x2_y1_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_removal_mean_um_x2_y2_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_removal_mean_um_x2_y3_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_removal_mean_um_x2_y4_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_removal_mean_um_x3_y0_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_removal_mean_um_x3_y1_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_removal_mean_um_x3_y2_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_removal_mean_um_x3_y3_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_removal_mean_um_x3_y4_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_removal_mean_um_x4_y0_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_removal_mean_um_x4_y1_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_removal_mean_um_x4_y2_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_removal_mean_um_x4_y3_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_removal_mean_um_x4_y4_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_under_fraction_x0_y0_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_under_fraction_x0_y1_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_under_fraction_x0_y2_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_under_fraction_x0_y3_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_under_fraction_x0_y4_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_under_fraction_x1_y0_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_under_fraction_x1_y1_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_under_fraction_x1_y2_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_under_fraction_x1_y3_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_under_fraction_x1_y4_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_under_fraction_x2_y0_norm,16,0.0,0.0,0.0,0.0
factory_prepolish,cross_xy,initial,tile_under_fraction_x2_y1_norm,16,0.0,0.0,0.0,0.0
