all_finite,candidate_id,clearcoat_after_um,complete,contact_control_steps,control_steps,created_utc,curvature_radius_m,direction_mode,fallback_steps,first_contact_control_step,force_hard_violated,force_sensor_filtered_max_n,force_sensor_filtered_steady_mean_n,force_sensor_filtered_steady_std_n,force_sensor_raw_max_n,force_tracking_abs_error_steady_mean_n,force_tracking_abs_error_steady_p95_n,force_used_max_n,force_used_mean_n,freeform_seed,gap_tracking_abs_error_steady_mean_m,gap_tracking_abs_error_steady_p95_m,gate,gu_after,gu_before,mesh_triangle_count,mesh_vertex_count,no_contact_removal_errors,normal_aligned_pad,outcome,physics_seed,post_first_contact_rate,quality_ok,ra_after_um,ra_before_um,raw_hard_force_control_steps,roi_center_edge_delta_um,roi_center_removal_mean_um,roi_coverage_fraction,roi_edge_removal_mean_um,roi_removal_cv,roi_removal_max_min_um,roi_removal_mean_um,rz_after_um,rz_before_um,safety_ok,scratch_after_um,scratch_before_um,sensor_fault_control_steps,sensor_matrix_net_abs_delta_mean_n,steady_contact_control_steps,steady_start_control_step,surface_kind,surface_seed,temperature_peak_c,thermal_hard_violated,trace_all_finite,trace_row_count,training_performed,unstable_hard_violated,vertical_pad,zero_action,checks_passed,checks_total,f4_candidate_pass,control_steps_checkpointed,failure_reason,force_sensor_raw_max_n_partial,metric_status,partial_trace_last_control_step,partial_trace_row_count
True,cylinder_r0p60_cross,43.213705073166956,True,3209,3307,2026-08-31T15:17:18.619607+00:00,0.6,cross_xy,0,95,False,9.471343994140625,5.741271747022858,0.7502511175199876,10.29017448425293,0.3589183253542637,1.2908348083496093,9.568036079406738,5.569076061248779,0,0.0031655650564750087,0.004197277128696442,F4,75.49947429309863,72.75308062734142,3200,1681,0,False,success,20260901,0.99906600249066,True,0.08259169749139847,0.1097307693050428,0,0.05860526303141281,0.24909740397605656,0.9611,0.19049214094464376,0.29222983127594754,0.38708805570001287,0.21017393535466308,0.7317219349146551,0.8456373003843545,True,0.3475501364654344,0.4290214107790902,0,0.0,3169,135,cylinder,31000,26.76681186718295,False,True,3307,False,False,True,True,19,20,False,,,,,,
True,flat_cross,43.214678374994406,True,3208,3307,2026-08-31T15:14:35.298076+00:00,100000000.0,cross_xy,0,98,False,7.752086639404297,5.779677871652324,0.0806332245733004,7.5989203453063965,0.02283577079122717,0.06495108604431148,7.905252933502197,5.605671405792236,0,0.0031843558382907097,0.004344040900468826,F4,75.49565946883742,72.75308062734142,0,0,0,False,success,20260901,0.999688376441259,True,0.08231321747078282,0.1097307693050428,0,0.05884793733602886,0.25072045878354476,0.9605,0.1918725214475159,0.2948270576098879,0.38781163648999956,0.21168324616388573,0.7307167762716185,0.8456373003843545,True,0.34715954992838194,0.4290214107790902,0,0.0,3168,138,flat,31000,26.801005612924488,False,True,3307,False,False,True,True,19,20,False,,,,,,
True,freeform_s0_cross,,False,,,,0.6,cross_xy,,,,,,,,,,,,0,,,F4,,,,,,,,20260901,,,,,,,,,,,,,,,,,,,,,,freeform,31000,,,True,,False,,True,True,2,20,False,1750,Isaac app reproducibly entered quick framework shutdown between reported control steps 1900 and 2000 without traceback or completed artifacts,9.041650772094727,INCOMPLETE_PT-DESIGN_SYNTHETIC_CURVED_PHYSX_DIAGNOSTIC,1750,1750
True,sphere_r0p60_cross,43.2143096991874,True,3219,3307,2026-08-31T15:20:02.002076+00:00,0.6,cross_xy,0,87,False,9.80093002319336,5.754631707128976,0.6881139239066665,13.571001052856445,0.3419183649617233,1.3122676849365233,9.968140602111816,5.600127220153809,0,0.003146803371444251,0.004115127678960562,F4,75.5035788116921,72.75308062734142,3200,1681,0,False,success,20260901,0.9996894409937889,True,0.08227316792349514,0.1097307693050428,0,0.058040541800090745,0.2499762897047394,0.9633,0.19193574790464865,0.2902441372243688,0.38783037980750384,0.21147677173601473,0.7313257183707074,0.8456373003843545,True,0.3477082750514259,0.4290214107790902,0,0.0,3179,127,sphere,31000,26.7533064806238,False,True,3307,False,False,True,True,19,20,False,,,,,,
