shield_mode,surface_kind,direction_mode,surface_profile,env,profile_seed,outcome,quality_ok,safety_ok,force_hard_violated,thermal_hard_violated,unstable_hard_violated,control_steps,contact_steps,sensor_fault_steps,raw_force_max_n,normal_alignment_error_max_deg,parent_force_action_mean,executed_force_action_mean,parent_feed_action_mean,executed_feed_action_mean,shield_step_fraction,force_action_cap_mean,force_action_cap_min,gu_before,gu_final,ra_before_um,ra_final_um,rz_before_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_min_um,temperature_peak_c,before_gu_pass_area_pct,before_tile_gu_pass_area_pct_mean,before_tile_gu_pass_area_pct_min,before_tile_gu_pass_area_pct_p10,before_ra_pass_area_pct,before_tile_ra_pass_area_pct_mean,before_tile_ra_pass_area_pct_min,before_tile_ra_pass_area_pct_p10,before_rz_pass_area_pct,before_tile_rz_pass_area_pct_mean,before_tile_rz_pass_area_pct_min,before_tile_rz_pass_area_pct_p10,before_scratch_pass_area_pct,before_tile_scratch_pass_area_pct_mean,before_tile_scratch_pass_area_pct_min,before_tile_scratch_pass_area_pct_p10,before_all4_pass_area_pct,before_tile_all4_pass_area_pct_mean,before_tile_all4_pass_area_pct_min,before_tile_all4_pass_area_pct_p10,before_clearcoat_pass_area_pct,before_tile_clearcoat_pass_area_pct_mean,before_tile_clearcoat_pass_area_pct_min,before_tile_clearcoat_pass_area_pct_p10,before_temperature_pass_area_pct,before_tile_temperature_pass_area_pct_mean,before_tile_temperature_pass_area_pct_min,before_tile_temperature_pass_area_pct_p10,final_gu_pass_area_pct,final_tile_gu_pass_area_pct_mean,final_tile_gu_pass_area_pct_min,final_tile_gu_pass_area_pct_p10,final_ra_pass_area_pct,final_tile_ra_pass_area_pct_mean,final_tile_ra_pass_area_pct_min,final_tile_ra_pass_area_pct_p10,final_rz_pass_area_pct,final_tile_rz_pass_area_pct_mean,final_tile_rz_pass_area_pct_min,final_tile_rz_pass_area_pct_p10,final_scratch_pass_area_pct,final_tile_scratch_pass_area_pct_mean,final_tile_scratch_pass_area_pct_min,final_tile_scratch_pass_area_pct_p10,final_all4_pass_area_pct,final_tile_all4_pass_area_pct_mean,final_tile_all4_pass_area_pct_min,final_tile_all4_pass_area_pct_p10,final_clearcoat_pass_area_pct,final_tile_clearcoat_pass_area_pct_mean,final_tile_clearcoat_pass_area_pct_min,final_tile_clearcoat_pass_area_pct_p10,final_temperature_pass_area_pct,final_tile_temperature_pass_area_pct_mean,final_tile_temperature_pass_area_pct_min,final_tile_temperature_pass_area_pct_p10
static_cap,sphere,cross_xy,factory_prepolish,1,33000,success,True,True,False,False,False,3602,3502,0,8.591479301452637,53.34669494628906,0.5859752240684348,0.40332274404930973,-0.163203533002481,-0.163203533002481,0.6640755136035535,0.5,0.5,73.64050720827028,75.57855912649859,0.10565167146721956,0.09115460643590416,0.9009855584762825,0.7987557921760948,0.47406578645426295,0.36820265166654065,44.95322066522536,28.76700120228651,98.35000000000001,98.35,73.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.97,99.97,99.25,100.0,98.35000000000001,98.35,73.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.91,98.91,84.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.91,98.91,84.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
static_cap,sphere,cross_xy,factory_prepolish_deep_defect,2,33000,success,True,True,False,False,False,3615,3515,0,10.021604537963867,53.34675598144531,0.5880603727958015,0.4037411482007672,-0.16988825772581093,-0.16988825772581093,0.6633471645919778,0.5,0.5,72.55938204198742,74.60895801056459,0.10692765102569458,0.09075037830591612,1.101674374615242,0.9369276467648268,0.8089169129540905,0.7893772211558081,44.95314227728206,28.768445700766904,97.69,97.69,73.25,91.30000000000001,99.79,99.79,94.75,100.0,100.0,100.0,100.0,100.0,99.96000000000001,99.96,99.25,100.0,97.69,97.69,73.25,91.30000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.3,98.3,84.5,92.95,99.81,99.81,95.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.3,98.3,84.5,92.95,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
static_cap,sphere,cross_xy,factory_prepolish_deep_stress,3,33000,success,True,True,False,False,False,3617,3517,0,10.004490852355957,53.34675598144531,0.5884510870154701,0.4036853711929544,-0.17085393737689514,-0.17085393737689514,0.6624274260436827,0.5,0.5,72.45535958785128,74.4806790547469,0.10769956744699889,0.09147210070741256,1.4882933957642661,1.2836708217954336,1.2342169080740133,1.2117531871755844,44.95305818406033,28.7679094611318,97.67,97.67,73.25,91.30000000000001,99.56,99.56,89.0,100.0,100.0,100.0,100.0,100.0,99.96000000000001,99.96,99.25,100.0,97.67,97.67,73.25,91.30000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.24000000000001,98.24,83.0,92.95,99.57000000000001,99.57,89.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.24000000000001,98.24,83.0,92.95,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
static_cap,sphere,cross_xy,legacy_stress,0,33000,fail_max_passes,False,True,False,False,False,5263,5163,0,10.293384552001953,53.34669494628906,0.847799891215607,0.4499917104415583,-0.7429510759150441,-0.7429510759150441,0.8782063461903857,0.5,0.5,59.55281437070864,64.88626649071497,0.11785949039544316,0.1071721172001824,2.199016327310254,2.183079869872358,1.890045173148816,1.7113777759544897,42.268559972217304,29.101870047509014,84.26,84.26,40.0,53.449999999999996,94.38,94.38,65.0,81.8,100.0,100.0,100.0,100.0,99.72,99.72,97.5,99.35,84.26,84.26,40.0,53.449999999999996,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.21,85.21,42.25,55.85,95.75,95.75,69.5,86.8,100.0,100.0,100.0,100.0,99.97,99.97,99.5,100.0,85.21,85.21,42.25,55.85,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
