env,control_step,substep,force_sensor_raw_n,force_sensor_filt_n,force_model_n,force_used_n,force_cmd_n,pad_gap_m,pad_in_patch,normal_alignment_error_deg,sensor_fault,hard_latched_before,hard_latched_after,latch_event,parent_force_action,executed_force_action,executed_feed_action,geometry_risk,force_cap_action,predictive_force_cap_action,predicted_force_n,shield_force_command_n,shield_feed_command_mm_s,observed_force_mean_n,observed_force_delta_n,shield_mode,surface_kind,direction_mode,surface_profile,profile_seed
0,536,0,6.347287654876709,6.352499008178711,6.588162422180176,6.352499008178711,6.279199600219727,-0.0008666813373565674,1,0.1327040195465088,0,0,0,0,0.8876252174377441,0.28914257884025574,-1.0,0.5736000766260617,0.28914259266286846,1.0,6.31868302822113,6.279199770121815,6.35,6.31868314743042,-0.19298362731933594,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,536,1,6.330420017242432,6.341459274291992,6.586766719818115,6.341459274291992,6.279199600219727,-0.0008639097213745117,1,0.1312212347984314,0,0,0,0,0.8876252174377441,0.28914257884025574,-1.0,0.5736000766260617,0.28914259266286846,1.0,6.31868302822113,6.279199770121815,6.35,6.31868314743042,-0.19298362731933594,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,536,2,6.31719970703125,6.329329490661621,6.587088584899902,6.329329490661621,6.279199600219727,-0.0008609294891357422,1,0.1312212347984314,0,0,0,0,0.8876252174377441,0.28914257884025574,-1.0,0.5736000766260617,0.28914259266286846,1.0,6.31868302822113,6.279199770121815,6.35,6.31868314743042,-0.19298362731933594,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,536,3,6.316030502319336,6.3226799964904785,6.5882415771484375,6.3226799964904785,6.279199600219727,-0.0008580386638641357,1,0.1297215223312378,0,0,0,0,0.8876252174377441,0.28914257884025574,-1.0,0.5736000766260617,0.28914259266286846,1.0,6.31868302822113,6.279199770121815,6.35,6.31868314743042,-0.19298362731933594,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,536,4,8.190641403198242,7.256660461425781,6.590428829193115,7.256660461425781,6.279199600219727,-0.000863194465637207,1,0.1266688108444214,0,0,0,0,0.8876252174377441,0.28914257884025574,-1.0,0.5736000766260617,0.28914259266286846,1.0,6.31868302822113,6.279199770121815,6.35,6.31868314743042,-0.19298362731933594,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,536,5,9.288999557495117,8.27283000946045,6.44313907623291,8.27283000946045,6.279199600219727,-0.0008721351623535156,1,0.11869406700134277,0,0,0,0,0.8876252174377441,0.28914257884025574,-1.0,0.5736000766260617,0.28914259266286846,1.0,6.31868302822113,6.279199770121815,6.35,6.31868314743042,-0.19298362731933594,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,537,0,8.423600196838379,8.348215103149414,6.30186653137207,8.348215103149414,6.2784905433654785,-0.0008750855922698975,1,0.1136409118771553,0,0,0,0,1.0,0.28873351216316223,-1.0,0.5738364405074752,0.2887335170633295,1.0,7.800366431474686,6.278490678477575,6.35,6.812577247619629,0.4938945770263672,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,537,1,6.972792148590088,7.660503387451172,6.237180709838867,7.660503387451172,6.2784905433654785,-0.0008693039417266846,1,0.10279207676649094,0,0,0,0,1.0,0.28873351216316223,-1.0,0.5738364405074752,0.2887335170633295,1.0,7.800366431474686,6.278490678477575,6.35,6.812577247619629,0.4938945770263672,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,537,2,5.509224891662598,6.584864139556885,6.27265739440918,6.584864139556885,6.2784905433654785,-0.0008564889430999756,1,0.10653118044137955,0,0,0,0,1.0,0.28873351216316223,-1.0,0.5738364405074752,0.2887335170633295,1.0,7.800366431474686,6.278490678477575,6.35,6.812577247619629,0.4938945770263672,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,537,3,4.637436389923096,5.61115026473999,6.44108772277832,5.61115026473999,6.2784905433654785,-0.0008392333984375,1,0.10835235565900803,0,0,0,0,1.0,0.28873351216316223,-1.0,0.5738364405074752,0.2887335170633295,1.0,7.800366431474686,6.278490678477575,6.35,6.812577247619629,0.4938945770263672,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,537,4,4.675384998321533,5.143267631530762,6.631122589111328,5.143267631530762,6.2784905433654785,-0.00082358717918396,1,0.10087055712938309,0,0,0,0,1.0,0.28873351216316223,-1.0,0.5738364405074752,0.2887335170633295,1.0,7.800366431474686,6.278490678477575,6.35,6.812577247619629,0.4938945770263672,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,537,5,5.272958755493164,5.208113193511963,6.760166168212891,5.208113193511963,6.2784905433654785,-0.0008120834827423096,1,0.09891171753406525,0,0,0,0,1.0,0.28873351216316223,-1.0,0.5738364405074752,0.2887335170633295,1.0,7.800366431474686,6.278490678477575,6.35,6.812577247619629,0.4938945770263672,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,538,0,2.3277580738067627,3.7679357528686523,6.794940948486328,3.7679357528686523,6.27796745300293,-0.000804513692855835,1,0.06852804869413376,0,0,0,0,0.8254623413085938,0.2884315252304077,-1.0,0.574010938492366,0.2884315129357925,1.0,6.426019072532654,6.277967184522902,6.35,6.426019191741943,-0.38655805587768555,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,538,1,5.034609794616699,4.401272773742676,6.910233020782471,4.401272773742676,6.27796745300293,-0.0008130371570587158,1,0.04845663905143738,0,0,0,0,0.8254623413085938,0.2884315252304077,-1.0,0.574010938492366,0.2884315129357925,1.0,6.426019072532654,6.277967184522902,6.35,6.426019191741943,-0.38655805587768555,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,538,2,6.4447407722473145,5.423007011413574,6.965120315551758,5.423007011413574,6.27796745300293,-0.0008286535739898682,1,0.044234659522771835,0,0,0,0,0.8254623413085938,0.2884315252304077,-1.0,0.574010938492366,0.2884315129357925,1.0,6.426019072532654,6.277967184522902,6.35,6.426019191741943,-0.38655805587768555,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,538,3,7.36613130569458,6.394569396972656,6.842309951782227,6.394569396972656,6.27796745300293,-0.0008499026298522949,1,0.0656106099486351,0,0,0,0,0.8254623413085938,0.2884315252304077,-1.0,0.574010938492366,0.2884315129357925,1.0,6.426019072532654,6.277967184522902,6.35,6.426019191741943,-0.38655805587768555,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,538,4,7.31527042388916,6.854919910430908,6.673077583312988,6.854919910430908,6.27796745300293,-0.0008706152439117432,1,0.09065409004688263,0,0,0,0,0.8254623413085938,0.2884315252304077,-1.0,0.574010938492366,0.2884315129357925,1.0,6.426019072532654,6.277967184522902,6.35,6.426019191741943,-0.38655805587768555,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,538,5,9.500350952148438,8.177635192871094,6.557750225067139,8.177635192871094,6.27796745300293,-0.0008975565433502197,1,0.07912936806678772,0,0,0,0,0.8254623413085938,0.2884315252304077,-1.0,0.574010938492366,0.2884315129357925,1.0,6.426019072532654,6.277967184522902,6.35,6.426019191741943,-0.38655805587768555,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,539,0,7.070484161376953,7.624059677124023,6.359775066375732,7.624059677124023,6.277401924133301,-0.0009079873561859131,1,0.05233915522694588,0,0,0,0,0.7848163843154907,0.2881053686141968,-1.0,0.5741993863336066,0.288105365754691,1.0,5.836557149887085,6.277401840999181,6.35,5.836557388305664,-0.5894622802734375,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,539,1,4.69045352935791,6.157256603240967,6.342790603637695,6.157256603240967,6.277401924133301,-0.000904768705368042,1,0.03956468030810356,0,0,0,0,0.7848163843154907,0.2881053686141968,-1.0,0.5741993863336066,0.288105365754691,1.0,5.836557149887085,6.277401840999181,6.35,5.836557388305664,-0.5894622802734375,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,539,2,5.579761505126953,5.868509292602539,6.550671100616455,5.868509292602539,6.277401924133301,-0.0008964836597442627,1,0.03956468030810356,0,0,0,0,0.7848163843154907,0.2881053686141968,-1.0,0.5741993863336066,0.288105365754691,1.0,5.836557149887085,6.277401840999181,6.35,5.836557388305664,-0.5894622802734375,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,539,3,5.208440780639648,5.538475036621094,6.634404182434082,5.538475036621094,6.277401924133301,-0.0008868575096130371,1,0.03956468030810356,0,0,0,0,0.7848163843154907,0.2881053686141968,-1.0,0.5741993863336066,0.288105365754691,1.0,5.836557149887085,6.277401840999181,6.35,5.836557388305664,-0.5894622802734375,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,539,4,5.262019157409668,5.400247097015381,6.725353717803955,5.400247097015381,6.277401924133301,-0.0008782148361206055,1,0.03956468030810356,0,0,0,0,0.7848163843154907,0.2881053686141968,-1.0,0.5741993863336066,0.288105365754691,1.0,5.836557149887085,6.277401840999181,6.35,5.836557388305664,-0.5894622802734375,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,539,5,6.188990592956543,5.794618606567383,6.772644996643066,5.794618606567383,6.277401924133301,-0.0008674263954162598,1,0.03956468030810356,0,0,0,0,0.7848163843154907,0.2881053686141968,-1.0,0.5741993863336066,0.288105365754691,1.0,5.836557149887085,6.277401840999181,6.35,5.836557388305664,-0.5894622802734375,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,540,0,6.815092086791992,6.3048553466796875,6.727301597595215,6.3048553466796875,6.277654647827148,-0.0008609294891357422,1,0.04845663905143738,0,0,0,0,1.0,0.28825104236602783,-1.0,0.5741152183933255,0.2882510354332661,1.0,6.518470160663128,6.277654344820023,6.35,6.06386137008667,0.22730445861816406,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,540,1,7.004843235015869,6.654849052429199,6.640501022338867,6.654849052429199,6.277654647827148,-0.0008561015129089355,1,0.044234659522771835,0,0,0,0,1.0,0.28825104236602783,-1.0,0.5741152183933255,0.2882510354332661,1.0,6.518470160663128,6.277654344820023,6.35,6.06386137008667,0.22730445861816406,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,540,2,6.918959140777588,6.786904335021973,6.5606184005737305,6.786904335021973,6.277654647827148,-0.000850677490234375,1,0.044234659522771835,0,0,0,0,1.0,0.28825104236602783,-1.0,0.5741152183933255,0.2882510354332661,1.0,6.518470160663128,6.277654344820023,6.35,6.06386137008667,0.22730445861816406,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,540,3,6.604022026062012,6.695463180541992,6.512009143829346,6.695463180541992,6.277654647827148,-0.0008432865142822266,1,0.044234659522771835,0,0,0,0,1.0,0.28825104236602783,-1.0,0.5741152183933255,0.2882510354332661,1.0,6.518470160663128,6.277654344820023,6.35,6.06386137008667,0.22730445861816406,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,540,4,6.299962997436523,6.497713088989258,6.5060014724731445,6.497713088989258,6.277654647827148,-0.0008349120616912842,1,0.04845663905143738,0,0,0,0,1.0,0.28825104236602783,-1.0,0.5741152183933255,0.2882510354332661,1.0,6.518470160663128,6.277654344820023,6.35,6.06386137008667,0.22730445861816406,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,540,5,5.591614723205566,6.044663906097412,6.530019760131836,6.044663906097412,6.277654647827148,-0.0008316338062286377,1,0.04845663905143738,0,0,0,0,1.0,0.28825104236602783,-1.0,0.5741152183933255,0.2882510354332661,1.0,6.518470160663128,6.277654344820023,6.35,6.06386137008667,0.22730445861816406,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,541,0,5.545949459075928,5.79530668258667,6.606103897094727,5.79530668258667,6.277870178222656,-0.0008287131786346436,1,0.04845663905143738,0,0,0,0,1.0,0.2883756458759308,-1.0,0.5740432110078143,0.28837565880729094,1.0,7.364501282572746,6.277870366976558,6.35,6.497407913208008,0.4335465729236603,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,541,1,5.817943096160889,5.806624889373779,6.66364860534668,5.806624889373779,6.277870178222656,-0.0008273124694824219,1,0.05934702232480049,0,0,0,0,1.0,0.2883756458759308,-1.0,0.5740432110078143,0.28837565880729094,1.0,7.364501282572746,6.277870366976558,6.35,6.497407913208008,0.4335465729236603,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,541,2,6.33495569229126,6.0707902908325195,6.681134223937988,6.0707902908325195,6.277870178222656,-0.000823676586151123,1,0.05595291033387184,0,0,0,0,1.0,0.2883756458759308,-1.0,0.5740432110078143,0.28837565880729094,1.0,7.364501282572746,6.277870366976558,6.35,6.497407913208008,0.4335465729236603,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,541,3,6.755801200866699,6.413295745849609,6.648306846618652,6.413295745849609,6.277870178222656,-0.0008223950862884521,1,0.04845663905143738,0,0,0,0,1.0,0.2883756458759308,-1.0,0.5740432110078143,0.28837565880729094,1.0,7.364501282572746,6.277870366976558,6.35,6.497407913208008,0.4335465729236603,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,541,4,6.827722549438477,6.620509147644043,6.588623046875,6.620509147644043,6.277870178222656,-0.0008219778537750244,1,0.05233915522694588,0,0,0,0,1.0,0.2883756458759308,-1.0,0.5740432110078143,0.28837565880729094,1.0,7.364501282572746,6.277870366976558,6.35,6.497407913208008,0.4335465729236603,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,541,5,2.061298370361328,4.3409037590026855,6.539267539978027,4.3409037590026855,6.277870178222656,-0.0008195638656616211,1,0.03956468030810356,0,0,0,0,1.0,0.2883756458759308,-1.0,0.5740432110078143,0.28837565880729094,1.0,7.364501282572746,6.277870366976558,6.35,6.497407913208008,0.4335465729236603,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,542,0,4.214602470397949,4.277752876281738,6.798340797424316,4.277752876281738,6.277897834777832,-0.0008294582366943359,1,0.06852804869413376,0,0,0,0,0.7648754119873047,0.28839144110679626,-1.0,0.5740340890428394,0.2883914462163858,1.0,5.841239094734192,6.277897732871483,6.35,5.841238975524902,-0.6561689972877502,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,542,1,6.249092102050781,5.26342248916626,6.918939590454102,5.26342248916626,6.277897834777832,-0.0008503198623657227,1,0.09691329300403595,0,0,0,0,0.7648754119873047,0.28839144110679626,-1.0,0.5740340890428394,0.2883914462163858,1.0,5.841239094734192,6.277897732871483,6.35,5.841238975524902,-0.6561689972877502,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,542,2,7.44124698638916,6.352334976196289,6.852263450622559,6.352334976196289,6.277897834777832,-0.0008766353130340576,1,0.1251145452260971,0,0,0,0,0.7648754119873047,0.28839144110679626,-1.0,0.5740340890428394,0.2883914462163858,1.0,5.841239094734192,6.277897732871483,6.35,5.841238975524902,-0.6561689972877502,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,542,3,14.062171936035156,10.207253456115723,6.68425178527832,10.207253456115723,6.277897834777832,-0.0009034872055053711,1,0.10835235565900803,0,0,1,1,0.7648754119873047,0.28839144110679626,-1.0,0.5740340890428394,0.2883914462163858,1.0,5.841239094734192,6.277897732871483,6.35,5.841238975524902,-0.6561689972877502,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,542,4,11.111170768737793,10.659212112426758,6.417411804199219,10.659212112426758,6.277897834777832,-0.0009116828441619873,1,0.07661668211221695,0,1,1,0,0.7648754119873047,0.28839144110679626,-1.0,0.5740340890428394,0.2883914462163858,1.0,5.841239094734192,6.277897732871483,6.35,5.841238975524902,-0.6561689972877502,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
0,542,5,8.195302963256836,9.427257537841797,6.296077728271484,9.427257537841797,6.277897834777832,-0.000905156135559082,1,0.06255725771188736,0,1,1,0,0.7648754119873047,0.28839144110679626,-1.0,0.5740340890428394,0.2883914462163858,1.0,5.841239094734192,6.277897732871483,6.35,5.841238975524902,-0.6561689972877502,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
