rail,segment,waypoint,path_file,x_m,y_m,z_m,nearest_cloud_distance_m,path_step_m,path_continuous,normal_angle_from_previous_deg,normal_angle_continuous_deg,normal_x,normal_y,normal_z,k1_1_m,k2_1_m,radius1_m,radius2_m,surface_class,pad_curvature_ratio,normal_spread_p95_deg,normal_spread_max_deg,fit_rms_m,fit_condition,boundary_distance_m,angular_coverage,hole_risk,fit_confidence,neighbor_count,point_density_m2,boundary_risk,path_deviation_risk,curvature_jump_risk,geometry_risk,unsafe_geometry_pt_design,unsafe_reasons,review_reasons,source_row_index,risk_envelope,schedule_state,contact_group,requires_reapproach,entry_progress,force_target_unlimited_n,force_command_n,feed_target_unlimited_mm_s,feed_command_mm_s,contact_path_step_m,nominal_contact_dt_s
C,2,0,path_C2.npy,-0.1835000067949295,1.5089000463485718,0.45239999890327454,4.685684569135642e-08,0.0,True,0.0,0.0,-0.0012631128931626507,0.8713388776304317,0.4906801044219734,0.018843555181448757,-4.0678963684461475,53.06854202249942,0.24582730468671682,saddle,0.2237343002645381,10.019197397336788,11.385564931668274,0.001110744710623373,15.253851042546891,0.04294619655732671,1.0,0.0,0.9551640184809945,320,28294.21210522584,0.21916006259405985,2.3428422845678207e-06,0.0,0.5009598698668394,False,,,0,1.0,POLISH_ENTRY,1,True,0.0,1.75,1.75,6.35,6.35,0.0,0.016666666666666666
C,2,1,path_C2.npy,-0.1559000015258789,1.5154999494552612,0.43970000743865967,5.1111961306959915e-08,0.031090332823413138,True,5.1546189593112794,5.1546189593112794,-0.0009167397663124044,0.9118997111203937,0.4104120812631412,-0.033372627238267505,-6.90769781735365,29.964677124770283,0.1447660315261303,convex,0.37992337995445075,16.171373453394136,18.41753672590208,0.0012134577130698415,14.482373716078918,0.04608653135316613,1.0,0.0,0.9471759262345766,320,28294.21210522584,0.16206306630607037,2.5555980653479957e-06,1.0,1.0,False,,,1,1.0,POLISH_ENTRY,1,False,0.7772583205853284,4.2760895419023175,4.2760895419023175,6.35,6.35,0.031090332823413138,4.896115405261912
C,2,2,path_C2.npy,-0.12870000302791595,1.5166000127792358,0.4390000104904175,1.6808509863672315e-08,0.0272312330483489,True,0.327174755153966,0.327174755153966,-0.0007575758389514863,0.9142276213352774,0.40520029919348405,-0.014852163164793986,-7.458612251413271,67.3302594985241,0.1340731983768855,convex,0.4102236738277299,17.473485465106123,20.078243329164295,0.0012237463150960115,14.556371757966396,0.04590756891763863,1.0,0.0,0.9463490995101324,320,28294.21210522584,0.16531692877020676,8.404254931836158e-07,0.20200195915519434,0.8736742732553061,False,,,2,1.0,POLISH,1,False,1.0,5.0,5.0,6.35,6.35,0.0272312330483489,4.2883831572202995
C,2,3,path_C2.npy,-0.1014999970793724,1.520400047302246,0.43230000138282776,4.7412495886060404e-08,0.028269607496720917,True,2.978212828639633,2.978212828639633,-0.001683609751541208,0.9340415188725664,0.35716047720938215,0.08176649430175154,-9.442832562464371,12.229948324671891,0.10590042695187026,saddle,0.5193557909355404,21.884968542169382,23.725567306653094,0.0010272727014894551,14.892206888743846,0.045928827366669936,1.0,0.0,0.9612756327389992,320,28294.21210522584,0.16493041151509202,2.3706247943030203e-06,0.7275474473854034,1.0,True,footprint_normal_spread,footprint_normal_spread,3,1.0,HOLD_REVIEW,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,2,4,path_C2.npy,-0.07429999858140945,1.5242999792099,0.42570000886917114,2.2647358722039292e-08,0.028259676012895946,True,3.415416019691618,3.415416019691618,-0.0016408324633280698,0.953660415287606,0.3008805742853767,0.008422832156506743,-10.41318604812082,118.72491121973593,0.09603208810241717,saddle,0.5727252326466451,23.951568568865422,25.882365339014783,0.0008923341365805323,14.946661835934492,0.04520535941386021,1.0,0.0,0.9703646241788421,320,28294.21210522584,0.1780843742934507,1.1323679361019647e-06,0.3557962780740313,1.0,True,footprint_normal_spread,footprint_normal_spread,4,1.0,HOLD_REVIEW,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,2,5,path_C2.npy,-0.04729999974370003,1.5242999792099,0.42570000886917114,2.260433913237345e-08,0.026999998837709427,True,0.009918422879535661,0.009918422879535661,-0.0017837480727142005,0.9536895681210663,0.3007873433172793,0.04896903323936641,-10.358035486537084,20.421068864314353,0.09654340355367153,saddle,0.5696919517595396,23.854157163672255,25.747422418389743,0.0008846110285336267,14.929714685325482,0.04521658844774545,1.0,0.0,0.970853500876874,320,28294.21210522584,0.17788021004099186,1.1302169566186725e-06,0.020221872580703515,1.0,True,footprint_normal_spread,footprint_normal_spread,5,1.0,HOLD_REVIEW,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,2,6,path_C2.npy,-0.021199999377131462,1.5257999897003174,0.41449999809265137,1.0493302954218854e-08,0.028441172479354657,True,6.164988250882081,6.164988250882081,-0.0015004490504298604,0.980476682887607,0.19662965942695917,0.037812448092706674,-10.837455469097947,26.44631729604626,0.09227258214360486,saddle,0.596060050800387,24.222390539662456,28.17609847258631,0.0008410905920430289,15.192895806271267,0.035802564061267333,1.0,0.0,0.9735421648929705,320,28294.21210522584,0.34904428979513935,5.246651477109427e-07,0.17578732693898313,1.0,True,footprint_normal_spread,footprint_normal_spread,6,1.0,HOLD_REVIEW,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,2,7,path_C2.npy,0.0066999997943639755,1.5262999534606934,0.4189999997615814,4.6540371627758776e-08,0.028264994826666934,True,2.48338564036516,2.48338564036516,-0.001748868659158054,0.9710357098018794,0.23892800536557707,0.0603772930856632,-10.860174014292683,16.562517941657333,0.09207955587856476,saddle,0.5973095707860976,23.348430993913723,25.767599227319277,0.000838187470463615,15.223826279449584,0.03992637284040213,1.0,0.0,0.9737174697086718,320,28294.21210522584,0.2740659483563249,2.327018581387939e-06,0.008330133238070303,1.0,True,footprint_normal_spread,footprint_normal_spread,7,1.0,HOLD_REVIEW,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,2,8,path_C2.npy,0.03370000049471855,1.5262999534606934,0.4189999997615814,4.6542546680642566e-08,0.027000000700354576,True,0.011938794472524338,0.011938794472524338,-0.0017619315255569053,0.9710853544176674,0.23872605645972705,-0.02154613047305709,-10.9034662015755,46.41204606323514,0.09171395421535812,convex,0.5996906410866525,23.368608015583202,25.921301790847433,0.0008393468266023426,15.210274860837789,0.03988096681648753,1.0,0.0,0.9736475233713512,320,28294.21210522584,0.27489151242749954,2.3271273340321284e-06,0.015873802003699332,1.0,True,footprint_normal_spread,footprint_normal_spread,8,1.0,HOLD_REVIEW,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,2,9,path_C2.npy,0.06069999933242798,1.5263999700546265,0.4189999997615814,2.9953762546891714e-08,0.027000184083731213,True,0.05457461410566547,0.05457461410566547,-0.001877480592583568,0.9713104253009379,0.23780776431465708,-0.02965572981647213,-10.86257249723337,33.72029642125195,0.09205922448431933,convex,0.5974414873478353,23.22866522965448,25.860078735343976,0.0008424059210525902,15.180680363714863,0.03978128896039677,1.0,0.0,0.9734625706655081,320,28294.21210522584,0.27670383708369517,1.4976881273445856e-06,0.014994358258781187,1.0,True,footprint_normal_spread,footprint_normal_spread,9,1.0,HOLD_REVIEW,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,2,10,path_C2.npy,0.0877000018954277,1.5263999700546265,0.4189999997615814,3.000624742442094e-08,0.027000002562999725,True,0.015181064198430124,0.015181064198430124,-0.0017978770542860052,0.971250437756856,0.23805326041710337,-0.048021097018343895,-10.884797781487794,20.824180664136087,0.09187125200440008,convex,0.5986638779818287,23.29318866112251,25.866878971509706,0.0008431183092744603,15.249182799580446,0.03981052766698191,1.0,0.0,0.9734194183321373,320,28294.21210522584,0.2761722242366925,1.500312371221047e-06,0.00814927089328954,1.0,True,footprint_normal_spread,footprint_normal_spread,10,1.0,HOLD_REVIEW,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,2,11,path_C2.npy,0.11309999972581863,1.5226000547409058,0.4278999865055084,5.6380344510553877e-08,0.027181041374777924,True,4.8930788567962775,4.8930788567962775,-0.0024666339140155236,0.9474051178871039,0.3200272774599952,0.15842417181745283,-10.13362218371532,6.31216807718123,0.09868139761584906,saddle,0.5573492201043425,22.995949318347765,26.058731854164165,0.0009406180458105276,14.920007155492513,0.04540200951648697,1.0,0.0,0.9672297362292761,320,28294.21210522584,0.17450891788205503,2.8190172255276936e-06,0.27543105251657485,1.0,True,footprint_normal_spread,footprint_normal_spread,11,1.0,HOLD_REVIEW,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,2,12,path_C2.npy,0.14149999618530273,1.5192999839782715,0.43389999866485596,1.652362891234707e-08,0.029213873619385385,True,2.9980176100537945,2.9980176100537945,-0.002070435043262503,0.9293719102121141,0.36913895189673196,0.036252521305679686,-8.913806014418078,27.584288319370767,0.11218552416134032,saddle,0.49025933079299433,20.578966533090583,23.324400874062093,0.0011044009452733314,14.654252661342605,0.04580728253041643,1.0,0.0,0.9556408657576408,320,28294.21210522584,0.16714031762879222,8.261814456173535e-07,0.44726592874232124,1.0,True,footprint_normal_spread,footprint_normal_spread,12,1.0,HOLD_REVIEW,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
