surface_profile,path_mode,direction_mode,checkpoint,env,profile_seed,outcome,passes,gu_before,gu_final,ra_before_um,ra_final_um,rz_before_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_min_um,quality_ok,safety_ok
factory_prepolish,gate_c,same_xx,model_bc_robot_tesla12p7.pt,1,1097,success,1,75.72252919732352,77.11067684261607,0.10540747278941119,0.08423221768254206,0.7924034381892534,0.7140039261470633,0.0,0.0,43.4087228192606,True,True
factory_prepolish,gate_c,same_xx,model_bc_robot_tesla12p7.pt,2,1194,fail_max_passes,1,66.00559607391747,67.7199871902872,0.11890191088468012,0.09228964713417058,0.9934402356077956,0.8471857152030152,0.31111621522338806,0.28819673131161766,40.63877810642721,False,True
factory_prepolish,gate_c,same_xx,model_bc_robot_tesla12p7.pt,10,1970,success,1,74.8663600772343,76.55382353590421,0.11002717377281761,0.08910178497524644,0.9025728477074183,0.7841949048848746,0.0,0.0,43.28903345469101,True,True
factory_prepolish,gate_c,same_xx,model_bc_robot_tesla12p7.pt,12,2164,success,1,74.72714556448992,77.13735698951295,0.11091362306144106,0.0909728195262016,0.8811671819943925,0.7852046083049659,0.0,0.0,43.61053816869695,True,True
factory_prepolish,gate_c,same_xx,model_bc_robot_tesla12p7.pt,5,1485,success,1,73.79050724908589,76.56169357003525,0.1155881250093603,0.0919887191958589,0.8604168121456695,0.7550930522782553,0.0,0.0,41.39154754991687,True,True
factory_prepolish,gate_c,same_xx,model_bc_robot_tesla12p7.pt,11,2067,success,1,76.64735916711534,77.34940409135875,0.10055515083731006,0.07786845155132491,0.7405712430225885,0.6084255525602131,0.0,0.0,42.37773190954919,True,True
factory_prepolish,gate_c,same_xx,model_bc_robot_tesla12p7.pt,13,2261,success,1,74.90691056784031,76.77721726494875,0.11381901779479107,0.0929637339012747,0.8508625469181299,0.7414527293892237,0.0,0.0,42.20666545057352,True,True
factory_prepolish,gate_c,same_xx,model_bc_robot_tesla12p7.pt,15,2455,success,1,76.10902521689701,77.26703360337712,0.101959338799283,0.08016632961648275,0.7344462138736301,0.6696200597442403,0.0,0.0,43.00263169037966,True,True
factory_prepolish,gate_c,same_xx,model_bc_robot_tesla12p7.pt,9,1873,success,1,70.1857388678226,73.66781503254592,0.11979055661347807,0.09638079324434701,0.9173735269843124,0.801899119647806,0.1814215573629579,0.14914741013767502,41.99143952180412,True,True
factory_prepolish,gate_c,same_xx,model_bc_robot_tesla12p7.pt,14,2358,success,1,69.60129018981556,72.19715894902282,0.11978824220299172,0.09683341301284727,1.0524645854192722,0.9284909163072242,0.454100010040005,0.4330442532215319,41.45429052613026,True,True
factory_prepolish,gate_c,same_xx,model_bc_robot_tesla12p7.pt,3,1291,success,1,73.97822762326389,76.2448960900869,0.11314904347849411,0.08958550691285827,0.8969355245045152,0.8036318481091136,0.4025315950968127,0.29384239508562093,41.68573751615423,True,True
factory_prepolish,gate_c,same_xx,model_bc_robot_tesla12p7.pt,0,1000,success,1,68.44246169912215,72.35760379756763,0.10845447469691123,0.08746385186653624,0.8968421995003558,0.8210043781534704,0.4517557275410656,0.37921632405116196,42.32595081153405,True,True
factory_prepolish,gate_c,same_xx,model_bc_robot_tesla12p7.pt,8,1776,success,1,69.78722922384452,73.3244139754932,0.1188249434097838,0.102236531530826,0.995585363830753,0.9444685478810622,0.44318098562962244,0.39150851076965226,43.20193152878707,True,True
factory_prepolish_deep_defect,gate_c,same_xx,model_bc_robot_tesla12p7.pt,18,1194,fail_max_passes,1,63.842331343653704,66.26115920383896,0.11970615660687718,0.1021334756808584,1.1006855960461492,0.9955180602631089,0.7077615069386217,0.5802297121026813,40.626083686065996,False,True
factory_prepolish_deep_stress,gate_c,same_xx,model_bc_robot_tesla12p7.pt,34,1194,fail_max_passes,1,63.59773998552237,65.94067373006516,0.12035714425241467,0.103715959242877,1.2805456141070848,1.1749012843448712,1.147441744293534,1.0140692192441219,40.625618874751844,False,True
factory_prepolish,gate_c,same_xx,model_bc_robot_tesla12p7.pt,4,1388,success,1,68.388152656705,72.43160931715293,0.1168458406632617,0.10477090006314466,0.9645583998135914,0.9095777061768684,0.5617128607942897,0.43473592892079327,43.90372833781323,True,True
factory_prepolish_deep_defect,gate_c,same_xx,model_bc_robot_tesla12p7.pt,21,1485,success,1,71.60199706606534,75.23255789459364,0.11687204314080017,0.10751433805556244,1.0286229065088384,1.015645202279015,0.6703789184474823,0.5194191015538542,41.37286495796561,True,True
factory_prepolish_deep_defect,gate_c,same_xx,model_bc_robot_tesla12p7.pt,31,2455,success,1,73.49660764859743,75.56631983502129,0.1036165767344798,0.09268925212269737,0.9502414229135032,0.8613098219162995,0.8166321237346368,0.6666149584041523,43.00254209450583,True,True
factory_prepolish_deep_stress,gate_c,same_xx,model_bc_robot_tesla12p7.pt,47,2455,success,1,73.4396076206136,75.19954593614301,0.1047893184174937,0.09513224679357632,1.1289287109728936,1.038751160714517,1.2672071052811602,1.100911863561871,43.00233854837188,True,True
factory_prepolish_deep_stress,gate_c,same_xx,model_bc_robot_tesla12p7.pt,37,1485,success,1,71.48737191959373,74.75882097145121,0.11884109679216724,0.11099770918055003,1.4632514648203474,1.3562670355726383,1.0618169763368601,0.9048495831693756,41.37291852888495,True,True
factory_prepolish_deep_defect,gate_c,same_xx,model_bc_robot_tesla12p7.pt,25,1873,success,1,71.62902263839975,74.74628519321135,0.12258505891576314,0.11616418397827369,1.2371052514626726,1.2162826219214868,0.8210695939024198,0.6549119404833387,41.95618218012871,True,True
factory_prepolish_deep_stress,gate_c,same_xx,model_bc_robot_tesla12p7.pt,41,1873,success,1,71.34533180420887,74.23376123755224,0.1247062296234329,0.11965550350032231,1.7305894816369203,1.7279941753406098,1.2745926970173236,1.0911353283071916,41.960273689179125,True,True
factory_prepolish_deep_defect,gate_c,same_xx,model_bc_robot_tesla12p7.pt,24,1776,success,1,68.02517906576276,72.21997652132576,0.11945370372897118,0.10966719116735635,1.0986209453285602,1.0601375275786462,0.7220542367201862,0.558251060947762,43.19994856836669,True,True
factory_prepolish_deep_stress,gate_c,same_xx,model_bc_robot_tesla12p7.pt,40,1776,success,1,67.66503734182024,71.76950169691202,0.12064092445078732,0.11154818364348487,1.2796567916003263,1.243127645938614,1.1628208055624074,0.9874823823743466,43.19992897081629,True,True
factory_prepolish_deep_defect,gate_c,same_xx,model_bc_robot_tesla12p7.pt,29,2261,success,1,72.8479194215174,75.56843792932534,0.11451530511385685,0.09854964291514685,0.9326839963437423,0.8379756735566996,0.7009594094841549,0.5340569329724183,42.20645015645592,True,True
factory_prepolish_deep_stress,gate_c,same_xx,model_bc_robot_tesla12p7.pt,45,2261,success,1,72.60428895377414,75.13480465018758,0.11605558531114628,0.10127324991518008,1.2292720184695565,1.0109368491229063,1.0935525653847276,0.9255407664396429,42.20638042581711,True,True
factory_prepolish_deep_defect,gate_c,same_xx,model_bc_robot_tesla12p7.pt,28,2164,success,1,71.10866224709932,74.63728642382573,0.1143514763563519,0.11107877521092387,1.1237669613610017,1.0984509846470556,0.814111216168127,0.7135995831680045,43.61065495738274,True,True
factory_prepolish_deep_stress,gate_c,same_xx,model_bc_robot_tesla12p7.pt,44,2164,success,1,70.84784451345735,74.1152433343857,0.11686594204816338,0.1146979758252031,1.4867447689048239,1.472610500361053,1.2439442514678554,1.1149250439084923,43.61057739177547,True,True
factory_prepolish_deep_defect,gate_c,same_xx,model_bc_robot_tesla12p7.pt,16,1000,success,1,65.55155118002581,70.52181142772741,0.11175381001568215,0.10354293282890732,1.263169506670394,1.213720101754907,0.7634049755143588,0.613793912410509,42.326369240573335,True,True
factory_prepolish_deep_defect,gate_c,same_xx,model_bc_robot_tesla12p7.pt,30,2358,success,1,66.05131518731609,70.10852865225935,0.12241228430130523,0.12268687746158534,1.2582664815179079,1.2157090903655405,0.8273456853207561,0.6842276487240548,41.436435277517404,True,True
factory_prepolish_deep_stress,gate_c,same_xx,model_bc_robot_tesla12p7.pt,32,1000,success,1,65.48837232478155,70.1090166919847,0.11377703187022052,0.10669074526759027,1.6977761925531438,1.6473914759323964,1.185413022920324,1.027206033311996,42.32638499794025,True,True
factory_prepolish_deep_defect,gate_c,same_xx,model_bc_robot_tesla12p7.pt,20,1388,success,1,68.8284563231286,73.2211700028089,0.11876672905962005,0.11603038858067458,1.2033863026657305,1.1960727548391545,0.8510373171949499,0.726570889804131,43.796504875229154,True,True
factory_prepolish_deep_stress,gate_c,same_xx,model_bc_robot_tesla12p7.pt,46,2358,fail_max_passes,1,64.1497795886139,67.72541695761893,0.12405059816666412,0.12596142857476683,1.4350150107542903,1.3953212272937883,1.249968814232824,1.0984094125943684,41.43676308911236,False,True
factory_prepolish_deep_stress,gate_c,same_xx,model_bc_robot_tesla12p7.pt,36,1388,success,1,68.77619517407568,72.81710740006847,0.1199239046316138,0.11819028162061211,1.5717322269093235,1.5636259935854149,1.306749190856248,1.1728188180515375,43.794835350465036,True,True
factory_prepolish,gate_c,same_xx,model_bc_robot_tesla12p7.pt,6,1582,success,1,69.57151013257662,73.60882001991044,0.10835456759688696,0.10220294953862341,1.081296474460655,1.020239489273853,0.5540881876767172,0.4822925205232126,42.704878794859894,True,True
factory_prepolish_deep_defect,gate_c,same_xx,model_bc_robot_tesla12p7.pt,26,1970,success,1,71.31621761372739,74.04819208808608,0.11279844435375397,0.11048469617713386,1.142787033960453,1.1201488720942434,0.9377966043874425,0.8567894436528388,43.288978078516834,True,True
factory_prepolish_deep_stress,gate_c,same_xx,model_bc_robot_tesla12p7.pt,42,1970,success,1,71.11303427873787,73.48602984471974,0.11557025552451505,0.11489166004361269,1.3387311257877201,1.3259162819975239,1.3925711078562308,1.2751681873269607,43.288736999961905,True,True
factory_prepolish_deep_defect,gate_c,same_xx,model_bc_robot_tesla12p7.pt,17,1097,success,1,70.80329426345597,74.56564740048866,0.10743038104532743,0.11006258303356074,0.9556947000745077,0.9841223186820383,0.7396613632970581,0.5222884515327778,43.40810157871571,True,True
factory_prepolish_deep_stress,gate_c,same_xx,model_bc_robot_tesla12p7.pt,33,1097,success,1,71.01088087164254,74.13156239352526,0.10902479220791128,0.11357993136116952,1.1159301793571008,1.150496606492454,1.1502451117180275,0.9139966241596441,43.40798122912635,True,True
factory_prepolish,gate_c,same_xx,model_bc_robot_tesla12p7.pt,7,1679,success,1,70.37449741908381,74.57663347585384,0.11525496610450739,0.09851564708818997,0.9138264526248985,0.8184584975859699,0.5324429074628255,0.3679867464638711,42.228162083467055,True,True
factory_prepolish_deep_stress,gate_c,same_xx,model_bc_robot_tesla12p7.pt,39,1679,success,1,70.28248168925427,74.48444632034172,0.11643383137819757,0.09948403458015004,1.1321089206513772,1.0066284731370545,1.0150886105557515,0.8297996732987097,42.2075033079648,True,True
factory_prepolish_deep_defect,gate_c,same_xx,model_bc_robot_tesla12p7.pt,23,1679,success,1,70.36675576987747,74.66074857789721,0.11558547005403952,0.09879784976406117,0.964720358700348,0.8413809469751683,0.6386380561147917,0.4321791514534534,42.20554806438433,True,True
factory_prepolish_deep_defect,gate_c,same_xx,model_bc_robot_tesla12p7.pt,19,1291,success,1,72.03288634886509,74.97563670791921,0.11403596437263468,0.10206915515478752,1.0780421638768443,1.0282247812188867,0.7841265287460824,0.5611340994764098,41.40828952379791,True,True
factory_prepolish_deep_stress,gate_c,same_xx,model_bc_robot_tesla12p7.pt,35,1291,success,1,71.6972288647766,74.54997565392402,0.11530336904872619,0.10436335589150932,1.3630980729718012,1.31123754713693,1.247627785230129,1.0199888332495326,41.40885907097198,True,True
factory_prepolish_deep_defect,gate_c,same_xx,model_bc_robot_tesla12p7.pt,27,2067,success,1,71.48567361727625,73.88215593716282,0.10520522129936272,0.11688967185654092,1.3461364958193163,1.3864268375692763,0.9429587756653748,0.7328745011619329,42.37796119080371,True,True
factory_prepolish_deep_stress,gate_c,same_xx,model_bc_robot_tesla12p7.pt,43,2067,success,1,70.9352253353901,72.90847630320897,0.10866472761630488,0.1222468168367655,1.827982195984215,1.8708622301689426,1.3840809247876684,1.1736061013444532,42.37794838137739,True,True
factory_prepolish_deep_defect,gate_c,same_xx,model_bc_robot_tesla12p7.pt,22,1582,success,1,68.13185520300894,72.74579575038184,0.11159330063236474,0.12110613566731224,1.3615158418346907,1.303253811893668,0.7766036562025516,0.665529526474277,42.69498601267827,True,True
factory_prepolish_deep_stress,gate_c,same_xx,model_bc_robot_tesla12p7.pt,38,1582,success,1,67.73590083250107,72.12545322375834,0.11396307011223021,0.12470392009947154,1.8449971542476782,1.7747833513044564,1.232616717171375,1.0839861213744402,42.69349354309239,True,True
