region_id,path_order,x_m,y_m,contact
1,0,0.085,0.07100000000000001,True
1,1,0.085,0.23900000000000002,True
1,2,0.113,0.23900000000000002,True
1,3,0.113,0.07100000000000001,True
1,4,0.14100000000000001,0.07100000000000001,True
1,5,0.14100000000000001,0.23900000000000002,True
1,6,0.169,0.23900000000000002,True
1,7,0.169,0.07100000000000001,True
1,8,0.197,0.07100000000000001,True
1,9,0.197,0.23900000000000002,True
1,10,0.225,0.23900000000000002,True
1,11,0.225,0.07100000000000001,True
1,12,0.253,0.07100000000000001,True
1,13,0.253,0.23900000000000002,True
