surface_kind,check,operator,threshold,observed,passed
freeform,normal_F4_raw_hard_force_control_steps,eq,0,0,True
freeform,normal_F4_post_first_contact_rate,ge,0.95,0.999688376441259,True
freeform,normal_F4_force_sensor_filtered_steady_mean_n,ge,2.0,5.778150806749108,True
freeform,normal_F4_force_sensor_filtered_steady_mean_n,le,12.0,5.778150806749108,True
freeform,normal_F4_force_sensor_filtered_steady_std_n,le,2.0,0.4996001849642383,True
freeform,normal_F4_force_tracking_abs_error_steady_mean_n,le,1.5,0.29031849246133457,True
freeform,normal_F4_force_tracking_abs_error_steady_p95_n,le,4.0,1.0597253799438475,True
freeform,normal_F4_force_sensor_raw_max_n,le,14.0,10.977978706359863,True
freeform,normal_F4_gap_tracking_abs_error_steady_p95_m,le,0.004,0.0038337942212820055,True
freeform,normal_F4_roi_removal_mean_um,gt,0.0,0.21191275935971013,True
freeform,normal_F4_roi_coverage_fraction,gt,0.0,0.9608,True
freeform,target_quaternion_norm_max_error,le,1e-05,2.979835933558661e-08,True
freeform,target_quaternion_step_angle_max_deg,le,1.0,0.16541886708091866,True
freeform,target_tilt_max_deg,le,15.0,2.6238848870917355,True
freeform,normal_alignment_error_steady_p95_deg,le,2.0,0.663110041618347,True
freeform,curved_alignment_error_ratio,le,0.25,0.303782263001518,False
freeform,curved_removal_relative_delta,le,0.05,0.004036026167089234,True
freeform,curved_coverage_delta,ge,-0.01,0.00039999999999995595,True
