step,env,surface_profile,profile_seed,observation_mode,observation_dim,feature_index,feature_name,value
0,0,factory_prepolish,1000,spatial120,120,34,tile_scratch_max_um_x2_y4_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,35,tile_scratch_max_um_x3_y0_norm,0.12856973707675934
0,0,factory_prepolish,1000,spatial120,120,36,tile_scratch_max_um_x3_y1_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,37,tile_scratch_max_um_x3_y2_norm,0.22587786614894867
0,0,factory_prepolish,1000,spatial120,120,38,tile_scratch_max_um_x3_y3_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,39,tile_scratch_max_um_x3_y4_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,40,tile_scratch_max_um_x4_y0_norm,0.14905403554439545
0,0,factory_prepolish,1000,spatial120,120,41,tile_scratch_max_um_x4_y1_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,42,tile_scratch_max_um_x4_y2_norm,0.1634274572134018
0,0,factory_prepolish,1000,spatial120,120,43,tile_scratch_max_um_x4_y3_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,44,tile_scratch_max_um_x4_y4_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,45,tile_removal_mean_um_x0_y0_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,46,tile_removal_mean_um_x0_y1_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,47,tile_removal_mean_um_x0_y2_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,48,tile_removal_mean_um_x0_y3_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,49,tile_removal_mean_um_x0_y4_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,50,tile_removal_mean_um_x1_y0_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,51,tile_removal_mean_um_x1_y1_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,52,tile_removal_mean_um_x1_y2_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,53,tile_removal_mean_um_x1_y3_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,54,tile_removal_mean_um_x1_y4_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,55,tile_removal_mean_um_x2_y0_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,56,tile_removal_mean_um_x2_y1_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,57,tile_removal_mean_um_x2_y2_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,58,tile_removal_mean_um_x2_y3_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,59,tile_removal_mean_um_x2_y4_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,60,tile_removal_mean_um_x3_y0_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,61,tile_removal_mean_um_x3_y1_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,62,tile_removal_mean_um_x3_y2_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,63,tile_removal_mean_um_x3_y3_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,64,tile_removal_mean_um_x3_y4_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,65,tile_removal_mean_um_x4_y0_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,66,tile_removal_mean_um_x4_y1_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,67,tile_removal_mean_um_x4_y2_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,68,tile_removal_mean_um_x4_y3_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,69,tile_removal_mean_um_x4_y4_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,70,tile_under_fraction_x0_y0_norm,0.0
