env,stage,pass,tile_x,tile_y,removal_mean_um,removal_std_um,total_ra_um,total_rz_um,fine_ra_um,fine_rz_um,waviness_std_um,scratch_mean_um,scratch_max_um,clearcoat_min_um,under_fraction,over_fraction,coverage_fraction,base_micro_ra_um,base_micro_rz_um,individual_scratch_initial_max_um,mar_density_mean,mar_severity_initial_mean,mar_severity_remaining_mean,q_mar_mean,profile_gu
2,initial,0,2,3,0.0,0.0,0.09012504198491189,0.5609231269055959,0.08713433719745875,0.5377538742715309,0.0,0.025370336792121303,0.4253698348261238,43.71945341524925,0.0,0.0,0.0,0.06272035724135343,0.26407808794534104,0.49904366488284413,0.0,0.0,0.0,1.0,52.08174246167728
2,initial,0,2,4,0.0,0.0,0.12664523726579524,0.489870049306009,0.11278738139677824,0.4573012889453689,0.0,0.05311478724792116,0.9311335820536262,42.329101715787424,0.0,0.0,0.0,0.05805048304148493,0.2539706667021512,0.9417644880309792,0.0,0.0,0.0,1.0,35.17714498199272
2,initial,0,3,0,0.0,0.0,0.15555577894206002,1.2100319243607032,0.14327066651389778,1.1843266941043749,0.0,0.07632673539546986,1.5550078451971092,43.4858619367732,0.0,0.0,0.0,0.050924277926617974,0.22274458984727263,1.7949699292172472,0.0,0.0,0.0,1.0,46.06652125897297
2,initial,0,3,1,0.0,0.0,0.08162090629796884,0.36193499385467215,0.06634987906868502,0.34582543434142177,0.0,0.0,0.0,43.60931548695026,0.0,0.0,0.0,0.08162090629796884,0.36193499385467215,1.432353094678601e-19,0.0,0.0,0.0,1.0,77.71441210082114
2,initial,0,3,2,0.0,0.0,0.07151798779694968,0.2785368441420603,0.062487817006739804,0.2561412527503123,0.0,0.0,0.0,44.473936987446734,0.0,0.0,0.0,0.07151798780072621,0.27853684414439395,1.852736464751232e-09,0.0,0.0,0.0,1.0,78.0
2,initial,0,3,3,0.0,0.0,0.13587784220869284,0.7522160362173995,0.12779358479343192,0.7197124119255105,0.0,0.06188036335074562,0.5847265213357151,44.04472279072462,0.0,0.0,0.0,0.05576552846626431,0.25158231885842713,0.630514233016082,0.0,0.0,0.0,1.0,43.35421252374955
2,initial,0,3,4,0.0,0.0,0.09685823951453328,0.5544005214601688,0.09752544768278863,0.6160716464935646,0.0,0.041819143054787525,0.6201832392696925,43.248688662226336,0.0,0.0,0.0,0.05573706367949319,0.2492616375859547,0.6307112076398699,0.0,0.0,0.0,1.0,37.80488677489564
2,initial,0,4,0,0.0,0.0,0.28690248220185527,1.792340620026483,0.2815174406668259,1.7640559124369095,0.0,0.17738764244865074,1.589548809871632,44.96715674268383,0.0,0.0,0.0,0.06786464065600402,0.3063088514979903,1.7966213044730386,0.0,0.0,0.0,1.0,37.941237433281174
2,initial,0,4,1,0.0,0.0,0.1272727722307165,0.9082762164181749,0.12138682343344226,0.6064644237268044,0.0,0.04807775558335367,1.7190583040101595,44.95596972920446,0.0,0.0,0.0,0.06211064142277044,0.2605813613443954,1.79647459095129,0.0,0.0,0.0,1.0,40.872497795856255
2,initial,0,4,2,0.0,0.0,0.0948292073635579,0.540227223869179,0.08461813084443338,0.48968700823408456,0.0,0.006676229047383509,0.41068499750308296,43.87629040084583,0.0,0.0,0.0,0.08674349316704986,0.45624102269530353,0.49430449703788876,0.0,0.0,0.0,1.0,52.898406243079904
