surface_profile,seed,design_status,legacy_exact_match,base_micro_ra_um,base_micro_rz_um,initial_total_ra_um,initial_total_rz_um,individual_scratch_count,individual_scratch_count_design_min,individual_scratch_count_design_max,individual_scratch_max_um,individual_scratch_affected_fraction,mar_density_mean,mar_density_max,mar_severity_mean,mar_severity_max,q_mar_mean,initial_gu_mean,initial_gu_p10,initial_gu_min,clearcoat_min_um,clearcoat_mean_um,clearcoat_max_um,all_finite,state_fingerprint_sha256
legacy_stress,0,ESTABLISHED_GENERATOR_UNCHANGED,True,0.0791285482011334,0.6314982258041812,0.15738050320731362,2.230662920963536,,4,12,1.8030602512272271,0.1343,0.0,0.0,0.0,0.0,1.0,55.54017122980868,33.49403051875009,26.78592199484903,42.11532902828708,45.335528807394255,49.52598032451454,True,7e07815dce64249d20115963caa3e1ef27c20021a7ae441957403b8e84cfb732
new_car_mild,0,PT-DESIGN_NO_MEASURED_DISTRIBUTION,,0.06072918935391416,0.4434852331138161,0.06072918935391416,0.4434852331138161,0,0,3,0.0,0.0,0.054885628295629645,0.07974676328163302,0.06853753816727141,0.09926739327830543,0.9705631012562795,88.5235324412328,88.4186704230344,88.37997786958383,41.411994388251905,44.7136629351289,48.223753453806864,True,9f9e07f228aa89204513fa5b0011f483a78930243a6cea036bd7ce55cc465bc9
legacy_stress,1,ESTABLISHED_GENERATOR_UNCHANGED,True,0.07979027935543337,0.621847647118396,0.11355221590878693,2.2556935661013524,,4,12,1.8532786353521793,0.0631,0.0,0.0,0.0,0.0,1.0,63.141056155463794,39.09858483424454,34.27043026104295,41.02751546124438,43.41940307748367,47.74813475400637,True,63189f5c6a1b92bf33254f1fa27e17b7f12e3e1d0a7f8e87b852fcd8d2063066
new_car_mild,1,PT-DESIGN_NO_MEASURED_DISTRIBUTION,,0.05816383723035925,0.45506614768940123,0.05816383723035925,0.45506614768940123,0,0,3,0.0,0.0,0.06714641497758453,0.0971012632522691,0.05195250431141189,0.07479087971037066,0.9722163359665014,88.55050533810854,88.4060980922919,88.36040115751786,41.70251749685431,44.739462162311,48.990731279197945,True,8563303e9c8d36195cc439a88d1ea34e83187dcf2a24764f81a8db5fbb32dfe2
legacy_stress,2,ESTABLISHED_GENERATOR_UNCHANGED,True,0.07927245855992715,0.6135633865422464,0.13243096026502757,2.3265595064061975,,4,12,1.9057283095499367,0.0911,0.0,0.0,0.0,0.0,1.0,49.59580366960927,25.48496095174682,25.18189403617972,41.86386605825686,45.166640422115414,48.98680805966076,True,21dfa5c89ea3e32957dc2806abb8896d00e3db17c4fa4c608050b41c8ec3f0e1
new_car_mild,2,PT-DESIGN_NO_MEASURED_DISTRIBUTION,,0.05464475170185324,0.4570863836003321,0.05464475170185324,0.4570863836003321,0,0,3,0.0,0.0,0.0736691771154681,0.10657103190578288,0.05986310125574283,0.08655194054650676,0.9653999225214075,88.4387487578296,88.28932058635996,88.18362219482165,42.61784087205799,46.07916709440302,49.17421774069568,True,74d0b668f7244ce4482a779c8c410ebb125b77c2e3859931e66cbe5bbd1bcdb5
legacy_stress,3,ESTABLISHED_GENERATOR_UNCHANGED,True,0.0789402826498016,0.6448675953898961,0.16662439890405636,2.3743393820950556,,4,12,1.9403619879768836,0.1325,0.0,0.0,0.0,0.0,1.0,50.59684327719137,36.22243531309869,25.252828082762107,41.5824340692424,46.27464489041922,49.17873336450826,True,30eaebe4bae71dcd6d118d531e6ec1f7d7398bbb83d65f5aaa50bc175a84d27d
new_car_mild,3,PT-DESIGN_NO_MEASURED_DISTRIBUTION,,0.05351900280409842,0.4538797294589023,0.05351900280409842,0.4538797294589023,0,0,3,0.0,0.0,0.09017737800234206,0.1310473662408465,0.15468639596287662,0.22479001094427975,0.8936332070459739,87.21894753789935,86.48044736277332,85.90819026311488,40.0,43.24139701050341,47.465267330020275,True,bdaa5ba32eea2abaaa0e4205c043619db7be6ecaf5687201ec316b1be1f2817d
legacy_stress,4,ESTABLISHED_GENERATOR_UNCHANGED,True,0.07995231849758047,0.6692046166435838,0.15283233718579117,2.270512492858905,,4,12,1.9674322386631085,0.1066,0.0,0.0,0.0,0.0,1.0,51.972736730598974,34.47539549857071,29.24903289548941,43.930858082047536,46.04162118015805,49.71008005752024,True,f53fe16efc7a9a7f1c4ece359bf5850a823d3f1123b50fe83d73ba37ae6ab632
new_car_mild,4,PT-DESIGN_NO_MEASURED_DISTRIBUTION,,0.043639659225058615,0.3505384165703276,0.04382879033877729,0.35553493602916886,1,0,3,0.11043936744875765,0.004,0.08001768130233924,0.11635460520955482,0.15414268473113865,0.22343738040974193,0.907091439862263,81.75938513992435,74.83471974417051,26.97747163266264,43.03018135548229,46.43652597295856,50.0,True,64b014c9c5370721be0121c47bc24ee32b7ae16290312db9a107f4cf2d4699d0
