direction_mode,surface_profile,profile_seed,champion_safety_ok,trained_safety_ok,champion_quality_ok,trained_quality_ok,champion_gu_final,trained_gu_final,delta_gu_final,champion_ra_final_um,trained_ra_final_um,delta_ra_final_um,champion_rz_final_um,trained_rz_final_um,delta_rz_final_um,champion_scratch_final_um,trained_scratch_final_um,delta_scratch_final_um,champion_clearcoat_min_um,trained_clearcoat_min_um,delta_clearcoat_min_um,champion_temperature_peak_c,trained_temperature_peak_c,delta_temperature_peak_c,champion_control_steps,trained_control_steps,delta_control_steps,champion_final_gu_pass_area_pct,trained_final_gu_pass_area_pct,delta_final_gu_pass_area_pct,champion_final_ra_pass_area_pct,trained_final_ra_pass_area_pct,delta_final_ra_pass_area_pct,champion_final_rz_pass_area_pct,trained_final_rz_pass_area_pct,delta_final_rz_pass_area_pct,champion_final_scratch_pass_area_pct,trained_final_scratch_pass_area_pct,delta_final_scratch_pass_area_pct,champion_final_all4_pass_area_pct,trained_final_all4_pass_area_pct,delta_final_all4_pass_area_pct
cross_xy,factory_prepolish,19000,1,1,1,1,76.78233750856347,76.83963854530269,0.0573010367392186,0.09341184097119172,0.08224471175730964,-0.011167129213882077,0.7479472664816151,0.7025064648726829,-0.04544080160893227,0.0,0.0,0.0,41.80107263929668,41.73030260502142,-0.07077003427525597,26.12875585375901,27.949321730451516,1.8205658766925055,2664.0,3298.0,634.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
cross_xy,factory_prepolish,19097,1,1,1,1,76.6902876709999,76.88102360675394,0.19073593575404857,0.08696032342635478,0.07719996047257716,-0.009760362953777621,0.7199299387566567,0.7069509422765846,-0.012978996480072058,0.0,0.0,0.0,43.51057364796334,43.42153134105703,-0.08904230690630754,26.12660366620584,27.941597117561237,1.8149934513553987,2663.0,3296.0,633.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
cross_xy,factory_prepolish,19194,1,1,1,1,72.21490853873088,73.69197716777585,1.4770686290449646,0.08847121135607423,0.08320222198436479,-0.005268989371709443,0.7214266732630024,0.6644551905491614,-0.056971482713841004,0.24077732358525883,0.1866936134314689,-0.05408371015378993,41.381335643626336,41.26742309600626,-0.11391254762007463,26.1295046030242,29.02658398174093,2.8970793787167324,2663.0,3592.0,929.0,97.3,97.83,0.5300000000000011,100.0,100.0,0.0,100.0,100.0,0.0,99.87,99.96000000000001,0.09000000000000341,97.3,97.83,0.5300000000000011
cross_xy,factory_prepolish,19291,1,1,1,1,76.89503662833994,76.84895981835842,-0.04607680998151409,0.08283747157889677,0.07429150066629957,-0.008545970912597206,0.6969791279667037,0.6475096888117768,-0.04946943915492685,0.0,0.0,0.0,42.18232930402687,42.119997024089834,-0.06233227993703849,26.128714321349385,27.952766590922668,1.8240522695732828,2664.0,3297.0,633.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
cross_xy,factory_prepolish_deep_defect,19000,1,1,1,1,74.63265985131925,74.84727074281271,0.21461089149346435,0.11804419021008467,0.10249175239590491,-0.015552437814179754,1.0462283273898252,0.953226524050776,-0.09300180333904917,0.45991073115555425,0.4410496205365698,-0.018861110618984434,41.80074368704187,41.7300596144119,-0.07068407262997312,29.159671844911855,29.161916422360314,0.002244577448458074,3256.0,3778.0,522.0,97.97,97.98,0.010000000000005116,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,97.97,97.98,0.010000000000005116
cross_xy,factory_prepolish_deep_defect,19097,1,1,1,1,74.78943652471992,75.0212172361778,0.23178071145788692,0.09284875100885727,0.07921315240975571,-0.013635598599101559,0.8728744081685208,0.8383060375357148,-0.034568370632806045,0.7434505211423338,0.7393833347387155,-0.00406718640361825,43.51054255946327,43.42177549675015,-0.08876706271311718,28.747639002495475,28.766506324978113,0.018867322482638116,2999.0,3560.0,561.0,98.61,98.61999999999999,0.009999999999990905,99.83999999999999,99.83999999999999,0.0,100.0,100.0,0.0,99.96000000000001,99.96000000000001,0.0,98.61,98.61999999999999,0.009999999999990905
cross_xy,factory_prepolish_deep_defect,19194,1,1,1,1,71.77454526215877,72.44864452203947,0.6740992598807054,0.11401757902028581,0.09626621036816532,-0.017751368652120486,1.0719391391923563,0.9535150163786653,-0.11842412281369097,0.8219986123587175,0.8025884755822897,-0.019410136776427778,41.38136324739196,41.267494778566665,-0.11386846882529511,29.30001614416515,29.435866568290816,0.1358504241256675,3177.0,3884.0,707.0,96.45,97.0,0.5499999999999972,99.89,99.9,0.010000000000005116,100.0,100.0,0.0,99.88,99.96000000000001,0.0800000000000125,96.45,97.0,0.5499999999999972
cross_xy,factory_prepolish_deep_defect,19291,1,1,1,1,75.38961004785934,75.58546320815461,0.19585316029527178,0.10325771023565043,0.09097792036529435,-0.012279789870356078,0.8640255089112424,0.8090201523577161,-0.05500535655352634,0.5787083355324377,0.5611459536215967,-0.01756238191084103,42.18232390405194,42.12001625201841,-0.062307652033531724,29.090550254733355,29.118691635185602,0.028141380452247233,3058.0,3622.0,564.0,98.7,98.71,0.009999999999990905,100.0,100.0,0.0,100.0,100.0,0.0,99.99,99.99,0.0,98.7,98.71,0.009999999999990905
cross_xy,factory_prepolish_deep_stress,19000,1,1,1,1,74.17802803561354,74.37226289494055,0.19423485932701112,0.1215536221675279,0.10421525135085499,-0.0173383708166729,1.2933898399718435,1.195209080714846,-0.09818075925699743,0.837235250408728,0.8276344185370499,-0.00960083187167815,41.80079909427753,41.73038739387045,-0.07041170040707811,29.17594069393991,29.080410325447176,-0.09553036849273511,3267.0,3763.0,496.0,97.72999999999999,97.72999999999999,0.0,99.65,99.67,0.01999999999999602,100.0,100.0,0.0,100.0,100.0,0.0,97.72999999999999,97.72999999999999,0.0
cross_xy,factory_prepolish_deep_stress,19097,1,1,1,1,74.6126339452464,74.82211205892469,0.20947811367828706,0.09487689468040068,0.08107452969707944,-0.013802364983321241,0.9681705103122138,0.9333165503173466,-0.03485395999486718,1.1119126824932901,1.1083747445870222,-0.003537937906267885,43.510547313800515,43.42145729894334,-0.08909001485717738,28.74874108110516,28.736075049471324,-0.012666031633834507,3003.0,3553.0,550.0,98.52,98.52,0.0,99.49,99.49,0.0,100.0,100.0,0.0,99.95,99.95,0.0,98.52,98.52,0.0
