direction_mode,surface_profile,profile_seed,tile_i,tile_j,champion_all4_area_pct,trained_all4_area_pct,delta_all4_area_pct,champion_strict100,trained_strict100,champion_ge95,trained_ge95,champion_ge90,trained_ge90
cross_xy,factory_prepolish,19194,3,3,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish,19194,3,4,67.25,69.5,2.25,0,0,0,0,0,0
cross_xy,factory_prepolish,19194,4,0,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish,19194,4,1,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish,19194,4,2,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish,19194,4,3,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish,19194,4,4,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish,19291,0,0,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish,19291,0,1,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish,19291,0,2,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish,19291,0,3,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish,19291,0,4,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish,19291,1,0,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish,19291,1,1,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish,19291,1,2,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish,19291,1,3,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish,19291,1,4,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish,19291,2,0,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish,19291,2,1,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish,19291,2,2,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish,19291,2,3,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish,19291,2,4,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish,19291,3,0,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish,19291,3,1,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish,19291,3,2,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish,19291,3,3,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish,19291,3,4,100.0,100.0,0.0,1,1,1,1,1,1
