failed_path_fraction,fine_feed_mm_s,regions_per_active_rail,fine_serial_s,coarse_plus_fine_serial_h,coarse_plus_fine_parallel_h
0.1,8.0,1,1251.644811975535,2.5922157610515044,0.9291477306679995
0.1,8.0,3,1284.644811975535,2.601382427718171,0.9322032862235551
0.1,8.0,5,1317.644811975535,2.6105490943848375,0.9352588417791107
0.1,12.7,1,794.543976047581,2.4652433066270723,0.8836839263444024
0.1,12.7,3,827.543976047581,2.474409973293739,0.886739481899958
0.1,12.7,5,860.543976047581,2.483576639960406,0.8897950374555136
0.2,8.0,1,2486.78962395107,2.93531154215582,1.0519967338402727
0.2,8.0,3,2519.78962395107,2.944478208822486,1.0550522893958283
0.2,8.0,5,2552.78962395107,2.953644875489153,1.0581078449513837
0.2,12.7,1,1572.587952095162,2.6813666333069563,0.9610691251930785
0.2,12.7,3,1605.587952095162,2.690533299973623,0.964124680748634
0.2,12.7,5,1638.587952095162,2.6996999666402894,0.9671802363041896
0.3,8.0,1,3721.9344359266047,3.2784073232601347,1.1748457370125456
0.3,8.0,3,3754.9344359266047,3.2875739899268015,1.1779012925681012
0.3,8.0,5,3787.9344359266047,3.2967406565934683,1.1809568481236565
0.3,12.7,1,2350.631928142743,2.8974899599868396,1.0384543240417543
0.3,12.7,3,2383.631928142743,2.9066566266535063,1.04150987959731
0.3,12.7,5,2416.631928142743,2.915823293320173,1.0445654351528653
0.5,8.0,1,6192.224059877674,3.9645988854687655,1.4205437433570918
0.5,8.0,3,6225.224059877674,3.9737655521354323,1.4235992989126474
0.5,8.0,5,6258.224059877674,3.982932218802099,1.426654854468203
0.5,12.7,1,3906.7198802379053,3.329736613346607,1.1932247217391063
0.5,12.7,3,3939.7198802379053,3.3389032800132736,1.196280277294662
0.5,12.7,5,3972.7198802379053,3.3480699466799404,1.1993358328502175
