rail,segments,waypoints,path_length_m,reversals_proxy,polish_s,turn_dwell_s,rail_move_s,initial_home_s,segment_overhead_s,coarse_total_s
C,14,662,35.38051291361463,174,2785.8671585523325,0.0,11.808260432283038,1.5,98.0,2897.1754189846156
SL,12,925,32.09016827683679,214,2526.784903687937,0.0,8.811123591031887,1.5,84.0,2621.096027278969
SR,12,911,31.34090376759137,204,2467.7876982355406,0.0,8.772783310755273,1.5,84.0,2562.0604815462957
