rail,segments,waypoints,polish_waypoints,hold_review_waypoints,contact_groups,contact_path_length_m,nominal_contact_time_s,nominal_overhead_s,nominal_executable_subset_total_s
C,14,662,545,117,61,19.36993350763567,2183.0862911233444,369.808260432283,2552.8945515556275
SL,12,925,705,220,82,19.794631377237124,2283.476610086435,479.3111235910319,2762.787733677467
SR,12,911,683,228,80,19.041363660315884,2155.5539071918774,468.27278331075524,2623.8266905026326
