policy_label,observation_dim,direction_mode,surface_profile,env,profile_seed,outcome,passes,quality_ok,safety_ok,control_steps,contact_steps,sensor_fault_steps,force_action_mean,feed_action_mean,gu_before,gu_final,ra_before_um,ra_final_um,rz_before_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_min_um,temperature_peak_c
frozen_champion,14,same_xx,factory_prepolish,5,16097,success,1,True,True,2663,2566,0,-0.29013403015749106,0.4837096939174654,74.85952010913368,76.85931627325553,0.11176658861806318,0.0868928169705245,0.8473074415311046,0.7110433875021842,0.0,0.0,43.182518663159776,25.65358664307198
frozen_champion,14,same_xx,factory_prepolish,6,16194,success,1,True,True,2664,2567,0,-0.2900167634268781,0.48311081671857975,75.74178081665688,77.1699695456832,0.10321074472494707,0.0813900967563264,0.7390765054524198,0.6639631871519894,0.0,0.0,41.38105389412927,25.655087305925548
frozen_champion,14,same_xx,factory_prepolish,7,16291,success,1,True,True,3009,2912,0,-0.041897825389139755,0.1984913891664808,72.24914833934439,75.36552048533868,0.10961042851394004,0.0900430950260045,0.8987706766043588,0.8191921316657371,0.582308871305789,0.42872113983679455,42.57693236312169,29.0510453002147
frozen_champion,14,same_xx,factory_prepolish,4,16000,success,1,True,True,3095,2998,0,0.011288127303123474,0.13710748850336368,67.72878389698309,71.34624982122187,0.1040551129290546,0.08369054246516425,0.9048802114792109,0.848961477620036,0.5617850700516337,0.461449337231808,43.875456316611206,29.142888955393452
frozen_champion,14,same_xx,factory_prepolish_deep_defect,10,16194,success,1,True,True,3132,3035,0,0.032617672771158346,0.11211498695905028,71.58309623668956,74.53708822297129,0.10526588344485086,0.11105931369342516,0.9664468052207009,1.0325885836972728,0.6629940111711601,0.5424698190573882,41.351967622969134,29.056361788323617
frozen_champion,14,same_xx,factory_prepolish_deep_stress,14,16194,success,1,True,True,3144,3047,0,0.04008220525520069,0.10385238217147252,71.43898622151173,74.21275009640995,0.10668714098931587,0.11417635967147856,1.3348031278250174,1.421047390639084,1.0525038108584157,0.9122952235390832,41.35107529807316,29.074190461348717
frozen_champion,14,same_xx,factory_prepolish_deep_defect,9,16097,success,1,True,True,3213,3116,0,0.07860823446369379,0.0591883868990084,71.77894927172073,74.95633086373422,0.11344130925202098,0.10067705511131521,1.073093204518477,1.016025979895613,0.6954128583193282,0.5713224928397033,43.182468334326224,29.531265961614245
frozen_champion,14,same_xx,factory_prepolish_deep_stress,13,16097,success,1,True,True,3216,3119,0,0.08090346343398316,0.05706874845058319,71.55009105229918,74.39657497398237,0.11508680584913535,0.10355811537548926,1.3298023764589402,1.277879153459088,1.1303221284091998,0.9507414788891984,43.1824220158751,29.54960406354676
frozen_champion,14,same_xx,factory_prepolish_deep_stress,15,16291,success,1,True,True,3408,3311,0,0.18162487467812122,-0.05872436824468939,68.3728018549591,72.86864067294431,0.11450287031745372,0.10098072581438274,1.303533173794589,1.1982856571291383,1.1238018571368316,0.9895809973164772,42.646967109809424,29.46926998584568
frozen_champion,14,same_xx,factory_prepolish_deep_defect,11,16291,success,1,True,True,3446,3349,0,0.20011157311771544,-0.08004396015727375,68.06763592572776,73.51915442419704,0.1117828313959264,0.0972198394979533,1.0718952176950203,0.9717035748060492,0.7527637397734463,0.6163316984811845,42.5815670452711,29.44146198833669
frozen_champion,14,same_xx,factory_prepolish_deep_defect,8,16000,fail_max_passes,1,False,True,3544,3447,0,0.24653668776070425,-0.13355124137589275,65.04026316602891,69.56641059542135,0.10688309323438955,0.09012054234541744,1.1642681919819258,1.0701285908657237,0.7212166613079085,0.6355935154187662,43.87555711889586,29.182654504492128
frozen_champion,14,same_xx,factory_prepolish_deep_stress,12,16000,fail_max_passes,1,False,True,3551,3454,0,0.24992957050507925,-0.13725858789553141,64.83250399708541,69.12217328592797,0.10873527787293137,0.09299997533317356,1.3792402899288256,1.331350265133881,1.1384294693735824,1.0502297713642488,43.87555888759941,29.206209792846696
frozen_champion,14,same_xx,legacy_stress,0,16000,fail_max_passes,1,False,True,4823,4725,0,0.6765974438597671,-0.6283997213527817,61.713877719544286,68.3209069896452,0.09708206772234819,0.0898606981841205,1.7668669275848798,1.6176406242480348,1.8609992180599577,1.5001739092021582,40.06775192684999,29.481340707448435
frozen_champion,14,same_xx,legacy_stress,1,16097,fail_max_passes,1,False,True,4838,4741,0,0.6807424282996233,-0.6326683765972582,59.65579201423398,65.69816468290938,0.13306107705901118,0.16542171883820947,2.172742129686005,2.104840826553668,1.8456096384360343,1.541769671267646,43.52556890331169,29.476830394248314
frozen_champion,14,same_xx,legacy_stress,3,16291,fail_max_passes,1,False,True,5334,5236,0,0.7913257143497578,-0.7601099151979683,52.42198654667949,64.3327499349583,0.12161333577800242,0.14512938058539407,1.737678294559768,1.6571375958011436,1.2927785794109785,1.150356578739167,41.96052387611494,29.45692628987538
frozen_champion,14,same_xx,legacy_stress,2,16194,fail_max_passes,1,False,True,5616,5518,0,0.8456382411319837,-0.8219724175204494,51.85339906310874,59.868386511695356,0.1342971943723196,0.12503844924539273,2.0497921868464117,1.9426905630334455,1.620805536255461,1.3442007077641889,41.7148369881563,29.5811432756099
