candidate_id,control_step,sim_time_s,force_cmd_n,force_sensor_raw_n,force_sensor_filtered_n,force_model_n,force_used_n,sensor_matrix_n,sensor_fault,force_hard_limit_n,pad_u_m,pad_v_m,pad_gap_m,command_clearance_m,surface_normal_x,surface_normal_y,surface_normal_z,link6_axis_x,link6_axis_y,link6_axis_z,pad_outward_axis_x,pad_outward_axis_y,pad_outward_axis_z,normal_alignment_error_deg,target_quat_w,target_quat_x,target_quat_y,target_quat_z
sphere_r0p60_normal_axis_smoke,1,0.05000000074505806,5.7779998779296875,0.0,0.0,0.4122498631477356,0.0,0.0,False,14.0,-0.28133460879325867,0.16278815269470215,0.4299693703651428,0.06149999052286148,-0.7355576753616333,0.004646921064704657,0.677446186542511,0.9793546199798584,0.19942384958267212,0.033083200454711914,-0.979354739189148,-0.1994239091873169,-0.03308311104774475,45.810543060302734,0.9934215545654297,-0.07381895184516907,0.08754675835371017,-0.0
sphere_r0p60_normal_axis_smoke,2,0.10000000149011612,5.7779998779296875,0.0,0.0,0.4199356734752655,0.0,0.0,False,14.0,-0.17006924748420715,0.16585607826709747,0.2920103669166565,0.06089998036623001,-0.5501154065132141,0.009760130196809769,0.8350316286087036,0.9789350628852844,0.17275510728359222,-0.10881984233856201,-0.9789351224899292,-0.17275512218475342,0.10881981253623962,51.118682861328125,0.9934689402580261,-0.07381542772054672,0.08700993657112122,-0.0
sphere_r0p60_normal_axis_smoke,3,0.15000002086162567,5.7779998779296875,0.0,0.0,0.41999948024749756,0.0,0.0,False,14.0,-0.09041506052017212,0.1849282681941986,0.16927668452262878,0.06029997020959854,-0.4173584282398224,0.04154711216688156,0.9077916741371155,0.921062707901001,0.1554049849510193,-0.3570610284805298,-0.921062707901001,-0.15540480613708496,0.3570612072944641,45.40476608276367,0.9935160875320435,-0.07381192594766617,0.08647318929433823,-0.0
sphere_r0p60_normal_axis_smoke,4,0.20000006258487701,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,-0.0432489812374115,0.189455047249794,0.11750465631484985,0.05969996005296707,-0.3387483060359955,0.04909174516797066,0.9395954608917236,0.8314046859741211,0.17376422882080078,-0.527799129486084,-0.8314048647880554,-0.17376422882080078,0.5277993679046631,39.7336311340332,0.9935628771781921,-0.0738084465265274,0.0859365165233612,-0.0
sphere_r0p60_normal_axis_smoke,5,0.25000008940696716,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,-0.0118752121925354,0.18885010480880737,0.10198423266410828,0.0590999498963356,-0.28645870089530945,0.048083506524562836,0.9568852782249451,0.7009322643280029,0.25120994448661804,-0.6675233840942383,-0.7009322047233582,-0.2512098550796509,0.6675234436988831,34.16207504272461,0.9936094284057617,-0.07380498945713043,0.08539991825819016,-0.0
sphere_r0p60_normal_axis_smoke,6,0.30000004172325134,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.01873117685317993,0.18425840139389038,0.10571825504302979,0.05849993973970413,-0.23544803261756897,0.040430668741464615,0.9710456132888794,0.5830297470092773,0.37739288806915283,-0.7194793224334717,-0.5830298662185669,-0.3773927688598633,0.7194795608520508,34.84883499145508,0.9936556220054626,-0.07380155473947525,0.08486340194940567,-0.0
sphere_r0p60_normal_axis_smoke,7,0.3499999940395355,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.047790348529815674,0.16935867071151733,0.11721956729888916,0.05789992958307266,-0.1870160847902298,0.015597784891724586,0.9822329878807068,0.4791736304759979,0.5127992033958435,-0.7123411893844604,-0.4791735112667084,-0.5127989053726196,0.7123410105705261,38.62029266357422,0.9937015771865845,-0.07379814982414246,0.08432696014642715,-0.0
sphere_r0p60_normal_axis_smoke,8,0.3999999463558197,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.06721484661102295,0.1123233512043953,0.10033565759658813,0.05729991942644119,-0.15464192628860474,-0.07946108281612396,0.9847699403762817,0.33812373876571655,0.45093831419944763,-0.826030969619751,-0.33812370896339417,-0.45093822479248047,0.8260310888290405,25.634693145751953,0.9937471747398376,-0.07379475980997086,0.08379059284925461,-0.0
sphere_r0p60_normal_axis_smoke,9,0.4499998986721039,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.07029423117637634,0.09106625616550446,0.06855610013008118,0.05669990926980972,-0.14950960874557495,-0.11488956958055496,0.9820627570152283,0.06599746644496918,0.35839635133743286,-0.9312338829040527,-0.06599748134613037,-0.3583962917327881,0.9312337636947632,15.077853202819824,0.9937925338745117,-0.07379139214754105,0.08325430005788803,-0.0
sphere_r0p60_normal_axis_smoke,10,0.49999985098838806,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.06812039017677307,0.08892516046762466,0.058621495962142944,0.05609989911317825,-0.15313267707824707,-0.11845806241035461,0.9810800552368164,-0.04471125453710556,0.2000819444656372,-0.9787582159042358,0.04471126198768616,-0.20008206367492676,0.9787585735321045,12.286664962768555,0.9938375353813171,-0.07378804683685303,0.08271808177232742,-0.0
