observation_mode,observation_dim,split,n,mse,mae,force_mse,feed_mse,force_mae,feed_mae
spatial120,120,train,232498,0.0026931928005069494,0.012254569679498672,0.002326664514839649,0.0030597210861742496,0.011093052104115486,0.013416087254881859
spatial120,120,validation,50745,0.005600229371339083,0.03437125310301781,0.005013163201510906,0.006187296472489834,0.03375435248017311,0.034988150000572205
spatial120,120,test,52459,0.005269269924610853,0.037882786244153976,0.004731161054223776,0.005807379726320505,0.03787253051996231,0.03789304569363594
