region_id,path_order,x_m,y_m,contact
1,0,0.105,0.091,True
1,1,0.105,0.151,True
1,2,0.133,0.151,True
1,3,0.133,0.091,True
2,0,0.225,0.201,True
2,1,0.225,0.231,True
