env,sequence,stage,pass,tile_x,tile_y,removal_mean_um,removal_std_um,total_ra_um,total_rz_um,fine_ra_um,fine_rz_um,waviness_std_um,scratch_mean_um,scratch_max_um,clearcoat_min_um,under_fraction,over_fraction,coverage_fraction
0,0,initial,0,0,0,0.0,0.0,0.06635655170757099,0.24232731611502667,0.062145347443748715,0.2291273025854499,0.0,0.0,0.0,44.08282057632752,0.0,0.0,0.0
0,0,initial,0,0,1,0.0,0.0,0.1152243934100845,0.7054850073344492,0.10874663154799316,0.5954703206288124,0.0,0.05228207952713009,0.7558805419668796,43.98909386387251,0.0,0.0,0.0
0,0,initial,0,0,2,0.0,0.0,0.13376375048348826,0.7231969385338031,0.12897515683319033,0.6987602583035656,0.0,0.04160959047138101,1.849941082767495,43.30264564421766,0.0,0.0,0.0
0,0,initial,0,0,3,0.0,0.0,0.05666847935637442,0.2426150616375145,0.05432857289576036,0.23651007566270488,0.0,0.0,0.0,42.485527513806495,0.0,0.0,0.0
0,0,initial,0,0,4,0.0,0.0,0.08002877805554434,0.3025270419160041,0.06978878782338711,0.272582736774191,0.0,0.0,0.0,42.224699858207565,0.0,0.0,0.0
0,0,initial,0,1,0,0.0,0.0,0.06661232822132365,0.32122125546248503,0.05847676883526754,0.28111990197187897,0.0,0.0,0.0,44.29932172319969,0.0,0.0,0.0
0,0,initial,0,1,1,0.0,0.0,0.08944260835170564,0.298505733523173,0.07583680267324472,0.2699245125473372,0.0,5.520591329101797e-05,0.02208236531640719,43.96485466550582,0.0,0.0,0.0
0,0,initial,0,1,2,0.0,0.0,0.2648504999819018,1.948611069713405,0.25040847867312904,1.8720436388936053,0.0,0.1112154567225168,1.7110912775567662,43.136532966085554,0.0,0.0,0.0
0,0,initial,0,1,3,0.0,0.0,0.18425125367687428,0.9795145261124816,0.17189237537549468,0.9397751668611825,0.0,0.06809981353134202,1.6155625539731278,42.28937087287076,0.0,0.0,0.0
0,0,initial,0,1,4,0.0,0.0,0.05937427542355939,0.26514200770893837,0.05512773426590172,0.2622831650649055,0.0,0.0,0.0,42.16163845267534,0.0,0.0,0.0
0,0,initial,0,2,0,0.0,0.0,0.08648292525943863,0.3909833894106931,0.07081455248534854,0.35853783953904417,0.0,0.0033319615859786485,0.3076343090750602,45.32106533174271,0.0,0.0,0.0
0,0,initial,0,2,1,0.0,0.0,0.07746559454389221,0.3038219156167825,0.06990558529854042,0.2755546220589857,0.0,0.0,0.0,44.556436216553,0.0,0.0,0.0
0,0,initial,0,2,2,0.0,0.0,0.07426019852864087,0.33330545095167896,0.06671723989828218,0.247729695101314,0.0,0.00010169346670604984,0.040677386682419936,43.44576232239944,0.0,0.0,0.0
0,0,initial,0,2,3,0.0,0.0,0.19304769103748362,1.018739506690552,0.17953711749556533,0.9621921414212261,0.0,0.0903056098354942,1.7172126852455263,42.56402505113351,0.0,0.0,0.0
0,0,initial,0,2,4,0.0,0.0,0.06513054765360328,0.2595247685261441,0.054334011862786726,0.2294957199413512,0.0,0.0,0.0,42.51236702572646,0.0,0.0,0.0
0,0,initial,0,3,0,0.0,0.0,0.1468672141588911,0.7553413912656961,0.13509596280452324,0.717463423436586,0.0,0.05955381740496929,0.6346095383121011,46.64932437930507,0.0,0.0,0.0
0,0,initial,0,3,1,0.0,0.0,0.12462828036197773,0.6516478748924741,0.11070997823373009,0.6093592228768282,0.0,0.03659824078677427,0.7504150040180931,45.867511079066446,0.0,0.0,0.0
0,0,initial,0,3,2,0.0,0.0,0.10043859412334295,0.4496010935647526,0.09484765419601704,0.4302570839805242,0.0,0.023295839414369586,0.71760048119929,44.6724675336946,0.0,0.0,0.0
0,0,initial,0,3,3,0.0,0.0,0.1038916589263983,0.5132003919301672,0.10330168606089465,0.5091487254998907,0.0,0.03676801355431416,0.7799761026489612,43.829514257805414,0.0,0.0,0.0
0,0,initial,0,3,4,0.0,0.0,0.06750418830623113,0.2910283538956928,0.05844762205285627,0.26362206363755547,0.0,0.0,0.0,43.8109829167907,0.0,0.0,0.0
0,0,initial,0,4,0,0.0,0.0,0.07372049528103414,0.508533954528176,0.0675423152811422,0.33731751265663346,0.0,0.0026868079844002547,0.3005719020085654,46.84930148394561,0.0,0.0,0.0
0,0,initial,0,4,1,0.0,0.0,0.09505886729556715,0.4873692376287281,0.09205632141635314,0.4736935217947674,0.0,0.0035057339715812152,0.29550690728296136,45.72068041291101,0.0,0.0,0.0
0,0,initial,0,4,2,0.0,0.0,0.14392641358173033,0.608740546011052,0.13801193084770688,0.5826658704283925,0.0,0.0544215918018109,0.85715973363181,44.36027160467968,0.0,0.0,0.0
0,0,initial,0,4,3,0.0,0.0,0.06936929473602652,0.3969614179441905,0.060027483137300844,0.35994425295188653,0.0,0.007551261177582123,0.33359130414187066,43.625887955389715,0.0,0.0,0.0
0,0,initial,0,4,4,0.0,0.0,0.04611930663542495,0.23260988403530353,0.0458706214223652,0.22375179155966224,0.0,0.0,0.0,43.5908288578977,0.0,0.0,0.0
