shield_mode,surface_kind,direction_mode,surface_profile,env,profile_seed,outcome,quality_ok,safety_ok,force_hard_violated,thermal_hard_violated,unstable_hard_violated,substep_supervisor_interventions,substep_supervisor_faults,substep_supervisor_max_predicted_force_n,substep_supervisor_raw_force_max_n,substep_supervisor_fraction,control_steps,contact_steps,sensor_fault_steps,raw_force_max_n,normal_alignment_error_max_deg,parent_force_action_mean,executed_force_action_mean,parent_feed_action_mean,shield_step_fraction,geometry_risk_mean,geometry_risk_max,force_command_jump_max_n,feed_command_jump_max_mm_s,flat_action_exact_parity,parent_upper_bound_contract,predictive_force_cap_mean,predictive_force_cap_min,force_action_cap_mean,force_action_cap_min,gu_before,gu_final,ra_before_um,ra_final_um,rz_before_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_min_um,temperature_peak_c,before_gu_pass_area_pct,before_tile_gu_pass_area_pct_mean,before_tile_gu_pass_area_pct_min,before_tile_gu_pass_area_pct_p10,before_ra_pass_area_pct,before_tile_ra_pass_area_pct_mean,before_tile_ra_pass_area_pct_min,before_tile_ra_pass_area_pct_p10,before_rz_pass_area_pct,before_tile_rz_pass_area_pct_mean,before_tile_rz_pass_area_pct_min,before_tile_rz_pass_area_pct_p10,before_scratch_pass_area_pct,before_tile_scratch_pass_area_pct_mean,before_tile_scratch_pass_area_pct_min,before_tile_scratch_pass_area_pct_p10,before_all4_pass_area_pct,before_tile_all4_pass_area_pct_mean,before_tile_all4_pass_area_pct_min,before_tile_all4_pass_area_pct_p10,before_clearcoat_pass_area_pct,before_tile_clearcoat_pass_area_pct_mean,before_tile_clearcoat_pass_area_pct_min,before_tile_clearcoat_pass_area_pct_p10,before_temperature_pass_area_pct,before_tile_temperature_pass_area_pct_mean,before_tile_temperature_pass_area_pct_min,before_tile_temperature_pass_area_pct_p10,final_gu_pass_area_pct,final_tile_gu_pass_area_pct_mean,final_tile_gu_pass_area_pct_min,final_tile_gu_pass_area_pct_p10,final_ra_pass_area_pct,final_tile_ra_pass_area_pct_mean,final_tile_ra_pass_area_pct_min,final_tile_ra_pass_area_pct_p10,final_rz_pass_area_pct,final_tile_rz_pass_area_pct_mean,final_tile_rz_pass_area_pct_min,final_tile_rz_pass_area_pct_p10,final_scratch_pass_area_pct,final_tile_scratch_pass_area_pct_mean,final_tile_scratch_pass_area_pct_min,final_tile_scratch_pass_area_pct_p10,final_all4_pass_area_pct,final_tile_all4_pass_area_pct_mean,final_tile_all4_pass_area_pct_min,final_tile_all4_pass_area_pct_p10,final_clearcoat_pass_area_pct,final_tile_clearcoat_pass_area_pct_mean,final_tile_clearcoat_pass_area_pct_min,final_tile_clearcoat_pass_area_pct_p10,final_temperature_pass_area_pct,final_tile_temperature_pass_area_pct_mean,final_tile_temperature_pass_area_pct_min,final_tile_temperature_pass_area_pct_p10
curvature_safety_v3,cylinder,same_xx,factory_prepolish,1,40000,success,True,True,False,False,False,1936,0,20.300987243652344,11.859004020690918,0.06599850003409014,4889,4789,0,9.503968238830566,48.495338439941406,0.49309018955905637,0.23613776526692204,-0.2604901919682032,1.0,0.5483350027524972,1.0,1.3676897329278335,2.948970442424308,True,True,0.9758221561690736,-0.5,0.3055437778851438,-1.0,70.73515978216898,74.98356335781021,0.12224960127767467,0.09193926245340026,1.1633130685504443,0.998940857059535,0.5910620976386651,0.4612837256064732,41.67741666314087,27.83202791559441,97.26,97.26,65.75,97.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9,99.9,98.75,100.0,97.26,97.26,65.75,97.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.31,97.31,66.75,97.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.31,97.31,66.75,97.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v3,cylinder,same_xx,factory_prepolish_deep_defect,2,40000,success,True,True,False,False,False,2102,0,20.213905334472656,11.857173919677734,0.06606323464705513,5303,5203,0,9.716239929199219,48.49592208862305,0.6298139057034887,0.24625522558073193,-0.48894308595393887,1.0,0.5475725225316006,1.0,1.480382962726865,2.948338053034851,True,True,0.9736451552782153,-0.5,0.3079622200450032,-1.0,65.23049475872075,71.73019303261943,0.12742705911151617,0.10554241735189644,1.4045567538449721,1.2501459301381683,0.8675357318664196,0.6969967646567313,41.67971353288272,28.003583735944257,93.65,93.65,59.25,67.45,99.24,99.24,89.25,99.7,100.0,100.0,100.0,100.0,99.81,99.81,98.5,98.95,93.65,93.65,59.25,67.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.89999999999999,93.9,61.25000000000001,67.85,99.69,99.69,95.5,99.85,100.0,100.0,100.0,100.0,99.98,99.98,99.5,100.0,93.89999999999999,93.9,61.25000000000001,67.85,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v3,cylinder,same_xx,factory_prepolish_deep_stress,3,40000,success,True,True,False,False,False,1970,0,29.859886169433594,13.491291046142578,0.0618679731172665,5307,5207,0,9.504995346069336,48.49592208862305,0.6345998158189499,0.2544652038581891,-0.49335571266436995,1.0,0.54754260986911,1.0,1.4815261328286597,2.9483132709963424,True,True,0.9794705060324876,-0.5,0.3091934299577645,-1.0,65.04439703884593,70.93546645404653,0.13072709766768353,0.11107614759898618,1.7768171317622778,1.74881609181866,1.3045163529444608,1.1331413165955166,41.68050904566976,28.15915309422439,93.60000000000001,93.6,58.5,67.3,97.94,97.94,72.75,97.85,100.0,100.0,100.0,100.0,99.81,99.81,98.25,99.05,93.60000000000001,93.6,58.5,67.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.73,93.73,59.75,67.85,98.64,98.64,80.25,99.05,100.0,100.0,100.0,100.0,99.97,99.97,99.25,100.0,93.73,93.73,59.75,67.85,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v3,cylinder,same_xx,legacy_stress,0,40000,fail_max_passes,False,True,False,False,False,1871,0,20.574084281921387,11.39497184753418,0.054544924494198586,5717,5617,0,9.384039878845215,48.495338439941406,0.7364679995545645,0.2585838983227176,-0.6739500673552619,1.0,0.5480239880457568,1.0,1.4724618415592552,2.948969999881225,True,True,0.9786002441357123,-0.5,0.30974599102829636,-1.0,53.71319128558401,63.484438770929756,0.11174944583640958,0.10319557487653112,1.8912524029635944,1.7735579983309362,1.8578515036350947,1.6554537449592535,41.11322865950082,28.4071669874292,79.64,79.64,37.5,58.35,95.11,95.11,71.0,83.4,100.0,100.0,100.0,100.0,99.51,99.51,96.25,98.2,79.64,79.64,37.5,58.35,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.99,80.99,42.25,61.1,97.31,97.31,75.25,90.60000000000001,100.0,100.0,100.0,100.0,99.95,99.95,99.25,100.0,80.99,80.99,42.25,61.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
