direction_mode,surface_profile,env,control_step,substep,raw_force_before_n,raw_force_latch_n,raw_force_slope_n_s,filtered_force_n,force_command_n,geometry_risk,force_cap_action,parent_force_action,executed_force_action,executed_above_parent,feed_command_mm_s,pad_gap_m,normal_alignment_error_deg,pad_in_patch,sensor_fault
cross_xy,legacy_stress,0,2707,2,13.556127548217773,14.754006385803223,143.7454605102539,12.101343154907227,7.411400318145752,0.028954512435205724,1.0,0.8761075735092163,0.9423099160194397,True,7.413124001026153,-0.00030490756034851074,0.06255725771188736,1,0
cross_xy,factory_prepolish,1,2779,0,11.861860275268555,14.173373222351074,277.38155364990234,12.111003875732422,6.353880882263184,0.10296712844055549,1.0,0.7195366024971008,0.3322264850139618,False,10.907704507015776,0.0003211498260498047,0.47271236777305603,1,0
cross_xy,factory_prepolish_deep_defect,2,3113,5,11.718846321105957,14.069583892822266,282.08850860595703,12.013537406921387,6.186099529266357,0.08835980575323443,1.0,0.19708099961280823,0.23543325066566467,True,12.13891523346696,0.000327378511428833,0.47353947162628174,1,0
same_xx,factory_prepolish_deep_defect,2,2484,4,13.313472747802734,14.376738548278809,127.5918960571289,12.055198669433594,6.4466094970703125,0.24534672647625225,0.8572515406549227,0.13978925347328186,0.38572171330451965,True,11.142048286875797,-0.0010684728622436523,0.23069991171360016,1,0
