surface_kind,direction_mode,surface_profile,env,profile_seed,tile_i,tile_j,cell_count,local_gu_mean,local_ra_mean_um,local_rz_mean_um,gu_pass_area_pct,ra_pass_area_pct,rz_pass_area_pct,scratch_pass_area_pct,all4_pass_area_pct,clearcoat_pass_area_pct,temperature_pass_area_pct
sphere,same_xx,factory_prepolish,3,31097,0,0,400,77.70072635118888,0.02374693824319929,0.0806471720844766,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,same_xx,factory_prepolish,3,31097,0,1,400,77.56245614989017,0.02278224854585387,0.07761939571030464,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,same_xx,factory_prepolish,3,31097,0,2,400,77.55877944421746,0.02491665714521014,0.08452148037027689,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,same_xx,factory_prepolish,3,31097,0,3,400,77.63553975720006,0.021016711863851532,0.07151783679704286,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,same_xx,factory_prepolish,3,31097,0,4,400,77.63038134780604,0.02570614286384126,0.08758148309569021,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,same_xx,factory_prepolish,3,31097,1,0,400,77.51948345535473,0.020044596659914135,0.06819652469679896,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,same_xx,factory_prepolish,3,31097,1,1,400,77.50927346193393,0.01794278953531455,0.0601062164143877,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,same_xx,factory_prepolish,3,31097,1,2,400,77.45640415104535,0.019947276421554003,0.06736086994634899,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,same_xx,factory_prepolish,3,31097,1,3,400,77.470976927229,0.018233029642087128,0.06095172236171755,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,same_xx,factory_prepolish,3,31097,1,4,400,74.86517469495853,0.02035313813036713,0.06971561337781482,84.0,100.0,100.0,100.0,84.0,100.0,100.0
sphere,same_xx,factory_prepolish,3,31097,2,0,400,77.44386574009424,0.022886738392775694,0.07749627455098233,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,same_xx,factory_prepolish,3,31097,2,1,400,77.47672038326054,0.017203033063029373,0.05826013947503048,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,same_xx,factory_prepolish,3,31097,2,2,400,77.48236685232636,0.017469158548387684,0.058964802701405986,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,same_xx,factory_prepolish,3,31097,2,3,400,77.56156936751286,0.019329082438752258,0.06492489251129994,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,same_xx,factory_prepolish,3,31097,2,4,400,77.67224617367192,0.02007417357173158,0.06711401018934199,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,same_xx,factory_prepolish,3,31097,3,0,400,77.46533293921648,0.020765904392434257,0.07084492485049211,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,same_xx,factory_prepolish,3,31097,3,1,400,77.55253062769958,0.018094799017915414,0.061430314550584536,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,same_xx,factory_prepolish,3,31097,3,2,400,77.525036321702,0.02079288431427157,0.07009583128166522,100.0,100.0,100.0,100.0,100.0,100.0,100.0
