surface_kind,curvature_radius_m,freeform_seed,direction_mode,surface_profile,env,profile_seed,outcome,quality_ok,safety_ok,force_hard_violated,thermal_hard_violated,unstable_hard_violated,control_steps,contact_steps,sensor_fault_steps,raw_force_max_n,normal_alignment_error_max_deg,force_action_mean,feed_action_mean,gu_before,gu_final,ra_before_um,ra_final_um,rz_before_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_min_um,temperature_peak_c,before_gu_pass_area_pct,before_tile_gu_pass_area_pct_mean,before_tile_gu_pass_area_pct_min,before_tile_gu_pass_area_pct_p10,before_ra_pass_area_pct,before_tile_ra_pass_area_pct_mean,before_tile_ra_pass_area_pct_min,before_tile_ra_pass_area_pct_p10,before_rz_pass_area_pct,before_tile_rz_pass_area_pct_mean,before_tile_rz_pass_area_pct_min,before_tile_rz_pass_area_pct_p10,before_scratch_pass_area_pct,before_tile_scratch_pass_area_pct_mean,before_tile_scratch_pass_area_pct_min,before_tile_scratch_pass_area_pct_p10,before_all4_pass_area_pct,before_tile_all4_pass_area_pct_mean,before_tile_all4_pass_area_pct_min,before_tile_all4_pass_area_pct_p10,before_clearcoat_pass_area_pct,before_tile_clearcoat_pass_area_pct_mean,before_tile_clearcoat_pass_area_pct_min,before_tile_clearcoat_pass_area_pct_p10,before_temperature_pass_area_pct,before_tile_temperature_pass_area_pct_mean,before_tile_temperature_pass_area_pct_min,before_tile_temperature_pass_area_pct_p10,final_gu_pass_area_pct,final_tile_gu_pass_area_pct_mean,final_tile_gu_pass_area_pct_min,final_tile_gu_pass_area_pct_p10,final_ra_pass_area_pct,final_tile_ra_pass_area_pct_mean,final_tile_ra_pass_area_pct_min,final_tile_ra_pass_area_pct_p10,final_rz_pass_area_pct,final_tile_rz_pass_area_pct_mean,final_tile_rz_pass_area_pct_min,final_tile_rz_pass_area_pct_p10,final_scratch_pass_area_pct,final_tile_scratch_pass_area_pct_mean,final_tile_scratch_pass_area_pct_min,final_tile_scratch_pass_area_pct_p10,final_all4_pass_area_pct,final_tile_all4_pass_area_pct_mean,final_tile_all4_pass_area_pct_min,final_tile_all4_pass_area_pct_p10,final_clearcoat_pass_area_pct,final_tile_clearcoat_pass_area_pct_mean,final_tile_clearcoat_pass_area_pct_min,final_tile_clearcoat_pass_area_pct_p10,final_temperature_pass_area_pct,final_tile_temperature_pass_area_pct_mean,final_tile_temperature_pass_area_pct_min,final_tile_temperature_pass_area_pct_p10
flat,0.6,0,cross_xy,factory_prepolish_deep_defect,5,31097,success,True,True,False,False,False,3585,3486,0,8.347844123840332,89.1669921875,0.5408614438551905,-0.15487621654360198,72.2871679841536,75.58629905875178,0.12035377734851908,0.1260170043813761,1.080907678256999,1.0130306940681946,0.6691882163625448,0.46186196029717674,40.78927982237906,28.99845560944979,97.83,97.83,67.75,97.9,99.97,99.97,99.25,100.0,100.0,100.0,100.0,100.0,99.98,99.98,99.5,100.0,97.83,97.83,67.75,97.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.11999999999999,98.12,73.25,98.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.11999999999999,98.12,73.25,98.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,0.6,0,cross_xy,factory_prepolish_deep_stress,7,31097,success,True,True,False,False,False,3597,3498,0,8.222206115722656,89.16697692871094,0.5438162147613542,-0.16103510885254224,72.17172907036243,75.42594899087985,0.12136776673397782,0.12836311130710246,1.2488817665516687,1.1800522958360549,1.081684901658073,0.855567358792006,40.78929402299513,28.99844814943935,97.78999999999999,97.79,66.75,97.9,99.52,99.52,88.0,100.0,100.0,100.0,100.0,100.0,99.98,99.98,99.5,100.0,97.78999999999999,97.79,66.75,97.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.94,97.94,69.0,98.05,99.88,99.88,97.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.94,97.94,69.0,98.05,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,0.6,0,cross_xy,factory_prepolish_deep_defect,4,31000,success,True,True,False,False,False,4137,4038,0,8.25991439819336,89.16697692871094,0.7342477010404082,-0.4012339736159611,68.25885555901026,73.39502374115742,0.11298395000241573,0.11110950256539466,1.208169859703724,1.1856217508048723,0.7570453964220997,0.583732318066585,42.992955124854134,29.166102879774833,94.1,94.1,42.75,80.15,99.59,99.59,95.25,98.8,100.0,100.0,100.0,100.0,99.87,99.87,98.25,99.85,94.1,94.1,42.75,80.15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.72,94.72,51.0,81.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.72,94.72,51.0,81.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,0.6,0,cross_xy,factory_prepolish_deep_stress,6,31000,success,True,True,False,False,False,4143,4044,0,9.477872848510742,89.16697692871094,0.7350516499739725,-0.4034460123683228,67.81553034635728,72.60805499358783,0.11596058118144167,0.11542492460512417,1.6722526126712407,1.6591587609355072,1.1784688893888984,0.9859519775415172,42.99209805231503,29.170620795557035,93.96,93.96,42.75,79.60000000000001,98.33,98.33,83.5,93.9,100.0,100.0,100.0,100.0,99.88,99.88,98.25,100.0,93.96,93.96,42.75,79.60000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.54,94.54,50.74999999999999,81.0,99.28,99.28,92.5,97.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.54,94.54,50.74999999999999,81.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,0.6,0,cross_xy,legacy_stress,0,31000,fail_max_passes,False,True,False,False,False,4873,4774,0,9.02766227722168,89.16697692871094,0.8419758837334483,-0.6424428493941916,56.14374882566469,65.58712142494169,0.10436793892229047,0.12258443933800028,2.0046725115739297,1.9885524317333652,1.7144875162515547,1.4786110606753904,43.160787690150975,30.023776772104185,87.28,87.28,54.25,62.75000000000001,95.25,95.25,70.75,77.60000000000001,100.0,100.0,100.0,100.0,99.47,99.47,97.0,97.95,87.28,87.28,54.25,62.75000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.49000000000001,88.49,59.5,64.7,95.76,95.76,74.0,78.95,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.49000000000001,88.49,59.5,64.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,0.6,0,cross_xy,legacy_stress,1,31097,fail_max_passes,False,True,False,False,False,6362,6263,0,9.240954399108887,89.16697692871094,0.9817272296660784,-0.9601974832066779,43.89134546048661,55.509260980205084,0.18205527414567396,0.16252368289253122,2.3447286941824435,2.262995248729627,1.9306753005759099,1.6769220290379976,43.767102537443485,29.869518551255528,61.95,61.95,29.75,33.55,83.58,83.58,52.0,58.599999999999994,100.0,100.0,100.0,100.0,99.36,99.36,96.75,98.25,61.95,61.95,29.75,33.55,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,63.739999999999995,63.74,33.0,34.85,89.42999999999999,89.43,54.75,69.65,100.0,100.0,100.0,100.0,99.98,99.98,99.75,100.0,63.739999999999995,63.74,33.0,34.85,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
cylinder,0.6,0,same_xx,factory_prepolish,2,31000,fail_force_overload,False,False,True,False,False,473,373,0,10.872207641601562,48.528297424316406,0.9744079049999568,-0.5789892418235225,72.75308062734142,73.17194184837246,0.1097307693050428,0.10848810430152282,0.8456373003843545,0.8325991863543503,0.4290214107790902,0.4290214107790902,43.24156339916211,27.194526931886934,97.22,97.22,42.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.88,99.88,98.25,100.0,97.22,97.22,42.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.22,97.22,42.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.88,99.88,98.25,100.0,97.22,97.22,42.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
cylinder,0.6,0,same_xx,factory_prepolish_deep_defect,4,31000,fail_force_overload,False,False,True,False,False,1581,1481,0,10.98414134979248,48.52817916870117,0.9692244415302808,-0.7401282644060727,68.25885555901026,71.55003372217838,0.11298395000241573,0.11032348192662086,1.208169859703724,1.1712451404995305,0.7570453964220997,0.6621143536782363,43.17301187619422,29.147722492437524,94.1,94.1,42.75,80.15,99.59,99.59,95.25,98.8,100.0,100.0,100.0,100.0,99.87,99.87,98.25,99.85,94.1,94.1,42.75,80.15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.22,94.22,44.0,80.8,99.92,99.92,98.0,100.0,100.0,100.0,100.0,100.0,99.97,99.97,99.5,100.0,94.22,94.22,44.0,80.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
cylinder,0.6,0,same_xx,factory_prepolish,3,31097,success,True,True,False,False,False,3171,3071,0,11.42685604095459,48.5289192199707,0.43288665287636013,0.08621175363965307,73.64148238075227,76.4010742761596,0.11987626283895714,0.0987359115863339,0.9903408314687232,0.8341793057303188,0.12752690960282664,0.08809930298740415,40.78939195064541,28.00178464487647,99.26,99.26,81.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.26,99.26,81.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.35000000000001,99.35,83.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.35000000000001,99.35,83.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
cylinder,0.6,0,same_xx,factory_prepolish_deep_defect,5,31097,success,True,True,False,False,False,3507,3407,0,12.576072692871094,48.5289192199707,0.5129456653933954,-0.11333480268177192,72.2871679841536,75.56451182458144,0.12035377734851908,0.12083186065355439,1.080907678256999,1.0076050662313314,0.6691882163625448,0.4901045166523561,40.789343868819536,29.098570155134084,97.83,97.83,67.75,97.9,99.97,99.97,99.25,100.0,100.0,100.0,100.0,100.0,99.98,99.98,99.5,100.0,97.83,97.83,67.75,97.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.11999999999999,98.12,73.25,98.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.11999999999999,98.12,73.25,98.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
