candidate_id,stage,tile_x,tile_y,removal_mean_um,removal_std_um,total_ra_um,total_rz_um,fine_ra_um,fine_rz_um,waviness_std_um,scratch_mean_um,scratch_max_um,clearcoat_min_um,under_fraction,over_fraction,coverage_fraction
gate_f5r_normal_freeform,initial,0,0,0.0,0.0,0.10910768001132426,0.4993560007429755,0.09916022389544485,0.4533152639935111,0.0,0.0,0.0,43.94875184819936,0.0,0.0,0.0
gate_f5r_normal_freeform,initial,0,1,0.0,0.0,0.10897881593690886,0.37385912998732007,0.0898096769344624,0.38269575119324706,0.0,0.0,0.0,45.560067653149595,0.0,0.0,0.0
gate_f5r_normal_freeform,initial,0,2,0.0,0.0,0.1056780297274686,0.4422088811324827,0.09001054855178019,0.41505800947151883,0.0,0.0,0.0,46.08657618422225,0.0,0.0,0.0
gate_f5r_normal_freeform,initial,0,3,0.0,0.0,0.09671955854937021,0.415405354617476,0.08895532459311614,0.3917243058235599,0.0,0.0,0.0,45.4346830146236,0.0,0.0,0.0
gate_f5r_normal_freeform,initial,0,4,0.0,0.0,0.09545754761719533,0.4096800538053155,0.07715491350241489,0.3619018223374596,0.0,0.0,0.0,43.95765971591661,0.0,0.0,0.0
gate_f5r_normal_freeform,initial,1,0,0.0,0.0,0.09035820193287869,0.3891320227031647,0.07926153142926794,0.35876631987614616,0.0,0.0,0.0,43.94676180648938,0.0,0.0,0.0
gate_f5r_normal_freeform,initial,1,1,0.0,0.0,0.12145801445498261,0.47547117065266864,0.10290111373303933,0.42750639136540936,0.0,0.0,0.0,44.80531979929404,0.0,0.0,0.0
gate_f5r_normal_freeform,initial,1,2,0.0,0.0,0.10703780081169484,0.45094116996808814,0.08604025990023306,0.37634493838238137,0.0,0.0,0.0,45.18694439947806,0.0,0.0,0.0
gate_f5r_normal_freeform,initial,1,3,0.0,0.0,0.07821187763059559,0.34215747544070446,0.07048677621729507,0.3238151463876777,0.0,0.0,0.0,45.85714984767579,0.0,0.0,0.0
gate_f5r_normal_freeform,initial,1,4,0.0,0.0,0.10034811964463732,0.4252227884541647,0.09034948115680506,0.3804164391902939,0.0,0.0,0.0,45.206132847626435,0.0,0.0,0.0
gate_f5r_normal_freeform,initial,2,0,0.0,0.0,0.10949479320342476,0.40568110103455435,0.09448991854402483,0.36141729173669224,0.0,0.0,0.0,43.37712359645675,0.0,0.0,0.0
gate_f5r_normal_freeform,initial,2,1,0.0,0.0,0.06926670672834515,0.3104753171129484,0.062011372842252735,0.28075851389472617,0.0,0.0,0.0,43.941365564315916,0.0,0.0,0.0
gate_f5r_normal_freeform,initial,2,2,0.0,0.0,0.09242155538853342,0.38697341895674775,0.08232641410604241,0.3621958198328442,0.0,0.0,0.0,44.284262266066854,0.0,0.0,0.0
gate_f5r_normal_freeform,initial,2,3,0.0,0.0,0.10017285419075656,0.4289487574345786,0.08895902193558028,0.3963301585642297,0.0,0.0,0.0,45.485820227672406,0.0,0.0,0.0
gate_f5r_normal_freeform,initial,2,4,0.0,0.0,0.06658366285310308,0.2981070610741564,0.06165655201271508,0.28114260470802255,0.0,0.0,0.0,46.41293203786786,0.0,0.0,0.0
gate_f5r_normal_freeform,initial,3,0,0.0,0.0,0.09786959972252333,0.42671318961804494,0.08422719250128302,0.3847102229939061,0.0,0.0,0.0,43.37213268492907,0.0,0.0,0.0
gate_f5r_normal_freeform,initial,3,1,0.0,0.0,0.0856820316406559,0.35615262135103093,0.06912842683809634,0.30808910941619994,0.0,0.0,0.0,43.869697345558876,0.0,0.0,0.0
gate_f5r_normal_freeform,initial,3,2,0.0,0.0,0.08580128019667489,0.421202643896679,0.07704550420188903,0.3703149759253735,0.0,0.00844993474358522,0.36767048480247766,44.05332998631742,0.0,0.0,0.0
gate_f5r_normal_freeform,initial,3,3,0.0,0.0,0.08141170389544641,0.3608205370951486,0.06934269142459858,0.3462508477229621,0.0,0.0,0.0,45.100632061435526,0.0,0.0,0.0
gate_f5r_normal_freeform,initial,3,4,0.0,0.0,0.0990604345773002,0.508662899027253,0.09296576856302029,0.47384987648439836,0.0,0.0,0.0,47.212737643266394,0.0,0.0,0.0
gate_f5r_normal_freeform,initial,4,0,0.0,0.0,0.0940192566133048,0.4281724600032549,0.08007148998511265,0.3922259292671636,0.0,0.0,0.0,43.89637312911089,0.0,0.0,0.0
gate_f5r_normal_freeform,initial,4,1,0.0,0.0,0.07918342183431076,0.3309341228031696,0.06645214606126867,0.28202704213035584,0.0,0.0,0.0,44.02496614483497,0.0,0.0,0.0
gate_f5r_normal_freeform,initial,4,2,0.0,0.0,0.1195205350241217,0.6101696508444657,0.10702635241283939,0.5561212604143848,0.0,0.04017420602171958,0.4290214107790902,43.96738875591543,0.0,0.0,0.0
gate_f5r_normal_freeform,initial,4,3,0.0,0.0,0.10504119269431093,0.4528956452847377,0.09767599819026877,0.42273101682812864,0.0,0.0,0.0,44.35147850005861,0.0,0.0,0.0
gate_f5r_normal_freeform,initial,4,4,0.0,0.0,0.09862293784269528,0.40804108104313497,0.07826456010061439,0.3583270498562753,0.0,0.0,0.0,46.02707679949502,0.0,0.0,0.0
gate_f5r_normal_freeform,final,0,0,0.08834780810216168,0.049693061982583386,0.09622195518349955,0.4444412171424431,0.08871308932845778,0.4076208287492815,0.036701968548556445,0.0,0.0,43.94645143080479,0.9125,0.0,0.3575
gate_f5r_normal_freeform,final,0,1,0.17459277347077828,0.054663192019658295,0.086515254517345,0.2680664029411821,0.07139521332877362,0.30720786149394863,0.03559391853452827,0.0,0.0,45.32567907753046,0.3875,0.02,0.8625
gate_f5r_normal_freeform,final,0,2,0.18506017955078943,0.037836228415042056,0.07696790541604813,0.32750442025470616,0.06515214120964676,0.30656770536854894,0.019506666490692482,0.0,0.0,45.85004175213431,0.365,0.0425,1.0
gate_f5r_normal_freeform,final,0,3,0.22006081475954656,0.05234982804430725,0.06622698423987583,0.3011052047813147,0.06043762640999851,0.2765093892406071,0.0246237511821687,0.0,0.0,45.25302600003775,0.2,0.2725,0.9975
gate_f5r_normal_freeform,final,0,4,0.16555387563313237,0.041248128147056036,0.0736302148179136,0.3250209937187244,0.05886991858222144,0.2865055653099383,0.025438601421168765,0.0,0.0,43.827563215353806,0.5875,0.0325,0.985
gate_f5r_normal_freeform,final,1,0,0.16214036630952386,0.037332726743435636,0.06699494484851186,0.30179235137276994,0.06007193148736827,0.28035637589946827,0.02441080072382902,0.0,0.0,43.799188349671425,0.515,0.0,0.905
gate_f5r_normal_freeform,final,1,1,0.22742378614928505,0.06466812657807709,0.08285262343121846,0.33378319952399343,0.06989729935289082,0.2994630010911532,0.03313544000164375,0.0,0.0,44.593484690361805,0.165,0.27,1.0
gate_f5r_normal_freeform,final,1,2,0.2706919640057917,0.05460341577396569,0.0666858133572693,0.29501307037971686,0.054026893804554305,0.24897965724269824,0.021626776252549388,0.0,0.0,44.96127881109462,0.035,0.5925,1.0
gate_f5r_normal_freeform,final,1,3,0.24983012538992136,0.04244644414795528,0.047928980684775885,0.22084364384580843,0.043771408417051065,0.21021431534879004,0.018371547402784082,0.0,0.0,45.67350019997585,0.025,0.465,1.0
gate_f5r_normal_freeform,final,1,4,0.19542556611011883,0.04225082782594374,0.06645172893498225,0.2931100488517303,0.06025147791391126,0.2645433854831776,0.013604156474078772,0.0,0.0,45.01788367526409,0.335,0.1125,1.0
gate_f5r_normal_freeform,final,2,0,0.19909561601392084,0.04840109829538231,0.07287946543379077,0.28298961666353883,0.06258218557435112,0.2506085451639889,0.019564614453449397,0.0,0.0,43.24508431687162,0.295,0.1525,1.0
gate_f5r_normal_freeform,final,2,1,0.23043599076889876,0.04024858182274493,0.043066371728773756,0.19975705197661342,0.038536284235936205,0.17958713893264316,0.013960427668663618,0.0,0.0,43.67487589975755,0.0175,0.2275,1.0
gate_f5r_normal_freeform,final,2,2,0.259791678540498,0.056335466813676044,0.058812167045863555,0.25311317087558005,0.052411255887362625,0.23734297049990916,0.021311929215245964,0.0,0.0,43.97090793154173,0.0425,0.53,1.0
gate_f5r_normal_freeform,final,2,3,0.24323455954926157,0.05181296660819827,0.06183747292248978,0.27774916739897343,0.055792966015926086,0.24799231466281896,0.015818817636047047,0.0,0.0,45.222780856378826,0.0925,0.4375,1.0
gate_f5r_normal_freeform,final,2,4,0.2044741326266549,0.039518237664564894,0.04348653873240835,0.19827073058191474,0.04034498758958145,0.19094511261366415,0.022009561156805118,0.0,0.0,46.285500974360275,0.225,0.15,1.0
gate_f5r_normal_freeform,final,3,0,0.22302676077245315,0.04833848618287457,0.06658249500867043,0.30158972558262,0.05772999829630435,0.27473408213111694,0.021308421908146486,0.0,0.0,43.21455175136872,0.17,0.2825,1.0
gate_f5r_normal_freeform,final,3,1,0.24011820543678078,0.03972010305421341,0.05381569932500515,0.22948657783555088,0.04295321612190109,0.19698144189449734,0.010135051214090461,0.0,0.0,43.57420401929597,0.0225,0.42,1.0
gate_f5r_normal_freeform,final,3,2,0.23918808893101645,0.04104386910825449,0.053161106668871444,0.2581780335150107,0.04758370703456004,0.23886809126642178,0.00841158208380266,0.006121090968339951,0.2780333987913149,43.78134016720884,0.0275,0.33,1.0
gate_f5r_normal_freeform,final,3,3,0.2649556148745104,0.049097038555071665,0.0505142814494065,0.22915114671282416,0.04299874646816125,0.2205666426566497,0.01482960985528422,0.0,0.0,44.85275445863656,0.04,0.58,1.0
gate_f5r_normal_freeform,final,3,4,0.22613762370339835,0.052286872585720415,0.06693712040390268,0.35266548156846306,0.062329363106471136,0.3235464013267283,0.024764384351967393,0.0,0.0,46.98040794301047,0.1575,0.31,1.0
gate_f5r_normal_freeform,final,4,0,0.1774279664398483,0.04267442420263085,0.06911772565883685,0.32620592196382786,0.05823251142258123,0.29791020726951245,0.022287994524993512,0.0,0.0,43.692252344617145,0.515,0.0325,0.99
gate_f5r_normal_freeform,final,4,1,0.20545000569957175,0.047100167856207055,0.05363311300189404,0.231301786196764,0.045329576505529975,0.20166620005135633,0.023797326685843563,0.0,0.0,43.73426441849469,0.2375,0.1825,1.0
gate_f5r_normal_freeform,final,4,2,0.22965824474646898,0.060055462417878853,0.08398384225630179,0.4457585907258383,0.07522795529960921,0.4090117814449074,0.027441181752602933,0.029113346624294056,0.34730092379888616,43.782022053869674,0.19,0.3725,0.9875
gate_f5r_normal_freeform,final,4,3,0.22982752136121498,0.05013547207220876,0.06979735195274137,0.3087429784962221,0.06440043131868445,0.2878568362506878,0.02222019971940693,0.0,0.0,44.21783434517513,0.1575,0.3575,1.0
gate_f5r_normal_freeform,final,4,4,0.1858919826917093,0.056737266699379424,0.07105395989468573,0.2972502235775229,0.05471375897840236,0.25620772252533697,0.03531584047505934,0.0,0.0,45.87511967415612,0.425,0.1475,0.9275
