mode,observation_dim,samples,test_mse,test_mae,test_force_mae,test_feed_mae,checkpoint,checkpoint_sha256
base14,14,19200,0.0007939632050693035,0.008918569423258305,0.014785069040954113,0.003052069805562496,/home/rokey/cacadaca/learning/rl/robot/results/gate_f7_bc_base14_19200_20260901_035500/model_bc_gate_f7_base14.pt,d6029d946c649a6ea46cd018cd99752cbb06255b908003360573ab7156573e61
normal17,17,19200,0.0007915179012343287,0.009075308218598366,0.015087313950061798,0.003063303418457508,/home/rokey/cacadaca/learning/rl/robot/results/gate_f7_bc_normal17_19200_20260901_035600/model_bc_gate_f7_normal17.pt,64c6ee700c6a72fc7ae229a0806a20c51ce9ebd0a7217eceda71e26100911926
normal_curvature20,20,19200,0.0007811296381987631,0.009255511686205864,0.01525165792554617,0.0032593647483736277,/home/rokey/cacadaca/learning/rl/robot/results/gate_f7_bc_normal_curvature20_19200_20260901_035700/model_bc_gate_f7_normal_curvature20.pt,943fadd1d354be557b91db480534edebda1335c2447b3c6f63920b22f8c0b20a
