candidate_id,control_step,sim_time_s,force_cmd_n,force_sensor_raw_n,force_sensor_filtered_n,force_model_n,force_used_n,sensor_matrix_n,sensor_fault,force_hard_limit_n,pad_u_m,pad_v_m,pad_gap_m,command_clearance_m,surface_normal_x,surface_normal_y,surface_normal_z
sphere_r0p60_cross,1,0.05000000074505806,5.7779998779296875,0.0,0.0,0.4122498631477356,0.0,0.0,False,14.0,-0.311590313911438,0.12594425678253174,0.4639599919319153,0.06149999052286148,-0.7859838604927063,-0.05675957351922989,0.6156360507011414
sphere_r0p60_cross,2,0.10000000149011612,5.7779998779296875,0.0,0.0,0.4199356734752655,0.0,0.0,False,14.0,-0.20680610835552216,0.10230235755443573,0.325167715549469,0.06089998036623001,-0.611343502998352,-0.09616273641586304,0.7855010032653809
sphere_r0p60_cross,3,0.15000002086162567,5.7779998779296875,0.0,0.0,0.41999948024749756,0.0,0.0,False,14.0,-0.11893460154533386,0.08059746026992798,0.20056277513504028,0.06029997020959854,-0.4648910164833069,-0.1323375701904297,0.8754217028617859
sphere_r0p60_cross,4,0.20000006258487701,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,-0.08346280455589294,0.07222910225391388,0.1554933488368988,0.05969996005296707,-0.4057713449001312,-0.14628483355045319,0.9021919965744019
sphere_r0p60_cross,5,0.25000008940696716,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,-0.057215481996536255,0.06932257115840912,0.15227210521697998,0.0590999498963356,-0.36202579736709595,-0.15112905204296112,0.9198355078697205
sphere_r0p60_cross,6,0.30000004172325134,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,-0.03175032138824463,0.07334326207637787,0.1592906415462494,0.05849993973970413,-0.31958386301994324,-0.14442789554595947,0.9364863634109497
sphere_r0p60_cross,7,0.3499999940395355,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,-0.009855806827545166,0.07813987135887146,0.16908660531044006,0.05789992958307266,-0.28309300541877747,-0.13643354177474976,0.9493388533592224
sphere_r0p60_cross,8,0.3999999463558197,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.008198767900466919,0.07729807496070862,0.14893531799316406,0.05729991942644119,-0.2530020475387573,-0.1378365457057953,0.957596480846405
sphere_r0p60_cross,9,0.4499998986721039,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.025844931602478027,0.07457276433706284,0.11424839496612549,0.05669990926980972,-0.22359177470207214,-0.14237873256206512,0.9642276763916016
sphere_r0p60_cross,10,0.49999985098838806,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.04443451762199402,0.07020793855190277,0.07960161566734314,0.05609989911317825,-0.19260913133621216,-0.14965343475341797,0.9697966575622559
sphere_r0p60_cross,11,0.5499998331069946,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.05951431393623352,0.07296943664550781,0.05936381220817566,0.05549988895654678,-0.16747614741325378,-0.14505094289779663,0.9751471281051636
sphere_r0p60_cross,12,0.5999997854232788,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.06648355722427368,0.07599180936813354,0.05260598659515381,0.054899878799915314,-0.15586073696613312,-0.1400136500597,0.977805495262146
sphere_r0p60_cross,13,0.649999737739563,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.06830599904060364,0.07526397705078125,0.05111044645309448,0.054299868643283844,-0.1528233289718628,-0.14122670888900757,0.9781104326248169
sphere_r0p60_cross,14,0.6999996900558472,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.06892043352127075,0.07423938810825348,0.05055743455886841,0.053699858486652374,-0.151799276471138,-0.14293435215950012,0.9780218601226807
sphere_r0p60_cross,15,0.7499996423721313,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.06926563382148743,0.07328854501247406,0.05014124512672424,0.053099848330020905,-0.15122394263744354,-0.14451909065246582,0.9778780937194824
sphere_r0p60_cross,16,0.7999995946884155,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.06833472847938538,0.07238081097602844,0.05001640319824219,0.052499838173389435,-0.15277545154094696,-0.14603197574615479,0.9774120450019836
sphere_r0p60_cross,17,0.8499995470046997,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.06764841079711914,0.07192163914442062,0.049768269062042236,0.051899828016757965,-0.1539193093776703,-0.1467972695827484,0.9771178960800171
sphere_r0p60_cross,18,0.8999994993209839,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.06753814220428467,0.07172044366598129,0.049329400062561035,0.051299817860126495,-0.1541031002998352,-0.14713259041309357,0.9770385026931763
sphere_r0p60_cross,19,0.9499994516372681,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.06781131029129028,0.07163377106189728,0.04878619313240051,0.050699807703495026,-0.15364781022071838,-0.14727704226970673,0.977088451385498
sphere_r0p60_cross,20,0.9999994039535522,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.06828385591506958,0.07159671187400818,0.04820123314857483,0.050099797546863556,-0.15286023914813995,-0.14733880758285522,0.9772026538848877
sphere_r0p60_cross,21,1.0499993562698364,5.7779998779296875,0.0,0.0,0.42000001668930054,0.0,0.0,False,14.0,0.06884923577308655,0.07158069312572479,0.04760143160820007,0.049499787390232086,-0.1519179344177246,-0.1473655104637146,0.9773455858230591
