rail,segments,waypoints,unsafe_geometry_pt_design,review_required,fit_confidence_min,fit_confidence_median,pad_curvature_ratio_p95,normal_spread_p95_of_waypoints_deg,boundary_risk_p95
C,14,662,117,117,0.6347680521887837,0.9440908873016913,1.127318509280545,45.989337657335945,0.817664443684679
SL,12,925,220,220,0.6753524118088685,0.9739228063894695,0.80869516614858,37.59886637538818,0.9248474281944219
SR,12,911,228,228,0.626363023436983,0.970632462219941,0.765816080347478,38.15190969164758,0.9461154019595368
