epoch,train_mse,validation_mse,validation_mae
0,0.028944751791438378,0.00399588281288743,0.024402450770139694
1,0.00303026987104325,0.003226969623938203,0.01900061033666134
2,0.00290187120875031,0.0030252758879214525,0.017284268513321877
3,0.0028489477861303506,0.0029326260555535555,0.016577810049057007
4,0.002807533446351556,0.0029503018595278263,0.017379458993673325
5,0.0027759667089954617,0.0028797341510653496,0.015918690711259842
6,0.00274462365101266,0.002861709799617529,0.01605306752026081
7,0.002719716756351298,0.002862186636775732,0.016317997127771378
8,0.002695633105400969,0.0028316276147961617,0.015857961028814316
9,0.002670366332153369,0.0027937793638557196,0.014776155352592468
10,0.0026484979320617968,0.0028441317845135927,0.01634790003299713
11,0.002624542985844098,0.0028147094417363405,0.01589074172079563
12,0.0025984562638860106,0.0027821469120681286,0.015629036352038383
13,0.0025726572498954593,0.002801676047965884,0.016243912279605865
14,0.002540800141361918,0.0028314581140875816,0.017931871116161346
15,0.002512890864007574,0.002755173482000828,0.015610765665769577
16,0.002483920217093317,0.002829968696460128,0.018282286822795868
17,0.0024463389765749604,0.002861283253878355,0.018674468621611595
18,0.0024054207333982134,0.002819270361214876,0.017322128638625145
19,0.002369063526070259,0.0027095892000943422,0.01638713665306568
20,0.0023223045383861302,0.0027492032386362553,0.016487665474414825
21,0.0022656816962180848,0.002789139049127698,0.01817244291305542
22,0.002203154649627882,0.002768796170130372,0.018131110817193985
23,0.0021248078320258504,0.002777136629447341,0.0190802663564682
24,0.002026477755953043,0.002711270470172167,0.018634216859936714
25,0.0019010956522270653,0.0026431626174598932,0.018670476973056793
26,0.0017761578054371358,0.0025540702044963837,0.018743600696325302
27,0.0016428743734409118,0.0023044978734105825,0.017508473247289658
28,0.00149520021360221,0.002231862861663103,0.017690589651465416
29,0.0013652619752883397,0.002164725447073579,0.018190229311585426
30,0.0012323808488464924,0.0021470854990184307,0.017373351380228996
31,0.0011186665079763037,0.001923520234413445,0.016819298267364502
32,0.0010167117463113357,0.0017715995199978352,0.01588640734553337
33,0.0009221595169965683,0.0017318447353318334,0.01514782477170229
34,0.0008530919695645767,0.0015523727051913738,0.01429959200322628
35,0.0007773224249515074,0.0015562870539724827,0.014191257767379284
36,0.0007204614217357938,0.0014058499364182353,0.01341849472373724
37,0.0006713177229080812,0.001377109088934958,0.014486121945083141
38,0.0006437366075779758,0.0011799907078966498,0.011286016553640366
39,0.0005976464774776557,0.0015842887805774808,0.01912994682788849
