observation_mode,observation_dim,split,n,mse,mae,force_mse,feed_mse,force_mae,feed_mae
global20,20,train,232498,0.0005520093254745007,0.005584083963185549,0.00046923093032091856,0.0006347877788357437,0.005289529450237751,0.005878637544810772
global20,20,validation,50745,0.0011799907078966498,0.011286016553640366,0.00099523039534688,0.0013647511368617415,0.010279281996190548,0.012292751111090183
global20,20,test,52459,0.0011868344154208899,0.009643977507948875,0.000942619051784277,0.0014310497790575027,0.008667528629302979,0.010620427317917347
