surface_profile,direction_mode,step_over_ratio,edge_mode,checkpoint,env,profile_seed,outcome,passes,gu_before,gu_final,ra_before_um,ra_final_um,rz_before_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_min_um,quality_ok,safety_ok
new_car_mild,cross_xy,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,2,1194,success,1,84.33634617486696,86.30793330965736,0.049392246702836665,0.031152677463495388,0.40953277700676993,0.32258575873382367,0.17537594023888803,0.12167478911513491,40.637290628456384,True,True
new_car_mild,cross_xy,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,1,1097,success,1,86.02583431201006,87.76820665771953,0.03725486162390018,0.02906483236320562,0.27965671994531693,0.2438107905380468,0.0646567225414377,0.03280062193680902,43.42440095111239,True,True
new_car_mild,cross_xy,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,10,1970,success,1,88.11077978584689,87.99711483968532,0.05966935757934832,0.04411923770927814,0.4894785546565575,0.41362653085404455,0.0,0.0,43.28577414001765,True,True
new_car_mild,cross_xy,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,12,2164,success,1,79.89879367820318,84.82228070062393,0.056347728229255836,0.043669645124654016,0.4530013427851343,0.37547307253971035,0.23811716844371736,0.1562481462652966,43.60099015255468,True,True
new_car_mild,cross_xy,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,0,1000,success,1,81.1033897011976,85.16339130031234,0.04993485964142556,0.03487401548928843,0.43502309689307916,0.3580886137243928,0.28823003786835455,0.25457087726291605,42.38905081700451,True,True
new_car_mild,cross_xy,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,3,1291,success,1,88.12260604741283,87.99626319537438,0.055753920892678284,0.03948688543337504,0.44099847691801874,0.3859434466245092,0.0,0.0,41.69389480929287,True,True
new_car_mild,cross_xy,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,6,1582,success,1,82.75548444242376,83.97852429533414,0.050067972636310874,0.034898554765128355,0.42543494337769494,0.33084266121976735,0.11082976862610384,0.0751060560760225,42.70585864854125,True,True
new_car_mild,cross_xy,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,7,1679,success,1,87.79627542596089,87.84611364135054,0.045167608973032285,0.03229339745658556,0.3375741217598247,0.27875992286115303,0.0,0.0,42.4548516414629,True,True
new_car_mild,cross_xy,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,8,1776,success,1,87.89343708674024,87.90453795952631,0.054210413542670595,0.03961916974144242,0.3912262489207046,0.32961226780323094,0.0,0.0,43.203495073215905,True,True
new_car_mild,cross_xy,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,11,2067,success,1,88.63070532675589,88.26694288033927,0.06188190110351941,0.0444274181636541,0.4557494672250068,0.3528856655865559,0.0,0.0,42.360264617152986,True,True
new_car_mild,cross_xy,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,13,2261,success,1,88.3746196882296,88.16716343658523,0.044160583441829195,0.033535851306496264,0.3301257314348831,0.2870015832002796,0.0,0.0,42.21684414129613,True,True
new_car_mild,cross_xy,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,14,2358,success,1,80.72896733729257,86.2336661593159,0.04832248554498525,0.03673889995491735,0.3797966299791882,0.32741435222379756,0.08822201013812676,0.05270225058308259,41.47035152133416,True,True
new_car_mild,cross_xy,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,15,2455,success,1,88.58126101478156,88.25023733476324,0.051814143395877206,0.03728869845178635,0.37323409400606056,0.339877041907524,0.0,0.0,43.00272247378308,True,True
new_car_mild,cross_xy,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,5,1485,success,1,85.69821027730319,87.20955033925821,0.043668925885214635,0.03205753926994473,0.32584642593339763,0.2735851151915225,0.10843815946373732,0.0567498850028971,41.39308891040161,True,True
new_car_mild,cross_xy,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,9,1873,success,1,88.41129828188514,88.17658335668767,0.05551274870299213,0.039127138103923154,0.42572576099446213,0.36805123654354094,0.0,0.0,41.99636386162422,True,True
new_car_mild,cross_xy,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,4,1388,success,1,76.29165560018549,84.11282878725545,0.053762943463059015,0.040088913372124536,0.4269578774652889,0.37652893071544535,0.32740074503894845,0.23735514366640156,44.14353596550865,True,True
