env,control_step,substep,force_sensor_raw_n,force_sensor_filt_n,force_model_n,force_used_n,force_cmd_n,pad_gap_m,pad_in_patch,normal_alignment_error_deg,sensor_fault,hard_latched_before,hard_latched_after,latch_event,parent_force_action,executed_force_action,executed_feed_action,geometry_risk,force_cap_action,predictive_force_cap_action,predicted_force_n,shield_force_command_n,shield_feed_command_mm_s,observed_force_mean_n,observed_force_delta_n,shield_mode,surface_kind,direction_mode,surface_profile,profile_seed
1,0,4,0.0,0.0,0.40277740359306335,0.0,4.044600009918213,0.4228435754776001,0,43.96113586425781,0,0,0,0,0.5196982026100159,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish,40000
2,0,4,0.0,0.0,0.40277740359306335,0.0,4.044600009918213,0.4228436350822449,0,43.96114730834961,0,0,0,0,0.5196982026100159,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_defect,40000
3,0,4,0.0,0.0,0.40277740359306335,0.0,4.044600009918213,0.4228436350822449,0,43.96114730834961,0,0,0,0,0.5196982026100159,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_stress,40000
0,0,5,0.0,0.0,0.4122498631477356,0.0,4.044600009918213,0.39932769536972046,0,45.65786361694336,0,0,0,0,0.5196982026100159,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
1,0,5,0.0,0.0,0.4122498631477356,0.0,4.044600009918213,0.39932769536972046,0,45.65786361694336,0,0,0,0,0.5196982026100159,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish,40000
2,0,5,0.0,0.0,0.4122498631477356,0.0,4.044600009918213,0.39932769536972046,0,45.65786361694336,0,0,0,0,0.5196982026100159,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_defect,40000
3,0,5,0.0,0.0,0.4122498631477356,0.0,4.044600009918213,0.39932769536972046,0,45.65786361694336,0,0,0,0,0.5196982026100159,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_stress,40000
0,1,0,0.0,0.0,0.41651245951652527,0.0,4.044600009918213,0.3771389126777649,0,47.24131774902344,0,0,0,0,0.15929141640663147,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
1,1,0,0.0,0.0,0.41651245951652527,0.0,4.044600009918213,0.3771389126777649,0,47.24131774902344,0,0,0,0,0.15929141640663147,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish,40000
2,1,0,0.0,0.0,0.41651245951652527,0.0,4.044600009918213,0.37713900208473206,0,47.241302490234375,0,0,0,0,0.15929141640663147,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_defect,40000
3,1,0,0.0,0.0,0.41651245951652527,0.0,4.044600009918213,0.37713900208473206,0,47.241302490234375,0,0,0,0,0.15929141640663147,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_stress,40000
0,1,1,0.0,0.0,0.4184306263923645,0.0,4.044600009918213,0.35607221722602844,0,48.727230072021484,0,0,0,0,0.15929141640663147,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
1,1,1,0.0,0.0,0.4184306263923645,0.0,4.044600009918213,0.35607221722602844,0,48.727230072021484,0,0,0,0,0.15929141640663147,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish,40000
2,1,1,0.0,0.0,0.4184306263923645,0.0,4.044600009918213,0.35607242584228516,0,48.72724151611328,0,0,0,0,0.15929141640663147,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_defect,40000
3,1,1,0.0,0.0,0.4184306263923645,0.0,4.044600009918213,0.35607242584228516,0,48.72724151611328,0,0,0,0,0.15929141640663147,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_stress,40000
0,1,2,0.0,0.0,0.4192937910556793,0.0,4.044600009918213,0.3359644114971161,0,50.127071380615234,0,0,0,0,0.15929141640663147,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
1,1,2,0.0,0.0,0.4192937910556793,0.0,4.044600009918213,0.3359644114971161,0,50.127071380615234,0,0,0,0,0.15929141640663147,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish,40000
2,1,2,0.0,0.0,0.4192937910556793,0.0,4.044600009918213,0.3359644114971161,0,50.127071380615234,0,0,0,0,0.15929141640663147,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_defect,40000
3,1,2,0.0,0.0,0.4192937910556793,0.0,4.044600009918213,0.3359644114971161,0,50.127071380615234,0,0,0,0,0.15929141640663147,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_stress,40000
0,1,3,0.0,0.0,0.41968220472335815,0.0,4.044600009918213,0.3134703040122986,0,50.64808654785156,0,0,0,0,0.15929141640663147,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
1,1,3,0.0,0.0,0.41968220472335815,0.0,4.044600009918213,0.3134703040122986,0,50.64808654785156,0,0,0,0,0.15929141640663147,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish,40000
2,1,3,0.0,0.0,0.41968220472335815,0.0,4.044600009918213,0.3134702444076538,0,50.64811706542969,0,0,0,0,0.15929141640663147,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_defect,40000
