shield_mode,surface_kind,direction_mode,surface_profile,env,profile_seed,outcome,quality_ok,safety_ok,force_hard_violated,thermal_hard_violated,unstable_hard_violated,substep_supervisor_interventions,substep_supervisor_faults,substep_supervisor_max_predicted_force_n,substep_supervisor_raw_force_max_n,substep_supervisor_fraction,control_steps,contact_steps,sensor_fault_steps,raw_force_max_n,normal_alignment_error_max_deg,parent_force_action_mean,executed_force_action_mean,parent_feed_action_mean,shield_step_fraction,geometry_risk_mean,geometry_risk_max,force_command_jump_max_n,feed_command_jump_max_mm_s,flat_action_exact_parity,parent_upper_bound_contract,predictive_force_cap_mean,predictive_force_cap_min,force_action_cap_mean,force_action_cap_min,gu_before,gu_final,ra_before_um,ra_final_um,rz_before_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_min_um,temperature_peak_c,before_gu_pass_area_pct,before_tile_gu_pass_area_pct_mean,before_tile_gu_pass_area_pct_min,before_tile_gu_pass_area_pct_p10,before_ra_pass_area_pct,before_tile_ra_pass_area_pct_mean,before_tile_ra_pass_area_pct_min,before_tile_ra_pass_area_pct_p10,before_rz_pass_area_pct,before_tile_rz_pass_area_pct_mean,before_tile_rz_pass_area_pct_min,before_tile_rz_pass_area_pct_p10,before_scratch_pass_area_pct,before_tile_scratch_pass_area_pct_mean,before_tile_scratch_pass_area_pct_min,before_tile_scratch_pass_area_pct_p10,before_all4_pass_area_pct,before_tile_all4_pass_area_pct_mean,before_tile_all4_pass_area_pct_min,before_tile_all4_pass_area_pct_p10,before_clearcoat_pass_area_pct,before_tile_clearcoat_pass_area_pct_mean,before_tile_clearcoat_pass_area_pct_min,before_tile_clearcoat_pass_area_pct_p10,before_temperature_pass_area_pct,before_tile_temperature_pass_area_pct_mean,before_tile_temperature_pass_area_pct_min,before_tile_temperature_pass_area_pct_p10,final_gu_pass_area_pct,final_tile_gu_pass_area_pct_mean,final_tile_gu_pass_area_pct_min,final_tile_gu_pass_area_pct_p10,final_ra_pass_area_pct,final_tile_ra_pass_area_pct_mean,final_tile_ra_pass_area_pct_min,final_tile_ra_pass_area_pct_p10,final_rz_pass_area_pct,final_tile_rz_pass_area_pct_mean,final_tile_rz_pass_area_pct_min,final_tile_rz_pass_area_pct_p10,final_scratch_pass_area_pct,final_tile_scratch_pass_area_pct_mean,final_tile_scratch_pass_area_pct_min,final_tile_scratch_pass_area_pct_p10,final_all4_pass_area_pct,final_tile_all4_pass_area_pct_mean,final_tile_all4_pass_area_pct_min,final_tile_all4_pass_area_pct_p10,final_clearcoat_pass_area_pct,final_tile_clearcoat_pass_area_pct_mean,final_tile_clearcoat_pass_area_pct_min,final_tile_clearcoat_pass_area_pct_p10,final_temperature_pass_area_pct,final_tile_temperature_pass_area_pct_mean,final_tile_temperature_pass_area_pct_min,final_tile_temperature_pass_area_pct_p10
curvature_safety_v3,cylinder,cross_xy,factory_prepolish,1,40000,success,True,True,False,False,False,2188,0,19.487555503845215,11.555706024169922,0.07434590553856608,4905,4805,0,10.317059516906738,48.495338439941406,0.49653601440298206,0.22715909141229249,-0.27906511673261386,1.0,0.5485600939674197,1.0,1.3676897329278335,2.9489514130757595,True,True,0.9744620136741955,-0.5,0.30531795541699647,-1.0,70.73515978216898,75.03440244388548,0.12224960127767467,0.08969292985504425,1.1633130685504443,0.9872054010895615,0.5910620976386651,0.4528668476246758,41.670488085494064,27.946880164153924,97.26,97.26,65.75,97.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9,99.9,98.75,100.0,97.26,97.26,65.75,97.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.32,97.32,67.0,97.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.32,97.32,67.0,97.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v3,cylinder,cross_xy,factory_prepolish_deep_defect,2,40000,success,True,True,False,False,False,2021,0,19.411731719970703,11.546021461486816,0.06364953388762913,5292,5192,0,9.44475269317627,48.49592208862305,0.6253515145461936,0.2448313657829837,-0.4869995792977123,1.0,0.5478337651589121,1.0,1.481904346627414,2.9489509705328683,True,True,0.9756206930562212,-0.5,0.30836292293927325,-1.0,65.23049475872075,71.76881207578477,0.12742705911151617,0.10151210828795443,1.4045567538449721,1.2458584256996,0.8675357318664196,0.706189436084977,41.67106240032309,28.491494181059753,93.65,93.65,59.25,67.45,99.24,99.24,89.25,99.7,100.0,100.0,100.0,100.0,99.81,99.81,98.5,98.95,93.65,93.65,59.25,67.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.91000000000001,93.91,61.0,68.0,99.69,99.69,95.5,99.85,100.0,100.0,100.0,100.0,99.98,99.98,99.5,100.0,93.91000000000001,93.91,61.0,68.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v3,cylinder,cross_xy,factory_prepolish_deep_stress,3,40000,success,True,True,False,False,False,1989,0,24.405866622924805,12.943015098571777,0.06257078142695356,5298,5198,0,11.471343994140625,48.49592208862305,0.626151773599059,0.24388662834421532,-0.4913604402371108,1.0,0.5478152385868802,1.0,1.4819022558738153,2.9489514130757595,True,True,0.978189801423898,-0.5,0.3085627446210603,-1.0,65.04439703884593,70.96914656594048,0.13072709766768353,0.10687668883648603,1.7768171317622778,1.611961004427529,1.3045163529444608,1.1433527310477878,41.670627462132174,28.474445024012454,93.60000000000001,93.6,58.5,67.3,97.94,97.94,72.75,97.85,100.0,100.0,100.0,100.0,99.81,99.81,98.25,99.05,93.60000000000001,93.6,58.5,67.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.75,93.75,59.75,68.0,98.63,98.63,80.25,99.05,100.0,100.0,100.0,100.0,99.97,99.97,99.25,100.0,93.75,93.75,59.75,68.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v3,cylinder,cross_xy,legacy_stress,0,40000,fail_max_passes,False,True,False,False,False,2243,0,20.574084281921387,11.080392837524414,0.06473304473304474,5775,5675,0,9.848923683166504,48.495338439941406,0.7529948136687795,0.25078746397035634,-0.7107263376599267,1.0,0.5482613383394369,1.0,1.4617373238392704,2.948969999881225,True,True,0.9722037610063305,-0.5,0.3076474383921883,-1.0,53.71319128558401,63.80694358728738,0.11174944583640958,0.10362217743453661,1.8912524029635944,1.7673777131445885,1.8578515036350947,1.6523492538209454,41.11003821772452,28.480687994207518,79.64,79.64,37.5,58.35,95.11,95.11,71.0,83.4,100.0,100.0,100.0,100.0,99.51,99.51,96.25,98.2,79.64,79.64,37.5,58.35,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,81.10000000000001,81.1,43.0,60.5,97.28,97.28,75.25,90.4,100.0,100.0,100.0,100.0,99.97,99.97,99.5,100.0,81.10000000000001,81.1,43.0,60.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
