selection_rank,step_over_ratio,edge_mode,direction_mode,lines_per_sweep,path_length_m,exposure_cv,center_edge_ratio,under_80pct_fraction,corner_min_norm,coverage_effective_fraction,selection_reason
1,0.40,balanced_extend5,cross_xy,5,2.10,0.1462694606703467,1.2013821824085729,0.1392,0.42775144311640784,1.0,best analytic uniformity and cross-direction diagnosis
2,0.40,balanced_extend5,same_xx,5,2.10,0.15038972802906628,1.2013821824085729,0.1484,0.4277514431164079,1.0,second analytic rank and paired direction control
