step_over_ratio,step_over_m,edge_mode,direction_mode,lines_per_sweep,sweeps,path_length_m,footprint_inside_quality_map,minimum_quality_map_footprint_margin_m,coverage_any_fraction,coverage_effective_fraction,exposure_cv,exposure_min_norm,exposure_p05_norm,exposure_p95_norm,exposure_p95_p05_norm,under_80pct_fraction,over_120pct_fraction,center_mean_norm,edge_mean_norm,center_edge_delta_norm,center_edge_ratio,edge_min_norm,corner_mean_norm,corner_min_norm,metric_status,uniformity_rank
0.4,0.044000000000000004,balanced_extend5,cross_xy,5,2,2.1,True,0.0009905660377358336,1.0,1.0,0.1462694606703467,0.42775144311640784,0.7008453324735967,1.1336919769782783,0.4328466445046816,0.1392,0.0,1.1216302903753597,0.9336165516677434,0.18801373870761628,1.2013821824085729,0.42775144311640784,0.8316895017563022,0.42775144311640784,PT-DESIGN_ANALYTIC_EXPOSURE_NOT_PHYSICAL_REMOVAL,1
0.4,0.044000000000000004,balanced_extend5,same_xx,5,2,2.1,True,0.0009905660377358336,1.0,1.0,0.15038972802906628,0.4277514431164079,0.6910154215331957,1.1404265792275259,0.44941115769433015,0.1484,0.0,1.1216302903753599,0.9336165516677436,0.18801373870761628,1.2013821824085729,0.4277514431164079,0.8316895017563024,0.4277514431164079,PT-DESIGN_ANALYTIC_EXPOSURE_NOT_PHYSICAL_REMOVAL,2
0.32,0.0352,balanced_extend5,cross_xy,6,2,2.52,True,0.0009905660377358336,1.0,1.0,0.16538509489386996,0.4230629256330778,0.6927159573504276,1.1593385815301787,0.4666226241797511,0.1596,0.0,1.142444335753673,0.9185808128029751,0.223863522950698,1.2437058556313587,0.4230629256330778,0.7990269118735577,0.4230629256330778,PT-DESIGN_ANALYTIC_EXPOSURE_NOT_PHYSICAL_REMOVAL,3
0.32,0.0352,balanced_extend5,same_xx,6,2,2.52,True,0.0009905660377358336,1.0,1.0,0.1660504637695313,0.42306292563307785,0.6894091742752761,1.1640554866337518,0.47464631235847565,0.166,0.0,1.1424443357536733,0.9185808128029754,0.2238635229506979,1.2437058556313585,0.42306292563307785,0.799026911873558,0.42306292563307785,PT-DESIGN_ANALYTIC_EXPOSURE_NOT_PHYSICAL_REMOVAL,4
0.4,0.044000000000000004,balanced,cross_xy,5,2,1.9999999999999998,True,0.005999999999999998,1.0,1.0,0.16846790187441854,0.3847687244176501,0.6670892947554837,1.16308262174988,0.49599332699439624,0.1612,0.0,1.1501184195629557,0.9189776254397473,0.23114079412320843,1.2515195013726297,0.3847687244176501,0.7968035944441997,0.3847687244176501,PT-DESIGN_ANALYTIC_EXPOSURE_NOT_PHYSICAL_REMOVAL,5
0.4,0.044000000000000004,balanced,same_xx,5,2,1.9999999999999998,True,0.005999999999999998,1.0,1.0,0.1781503922541602,0.38476872441765014,0.634127677548741,1.1718814987494304,0.5377538212006894,0.1718,0.0,1.150118419562956,0.9189776254397475,0.23114079412320843,1.2515195013726295,0.38476872441765014,0.7968035944441998,0.38476872441765014,PT-DESIGN_ANALYTIC_EXPOSURE_NOT_PHYSICAL_REMOVAL,6
0.4,0.044000000000000004,legacy_start,cross_xy,5,2,1.9999999999999998,True,0.005999999999999998,1.0,1.0,0.1809763758557599,0.30845794051146297,0.6280062344365235,1.1711883653605881,0.5431821309240646,0.1658,0.0,1.1571227002412552,0.9127257671408598,0.24439693310039534,1.2677660058463955,0.30845794051146297,0.7840643687035889,0.30845794051146297,PT-DESIGN_ANALYTIC_EXPOSURE_NOT_PHYSICAL_REMOVAL,7
0.32,0.0352,balanced,cross_xy,6,2,2.4,True,0.005999999999999998,1.0,1.0,0.1886793132629301,0.3741070088991994,0.6581658797258203,1.1870488122862577,0.5288829325604374,0.1888,0.0,1.1718033979757416,0.9033872010860062,0.2684161968897354,1.2971219833168537,0.3741070088991994,0.7651700445361865,0.3741070088991994,PT-DESIGN_ANALYTIC_EXPOSURE_NOT_PHYSICAL_REMOVAL,8
0.32,0.0352,balanced,same_xx,6,2,2.4,True,0.005999999999999998,1.0,1.0,0.19200825966272958,0.37410700889919946,0.6278860586908936,1.1939201132248483,0.5660340545339546,0.1894,0.0092,1.1718033979757414,0.9033872010860062,0.26841619688973517,1.2971219833168532,0.37410700889919946,0.7651700445361862,0.37410700889919946,PT-DESIGN_ANALYTIC_EXPOSURE_NOT_PHYSICAL_REMOVAL,9
0.32,0.0352,legacy_start,cross_xy,6,2,2.4,True,0.005999999999999998,1.0,1.0,0.19278924905154438,0.31417179517531063,0.6255689091778648,1.1905168382041416,0.5649479290262768,0.1898,0.0036,1.1756157779098826,0.9021441063348409,0.2734716715750417,1.303135241537054,0.31417179517531063,0.7625518372005103,0.31417179517531063,PT-DESIGN_ANALYTIC_EXPOSURE_NOT_PHYSICAL_REMOVAL,10
0.4,0.044000000000000004,legacy_start,same_xx,5,2,1.9999999999999998,True,0.005999999999999998,1.0,1.0,0.19409745043483398,0.3084579405114629,0.610366818251269,1.1827213956952716,0.5723545774440025,0.1942,0.0,1.157122700241255,0.91272576714086,0.244396933100395,1.267766005846395,0.3084579405114629,0.7840643687035889,0.3084579405114629,PT-DESIGN_ANALYTIC_EXPOSURE_NOT_PHYSICAL_REMOVAL,11
0.32,0.0352,legacy_start,same_xx,6,2,2.4,True,0.005999999999999998,1.0,1.0,0.19785432459139596,0.3141717951753105,0.6126457009560832,1.1975282931908358,0.5848825922347526,0.1904,0.0186,1.1756157779098826,0.9021441063348411,0.2734716715750415,1.3031352415370536,0.3141717951753105,0.7625518372005103,0.3141717951753105,PT-DESIGN_ANALYTIC_EXPOSURE_NOT_PHYSICAL_REMOVAL,12
0.18,0.019799999999999998,balanced_extend5,cross_xy,10,2,4.2,True,0.0009905660377358336,1.0,1.0,0.20113415009298047,0.35717453859149983,0.6430665991277906,1.195381251339985,0.5523146522121944,0.2072,0.0292,1.1905757794845326,0.8951724243298054,0.29540335515472727,1.3299960400097097,0.35717453859149983,0.7474086350487349,0.35717453859149983,PT-DESIGN_ANALYTIC_EXPOSURE_NOT_PHYSICAL_REMOVAL,13
0.18,0.019799999999999998,balanced_extend5,same_xx,10,2,4.2,True,0.0009905660377358336,1.0,1.0,0.20313328465641592,0.35717453859149983,0.6090848536611372,1.2009565653837488,0.5918717117226117,0.2072,0.0596,1.1905757794845326,0.8951724243298054,0.29540335515472727,1.3299960400097097,0.35717453859149983,0.7474086350487349,0.35717453859149983,PT-DESIGN_ANALYTIC_EXPOSURE_NOT_PHYSICAL_REMOVAL,14
0.25,0.0275,balanced_extend5,cross_xy,7,2,2.94,True,0.0009905660377358336,1.0,1.0,0.21549052843839592,0.3344937921751556,0.6170862046993428,1.221365376557711,0.6042791718583682,0.2268,0.2164,1.2096469143201931,0.886962663672181,0.3226842506480121,1.363808155477529,0.3344937921751556,0.7298164255672508,0.3344937921751556,PT-DESIGN_ANALYTIC_EXPOSURE_NOT_PHYSICAL_REMOVAL,15
