checkpoint,env,sequence,pass,tile_x,tile_y,gu_current,gu_optimistic_ceiling,gu_if_min_baseline,gu_if_cellwise_worst,gu_ceiling_if_min_baseline,gu_ceiling_if_cellwise_worst,ceiling_margin_to_target,q_clearcoat_current,q_clearcoat_min_baseline,q_clearcoat_cellwise_worst,clearcoat_initial_min_um,clearcoat_initial_mean_um,clearcoat_min_um,limiting_term_current,disposition
model_bc_robot_tesla12p7.pt,0,0,1,0,0,42.498,78.0,42.498,42.498,78.0,78.0,8.0,0.876332,0.876332,0.876332,40.0,40.0,38.763,q_ra,plausible_rework_candidate
model_bc_robot_tesla12p7.pt,0,0,1,0,1,54.545,77.99,54.545,54.545,77.99,77.99,7.99,0.833336,0.833336,0.833336,40.0,40.0,38.333,q_scratch,plausible_rework_candidate
model_bc_robot_tesla12p7.pt,0,0,1,0,2,59.432,78.0,59.432,59.432,78.0,78.0,8.0,0.815404,0.815404,0.815404,40.0,40.0,38.154,q_scratch,plausible_rework_candidate
model_bc_robot_tesla12p7.pt,0,0,1,0,3,61.411,77.995,61.411,61.411,77.995,77.995,7.995,0.816597,0.816597,0.816597,40.0,40.0,38.166,q_scratch,plausible_rework_candidate
model_bc_robot_tesla12p7.pt,0,0,1,0,4,74.872,77.949,74.872,74.872,77.949,77.949,7.949,0.814557,0.814557,0.814557,40.0,40.0,38.146,q_uniformity,target_met
model_bc_robot_tesla12p7.pt,0,0,1,1,0,49.615,78.0,49.615,49.615,78.0,78.0,8.0,0.839978,0.839978,0.839978,40.0,40.0,38.4,q_ra,plausible_rework_candidate
model_bc_robot_tesla12p7.pt,0,0,1,1,1,52.13,77.968,52.13,52.13,77.968,77.968,7.968,0.819155,0.819155,0.819155,40.0,40.0,38.192,q_ra,plausible_rework_candidate
model_bc_robot_tesla12p7.pt,0,0,1,1,2,62.591,78.0,62.591,62.591,78.0,78.0,8.0,0.797804,0.797804,0.797804,40.0,40.0,37.978,q_scratch,plausible_rework_candidate
model_bc_robot_tesla12p7.pt,0,0,1,1,3,52.703,77.975,52.703,52.703,77.975,77.975,7.975,0.796065,0.796065,0.796065,40.0,40.0,37.961,q_ra,plausible_rework_candidate
model_bc_robot_tesla12p7.pt,0,0,1,1,4,66.659,77.742,66.659,66.659,77.742,77.742,7.742,0.794005,0.794005,0.794005,40.0,40.0,37.94,q_scratch,plausible_rework_candidate
model_bc_robot_tesla12p7.pt,0,0,1,2,0,54.207,77.999,54.207,54.207,77.999,77.999,7.999,0.837031,0.837031,0.837031,40.0,40.0,38.37,q_scratch,plausible_rework_candidate
model_bc_robot_tesla12p7.pt,0,0,1,2,1,48.075,78.0,48.075,48.075,78.0,78.0,8.0,0.822488,0.822488,0.822488,40.0,40.0,38.225,q_ra,plausible_rework_candidate
model_bc_robot_tesla12p7.pt,0,0,1,2,2,71.784,78.0,71.784,71.784,78.0,78.0,8.0,0.817563,0.817563,0.817563,40.0,40.0,38.176,q_scratch,target_met
model_bc_robot_tesla12p7.pt,0,0,1,2,3,71.708,77.905,71.708,71.708,77.905,77.905,7.905,0.796232,0.796232,0.796232,40.0,40.0,37.962,q_scratch,target_met
model_bc_robot_tesla12p7.pt,0,0,1,2,4,54.691,77.399,54.691,54.691,77.399,77.399,7.399,0.797178,0.797178,0.797178,40.0,40.0,37.972,q_ra,plausible_rework_candidate
model_bc_robot_tesla12p7.pt,0,0,1,3,0,67.415,77.994,67.415,67.415,77.994,77.994,7.994,0.845762,0.845762,0.845762,40.0,40.0,38.458,q_scratch,plausible_rework_candidate
model_bc_robot_tesla12p7.pt,0,0,1,3,1,62.473,78.0,62.473,62.473,78.0,78.0,8.0,0.830363,0.830363,0.830363,40.0,40.0,38.304,q_scratch,plausible_rework_candidate
model_bc_robot_tesla12p7.pt,0,0,1,3,2,66.263,78.0,66.263,66.263,78.0,78.0,8.0,0.802504,0.802504,0.802504,40.0,40.0,38.025,q_scratch,plausible_rework_candidate
model_bc_robot_tesla12p7.pt,0,0,1,3,3,70.352,77.153,70.352,70.352,77.153,77.153,7.153,0.801817,0.801817,0.801817,40.0,40.0,38.018,q_scratch,target_met
model_bc_robot_tesla12p7.pt,0,0,1,3,4,63.594,75.865,63.594,63.594,75.865,75.865,5.865,0.801566,0.801566,0.801566,40.0,40.0,38.016,q_scratch,plausible_rework_candidate
model_bc_robot_tesla12p7.pt,0,0,1,4,0,75.268,78.0,75.268,75.268,78.0,78.0,8.0,0.871486,0.871486,0.871486,40.0,40.0,38.715,q_uniformity,target_met
model_bc_robot_tesla12p7.pt,0,0,1,4,1,75.67,78.0,75.67,75.67,78.0,78.0,8.0,0.851015,0.851015,0.851015,40.0,40.0,38.51,q_uniformity,target_met
model_bc_robot_tesla12p7.pt,0,0,1,4,2,70.711,78.0,70.711,70.711,78.0,78.0,8.0,0.83439,0.83439,0.83439,40.0,40.0,38.344,q_scratch,target_met
model_bc_robot_tesla12p7.pt,0,0,1,4,3,54.689,77.393,54.689,54.689,77.393,77.393,7.393,0.807721,0.807721,0.807721,40.0,40.0,38.077,q_ra,plausible_rework_candidate
model_bc_robot_tesla12p7.pt,0,0,1,4,4,66.026,76.638,66.026,66.026,76.638,76.638,6.638,0.808919,0.808919,0.808919,40.0,40.0,38.089,q_scratch,plausible_rework_candidate
