control_step,rollout_iteration_zero_based,active_envs,reward_mean_active,reward_min_active,reward_max_active,dense_mean_active,dense_abs_mean_active,terminal_sum_active,terminal_nonzero_events
17,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
18,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
19,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
20,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
21,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
22,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
23,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
24,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
25,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
26,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
27,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
28,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
29,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
30,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
31,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
32,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
33,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
34,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
35,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
36,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
37,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
38,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
39,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
40,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
41,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
42,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
43,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
44,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
45,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
46,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
47,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
48,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
49,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
50,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
51,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
52,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
53,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
54,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
55,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
56,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
57,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
58,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
59,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
60,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
61,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
62,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
63,1,12,-0.8100001811981201,-0.8100004196166992,-0.8100000023841858,-0.8100001811981201,0.8100001811981201,0.0,0
64,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
65,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
66,1,12,-0.8103658556938171,-0.811462938785553,-0.8100000023841858,-0.8103658556938171,0.8103658556938171,0.0,0
67,1,12,-0.8100042343139648,-0.8100164532661438,-0.8100000023841858,-0.8100042343139648,0.8100042343139648,0.0,0
68,1,12,-0.828157901763916,-0.8826310634613037,-0.8100000023841858,-0.828157901763916,0.828157901763916,0.0,0
69,1,12,-0.8100143074989319,-0.8100570440292358,-0.8100000023841858,-0.8100143074989319,0.8100143074989319,0.0,0
70,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
71,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
72,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
73,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
74,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
75,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
76,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
77,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
78,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
79,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
80,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
81,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
82,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
83,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
84,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
85,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
86,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
87,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
88,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
89,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
90,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
91,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
92,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
93,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
94,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
95,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
96,1,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
97,2,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
98,2,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
99,2,12,-0.8745286464691162,-0.9438000321388245,-0.8033045530319214,-0.8745286464691162,0.8745286464691162,0.0,0
100,2,12,-0.653222918510437,-1.0058029890060425,-0.31399691104888916,-0.653222918510437,0.653222918510437,0.0,0
101,2,12,-0.26160702109336853,-0.4758637249469757,-0.05670713633298874,-0.26160702109336853,0.26160702109336853,0.0,0
102,2,12,-0.10184822231531143,-0.12328176945447922,-0.043936245143413544,-0.10184822231531143,0.10184822231531143,0.0,0
103,2,12,-0.04701484367251396,-0.11456245929002762,0.04868070036172867,-0.04701484367251396,0.06722347438335419,0.0,0
104,2,12,-0.010848689824342728,-0.07039910554885864,0.0805230513215065,-0.010848689824342728,0.0593685507774353,0.0,0
105,2,12,0.02040809579193592,-0.05163533240556717,0.12941832840442657,0.02040809579193592,0.07174642384052277,0.0,0
106,2,12,0.039737239480018616,-0.03617188334465027,0.153400719165802,0.039737239480018616,0.07566914707422256,0.0,0
107,2,12,0.05470673367381096,-0.025196228176355362,0.17439071834087372,0.05470673367381096,0.07977011054754257,0.0,0
108,2,12,0.0630858913064003,-0.017808686941862106,0.1837087720632553,0.0630858913064003,0.0806879773736,0.0,0
109,2,12,0.07058529555797577,-0.01221824623644352,0.19391508400440216,0.07058529555797577,0.0826302245259285,0.0,0
110,2,12,0.07458146661520004,-0.011712799780070782,0.202118381857872,0.07458146661520004,0.08617591857910156,0.0,0
111,2,12,0.07618406414985657,-0.014349326491355896,0.20811402797698975,0.07618406414985657,0.09043958783149719,0.0,0
112,2,12,0.07762444764375687,-0.016198311001062393,0.21296964585781097,0.07762444764375687,0.09375816583633423,0.0,0
113,2,12,0.07893913239240646,-0.017495879903435707,0.21747612953186035,0.07893913239240646,0.09626389294862747,0.0,0
114,2,12,0.07792770862579346,-0.018742332234978676,0.2194710224866867,0.07792770862579346,0.09649265557527542,0.0,0
115,2,12,0.07806531339883804,-0.019268760457634926,0.2199554294347763,0.07806531339883804,0.09705468267202377,0.0,0
116,2,12,0.07814514636993408,-0.01990257203578949,0.22098566591739655,0.07814514636993408,0.09785542637109756,0.0,0
117,2,12,0.07867851853370667,-0.019986877217888832,0.22174350917339325,0.07867851853370667,0.09855727106332779,0.0,0
118,2,12,0.07962872833013535,-0.02014251798391342,0.2226550430059433,0.07962872833013535,0.09878039360046387,0.0,0
119,2,12,0.08036202937364578,-0.020616302266716957,0.22376038134098053,0.08036202937364578,0.0991215631365776,0.0,0
120,2,12,0.0804627314209938,-0.02041374146938324,0.22451891005039215,0.0804627314209938,0.09815835952758789,0.0,0
121,2,12,0.08123127371072769,-0.02076946198940277,0.22610504925251007,0.08123127371072769,0.09897727519273758,0.0,0
122,2,12,0.08190391957759857,-0.020628508180379868,0.2271609753370285,0.08190391957759857,0.09943931549787521,0.0,0
123,2,12,0.08243872970342636,-0.020902786403894424,0.22582946717739105,0.08243872970342636,0.09925243258476257,0.0,0
124,2,12,0.08320751786231995,-0.020780906081199646,0.22515933215618134,0.08320751786231995,0.0991913452744484,0.0,0
125,2,12,0.08460754156112671,-0.020974691957235336,0.22632421553134918,0.08460754156112671,0.09908092767000198,0.0,0
126,2,12,0.08512013405561447,-0.021021613851189613,0.2268413007259369,0.08512013405561447,0.0996154323220253,0.0,0
127,2,12,0.08468683809041977,-0.02138877846300602,0.2287384569644928,0.08468683809041977,0.09921041876077652,0.0,0
128,2,12,0.08664651960134506,-0.020724449306726456,0.2298486977815628,0.08664651960134506,0.09865038841962814,0.0,0
129,2,12,0.08699343353509903,-0.021390113979578018,0.2308800369501114,0.08699343353509903,0.0995277687907219,0.0,0
130,2,12,0.08844924718141556,-0.021115265786647797,0.23193161189556122,0.08844924718141556,0.09966292977333069,0.0,0
131,2,12,0.08922191709280014,-0.02128349244594574,0.232890322804451,0.08922191709280014,0.10025704652070999,0.0,0
132,2,12,0.08964536339044571,-0.02129722572863102,0.2307000458240509,0.08964536339044571,0.10021214932203293,0.0,0
133,2,12,0.08945029228925705,-0.02127586305141449,0.22740790247917175,0.08945029228925705,0.10004311800003052,0.0,0
134,2,12,0.08979370445013046,-0.02145439013838768,0.22862926125526428,0.08979370445013046,0.10047038644552231,0.0,0
135,2,12,0.09097272157669067,-0.021222077310085297,0.22947758436203003,0.09097272157669067,0.10153823345899582,0.0,0
136,2,12,0.09160000085830688,-0.021316107362508774,0.22992722690105438,0.09160000085830688,0.10223429650068283,0.0,0
137,2,12,0.09213156253099442,-0.02151237428188324,0.22854946553707123,0.09213156253099442,0.10284809023141861,0.0,0
138,2,12,0.09320356696844101,-0.02132507413625717,0.2297920137643814,0.09320356696844101,0.10378840565681458,0.0,0
139,2,12,0.09204426407814026,-0.021603737026453018,0.22994078695774078,0.09204426407814026,0.10277605056762695,0.0,0
140,2,12,0.09336128830909729,-0.021383248269557953,0.2311018407344818,0.09336128830909729,0.10399571806192398,0.0,0
141,2,12,0.0933825895190239,-0.021643981337547302,0.2320082038640976,0.0933825895190239,0.10417016595602036,0.0,0
142,2,12,0.09444070607423782,-0.021590957418084145,0.23288017511367798,0.09444070607423782,0.10515589267015457,0.0,0
143,2,12,0.09575282782316208,-0.021584853529930115,0.23335200548171997,0.09575282782316208,0.10648784041404724,0.0,0
144,2,12,0.09550449997186661,-0.021659430116415024,0.2303217202425003,0.09550449997186661,0.10630158334970474,0.0,0
145,3,12,0.09482813626527786,-0.021544035524129868,0.22956044971942902,0.09482813626527786,0.10556916147470474,0.0,0
146,3,12,-0.02600744552910328,-0.463606595993042,0.22376856207847595,-0.02600744552910328,0.21645210683345795,0.0,0
147,3,12,0.08754199743270874,-0.021740876138210297,0.22397452592849731,0.08754199743270874,0.10369976609945297,0.0,0
148,3,12,0.08986061066389084,-0.02168308198451996,0.22531482577323914,0.08986061066389084,0.10242479294538498,0.0,0
149,3,12,0.09749361127614975,-0.02192455157637596,0.22526128590106964,0.09749361127614975,0.1084255576133728,0.0,0
150,3,12,0.0994410291314125,-0.021746788173913956,0.22615154087543488,0.0994410291314125,0.11027506738901138,0.0,0
151,3,12,0.10106264799833298,-0.02189251035451889,0.22669336199760437,0.10106264799833298,0.11194276064634323,0.0,0
152,3,12,0.10112208127975464,-0.021852456033229828,0.22698429226875305,0.10112208127975464,0.11203388124704361,0.0,0
153,3,12,0.10236289352178574,-0.02171970345079899,0.22789055109024048,0.10236289352178574,0.11320576816797256,0.0,0
154,3,12,0.10273297876119614,-0.02204166352748871,0.22679118812084198,0.10273297876119614,0.11368691921234131,0.0,0
155,3,12,0.10214110463857651,-0.022013626992702484,0.22676344215869904,0.10214110463857651,0.11309625953435898,0.0,0
156,3,12,0.1022334024310112,-0.02206951007246971,0.2267421931028366,0.1022334024310112,0.11321557313203812,0.0,0
157,3,12,0.10211452841758728,-0.02202068269252777,0.2236461341381073,0.10211452841758728,0.11305710673332214,0.0,0
158,3,12,0.10034766048192978,-0.022038230672478676,0.22200262546539307,0.10034766048192978,0.11134926229715347,0.0,0
159,3,12,0.09986978769302368,-0.022038038820028305,0.21992062032222748,0.09986978769302368,0.11086851358413696,0.0,0
160,3,12,0.09971457719802856,-0.022168884053826332,0.2171998918056488,0.09971457719802856,0.11074390262365341,0.0,0
161,3,12,0.09910625219345093,-0.02222190797328949,0.21303196251392365,0.09910625219345093,0.11016830801963806,0.0,0
162,3,12,0.09972226619720459,-0.02227989211678505,0.21355345845222473,0.09972226619720459,0.1107797846198082,0.0,0
163,3,12,0.10007169097661972,-0.02226940169930458,0.21385698020458221,0.10007169097661972,0.11117514222860336,0.0,0
164,3,12,0.09905270487070084,-0.022325478494167328,0.21364334225654602,0.09905270487070084,0.11011853069067001,0.0,0
165,3,12,0.098288893699646,-0.022340163588523865,0.20828379690647125,0.098288893699646,0.10940449684858322,0.0,0
166,3,12,0.09844662994146347,-0.022341307252645493,0.2072242796421051,0.09844662994146347,0.10959583520889282,0.0,0
167,3,12,0.09918690472841263,-0.02238231524825096,0.20763781666755676,0.09918690472841263,0.11037629842758179,0.0,0
168,3,12,0.0997360348701477,-0.02228160947561264,0.20755155384540558,0.0997360348701477,0.11082905530929565,0.0,0
169,3,12,0.10014364868402481,-0.022599563002586365,0.2074480503797531,0.10014364868402481,0.11141600459814072,0.0,0
170,3,12,0.09908267110586166,-0.02227874845266342,0.20517879724502563,0.09908267110586166,0.11021264642477036,0.0,0
171,3,12,0.09976809471845627,-0.0225316621363163,0.20544354617595673,0.09976809471845627,0.11099061369895935,0.0,0
172,3,12,0.1000567078590393,-0.022485503926873207,0.20417506992816925,0.1000567078590393,0.11126402020454407,0.0,0
173,3,12,0.10006063431501389,-0.02271934598684311,0.20101770758628845,0.10006063431501389,0.1113758310675621,0.0,0
174,3,12,0.10044827312231064,-0.022694358602166176,0.20084626972675323,0.10044827312231064,0.11175819486379623,0.0,0
175,3,12,0.10052789002656937,-0.02263980731368065,0.20105600357055664,0.10052789002656937,0.11175636202096939,0.0,0
176,3,12,0.09968528896570206,-0.022875748574733734,0.20087507367134094,0.09968528896570206,0.1110052838921547,0.0,0
177,3,12,0.09868735820055008,-0.022716864943504333,0.20080676674842834,0.09868735820055008,0.10992911458015442,0.0,0
178,3,12,0.0982503890991211,-0.022892914712429047,0.20099613070487976,0.0982503890991211,0.10963520407676697,0.0,0
179,3,12,0.09823188185691833,-0.02282463014125824,0.20120994746685028,0.09823188185691833,0.1095784530043602,0.0,0
180,3,12,0.0986528992652893,-0.022962722927331924,0.20056000351905823,0.0986528992652893,0.11010325700044632,0.0,0
181,3,12,0.09944979101419449,-0.022903213277459145,0.20120814442634583,0.09944979101419449,0.11085105687379837,0.0,0
182,3,12,0.09967204183340073,-0.02286296710371971,0.20077620446681976,0.09967204183340073,0.11107343435287476,0.0,0
183,3,12,0.09829004853963852,-0.022816047072410583,0.1946287304162979,0.09829004853963852,0.1096721664071083,0.0,0
184,3,12,0.098126120865345,-0.023024138063192368,0.19293512403964996,0.098126120865345,0.10962604731321335,0.0,0
185,3,12,0.09783073514699936,-0.02304454892873764,0.19332070648670197,0.09783073514699936,0.10930504649877548,0.0,0
186,3,12,0.09760283678770065,-0.023044738918542862,0.1914147436618805,0.09760283678770065,0.10909802466630936,0.0,0
187,3,12,0.09808430075645447,-0.023216400295495987,0.18964430689811707,0.09808430075645447,0.10961433500051498,0.0,0
188,3,12,0.09859120845794678,-0.02299419417977333,0.1896357536315918,0.09859120845794678,0.11004450172185898,0.0,0
189,3,12,0.09753540903329849,-0.023341141641139984,0.18913285434246063,0.09753540903329849,0.1091446578502655,0.0,0
190,3,12,0.09784722328186035,-0.023037681356072426,0.18912270665168762,0.09784722328186035,0.10933331400156021,0.0,0
191,3,12,0.09812118858098984,-0.023226508870720863,0.1886436492204666,0.09812118858098984,0.10971761494874954,0.0,0
192,3,12,0.09845481067895889,-0.02328868955373764,0.1870562881231308,0.09845481067895889,0.11007708311080933,0.0,0
193,4,12,0.09884796291589737,-0.02317100390791893,0.18644364178180695,0.09884796291589737,0.11041445285081863,0.0,0
194,4,12,0.09920432418584824,-0.023290596902370453,0.18598192930221558,0.09920432418584824,0.11083930730819702,0.0,0
195,4,12,0.09789077192544937,-0.023368988186120987,0.18471965193748474,0.09789077192544937,0.10956859588623047,0.0,0
196,4,12,0.09787478297948837,-0.023526154458522797,0.18062688410282135,0.09787478297948837,0.10959716886281967,0.0,0
197,4,12,0.09688854962587357,-0.023369941860437393,0.1762010008096695,0.09688854962587357,0.10852760821580887,0.0,0
198,4,12,0.0969817265868187,-0.023511085659265518,0.1756148338317871,0.0969817265868187,0.10871479660272598,0.0,0
199,4,12,0.09728065133094788,-0.023694191128015518,0.17551752924919128,0.09728065133094788,0.10907777398824692,0.0,0
200,4,12,0.09768915921449661,-0.023453865200281143,0.1747768372297287,0.09768915921449661,0.1093624010682106,0.0,0
201,4,12,0.09780412912368774,-0.023713454604148865,0.1743086278438568,0.09780412912368774,0.10964592546224594,0.0,0
202,4,12,0.09735725075006485,-0.023698769509792328,0.1742703765630722,0.09735725075006485,0.10917177051305771,0.0,0
203,4,12,0.09756449609994888,-0.023595962673425674,0.1741572618484497,0.09756449609994888,0.1093270406126976,0.0,0
204,4,12,0.09758587926626205,-0.023847350850701332,0.17355690896511078,0.09758587926626205,0.10947155952453613,0.0,0
205,4,12,0.09778555482625961,-0.023835334926843643,0.17334605753421783,0.09778555482625961,0.10959208011627197,0.0,0
206,4,12,0.09788591414690018,-0.024040184915065765,0.1725648045539856,0.09788591414690018,0.109838105738163,0.0,0
207,4,12,0.09813330322504044,-0.023652229458093643,0.17201517522335052,0.09813330322504044,0.109925277531147,0.0,0
208,4,12,0.096544049680233,-0.023945579305291176,0.16916590929031372,0.096544049680233,0.10848122835159302,0.0,0
209,4,12,0.09527457505464554,-0.02401023730635643,0.1693328469991684,0.09527457505464554,0.10720104724168777,0.0,0
210,4,12,0.09507990628480911,-0.02407127246260643,0.16803255677223206,0.09507990628480911,0.1070651188492775,0.0,0
211,4,12,0.09492364525794983,-0.02391124702990055,0.16797247529029846,0.09492364525794983,0.1068568229675293,0.0,0
212,4,12,0.09436451643705368,-0.02411571517586708,0.16800369322299957,0.09436451643705368,0.10640571266412735,0.0,0
213,4,12,0.0944419875741005,-0.023897895589470863,0.16801242530345917,0.0944419875741005,0.10637610405683517,0.0,0
214,4,12,0.09366574138402939,-0.024239882826805115,0.16782262921333313,0.09366574138402939,0.10575295239686966,0.0,0
215,4,12,0.09345957636833191,-0.02402854897081852,0.16587431728839874,0.09345957636833191,0.1054568886756897,0.0,0
216,4,12,0.09290549904108047,-0.024217376485466957,0.16563650965690613,0.09290549904108047,0.10497865825891495,0.0,0
217,4,12,0.0921294093132019,-0.02424999326467514,0.16650629043579102,0.0921294093132019,0.10423177480697632,0.0,0
218,4,12,0.09156065434217453,-0.024241026490926743,0.16288219392299652,0.09156065434217453,0.10365194827318192,0.0,0
219,4,12,0.0907425582408905,-0.024320755153894424,0.161899134516716,0.0907425582408905,0.1028457060456276,0.0,0
220,4,12,0.08971419930458069,-0.02429271675646305,0.1619139015674591,0.08971419930458069,0.10184192657470703,0.0,0
221,4,12,0.08967682719230652,-0.024545440450310707,0.16100849211215973,0.08967682719230652,0.10193174332380295,0.0,0
222,4,12,0.08955961465835571,-0.02460227906703949,0.16092842817306519,0.08955961465835571,0.1017591580748558,0.0,0
223,4,12,0.0895199403166771,-0.02467380464076996,0.16020715236663818,0.0895199403166771,0.10174571722745895,0.0,0
224,4,12,0.08914443105459213,-0.024642523378133774,0.15902788937091827,0.08914443105459213,0.10141029953956604,0.0,0
225,4,12,0.08934348821640015,-0.024568520486354828,0.15923163294792175,0.08934348821640015,0.10157646983861923,0.0,0
226,4,12,0.08935791999101639,-0.024760209023952484,0.15926755964756012,0.08935791999101639,0.1016593873500824,0.0,0
227,4,12,0.08846793323755264,-0.024749144911766052,0.15941791236400604,0.08846793323755264,0.10080187767744064,0.0,0
228,4,12,0.08836472779512405,-0.02459483966231346,0.1593976467847824,0.08836472779512405,0.1006312295794487,0.0,0
229,4,12,0.08837280422449112,-0.024877319112420082,0.1582908034324646,0.08837280422449112,0.10078367590904236,0.0,0
230,4,12,0.08826547116041183,-0.02465282380580902,0.15749803185462952,0.08826547116041183,0.10057082772254944,0.0,0
231,4,12,0.08801063150167465,-0.024850044399499893,0.15771903097629547,0.08801063150167465,0.10041476041078568,0.0,0
232,4,12,0.08750217407941818,-0.024889716878533363,0.15751083195209503,0.08750217407941818,0.09989451617002487,0.0,0
233,4,12,0.0866759791970253,-0.024950560182332993,0.15563517808914185,0.0866759791970253,0.09909636527299881,0.0,0
