env,surface_profile,profile_seed,outcome,quality_ok,safety_ok,control_steps,rollout_iteration_of_terminal_zero_based,rollout_iterations_required,direct_terminal_credit_steps_max,direct_terminal_credit_path_fraction,contact_steps,sensor_fault_steps,total_reward_sum,dense_reward_sum,dense_reward_abs_sum,terminal_reward_sum,terminal_reward_events,terminal_to_dense_abs_ratio,hypothetical_uninterrupted_gamma_weight,hypothetical_uninterrupted_terminal_at_start,comparison_gamma_weight,gu_before,gu_final,ra_before_um,ra_final_um,rz_before_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_min_um,temperature_peak_c
0,factory_prepolish,17000,success,True,True,2942,61,62,48,0.016315431679129844,2844,0,617.6819314947352,-51.46577358338982,192.30779544170946,669.147705078125,1,3.479566200325721,0.22972605444194164,153.72066212647766,1.4558187596656635e-13,67.24813633805859,72.09673839117605,0.10413770856752608,0.08906354232385133,0.9017196156925023,0.902411599020884,0.4647459390511862,0.39111597090052264,41.449045481906786,28.6762548724757
1,factory_prepolish,17097,success,True,True,3224,67,68,48,0.01488833746898263,3127,0,643.8544139461592,-65.92250255774707,201.3884509569034,709.7769165039062,1,3.5244171804856705,0.19950758778970834,141.60588048051156,8.555239814822935e-15,67.1179614202767,72.7295052581863,0.11759338570652071,0.10527443972264625,1.1090504557677332,1.040593373154985,0.621523311158719,0.47659381456233585,43.84801821799275,29.51563923463271
2,factory_prepolish,17194,success,True,True,3256,67,68,48,0.014742014742014743,3159,0,662.6091599166393,-52.77218773961067,216.08841341733932,715.38134765625,1,3.310595586051198,0.19634008207839548,140.4580325161813,6.202380635150335e-15,69.73054847485282,73.98132608605356,0.1200961061804764,0.11771737254732832,1.0317449833782197,1.0399967653788469,0.5573858663956128,0.41688407324507315,42.76389910563356,28.90575777264854
3,factory_prepolish,17291,success,True,True,2959,61,62,48,0.01622169651909429,2861,0,610.5721379183233,-92.65210524573922,187.3961142450571,703.2242431640625,1,3.7526084572087717,0.2277811741724491,160.18124381444204,1.2271725142608019e-13,72.50551829559676,74.8319633970332,0.10846847992882518,0.08781595059466127,0.8387848476441762,0.7344117860111692,0.4430370173864422,0.3901838142091793,42.10195712950656,28.620126769628747
4,factory_prepolish_deep_defect,17000,success,True,True,3370,70,71,48,0.014243323442136498,3272,0,676.4940132419579,-18.215154238510877,228.4807180580683,694.7091674804688,1,3.0405592795095675,0.1854590334188603,128.84009070814886,1.9722892116214398e-15,64.13392229590725,71.22087828337092,0.10608415426020283,0.09750565488659022,1.0132079153812303,1.040923469538579,0.6573204106849144,0.45876084914654935,41.429313241214246,29.249742882412537
5,factory_prepolish_deep_defect,17097,success,True,True,3558,74,75,48,0.013490725126475547,3461,0,655.9454557127319,-12.161660986486822,254.1846428667195,668.1071166992188,1,2.6284322654753676,0.16881619267296136,112.787299738872,2.9811730291300925e-16,64.75568461723289,71.11298175131276,0.11859559491157602,0.11731966652273723,1.148265961639592,1.149433781171254,0.6802440713469873,0.5831517372361336,43.8479588745756,29.515733160855028
6,factory_prepolish_deep_defect,17194,success,True,True,3440,71,72,48,0.013953488372093023,3343,0,655.8993745269254,-52.330544906668365,221.287037496455,708.2299194335938,1,3.2005034160436963,0.17907867969532917,126.82887889289732,9.759649498227022e-16,68.31565691246267,73.29929812950591,0.12108741693982701,0.12423142681671584,1.0979291143041918,1.146508250075336,0.7008177359367853,0.5464359182276053,42.76375435838042,29.447581661452823
7,factory_prepolish_deep_defect,17291,success,True,True,3041,63,64,48,0.015784281486353174,2943,0,622.8932262263261,-81.24422494554892,197.7065763459541,704.137451171875,1,3.5615277153945044,0.21862876452084015,153.94470100256044,5.3825934249486e-14,71.89554338590267,74.57233898431319,0.10938014560564163,0.09111969820872484,0.9273375894094502,0.8514722957072811,0.653887890177426,0.5609595033489301,42.101923155962055,28.743122844204805
8,factory_prepolish_deep_stress,17000,success,True,True,3382,70,71,48,0.014192785334121822,3284,0,659.4460816034116,-17.166528259869665,232.57304519368336,676.6126098632812,1,2.9092477561181194,0.1843493341980083,124.73308413827264,1.7482073198301754e-15,63.918187382885314,70.75314882464797,0.10783416504446641,0.10045993326954863,1.2538132481168658,1.2772311763893351,1.054287814077117,0.8401435978467554,41.43026629147712,29.309723550318697
9,factory_prepolish_deep_stress,17097,success,True,True,3562,74,75,48,0.01347557551937114,3465,0,641.6340025374666,-12.835724025033414,255.83968708198518,654.4697265625,1,2.558124323974692,0.16847881342750695,110.26428295547493,2.8637029169019805e-16,64.59741720791644,70.75714189061586,0.11938325166755558,0.11869068365042046,1.236134781071069,1.2381751678551252,1.1086326096803107,0.9961148090040524,43.84610301587753,29.515653264401013
10,factory_prepolish_deep_stress,17194,success,True,True,3448,71,72,48,0.013921113689095127,3351,0,640.9701215703972,-50.65908985538408,223.5341429761611,691.6292114257812,1,3.0940651938775203,0.1783636172745382,123.3614879626387,9.005664793965096e-16,68.47022539196664,73.029820649245,0.12172451139784257,0.1254525928663109,1.1826065351488482,1.23486897793864,1.105071745950618,0.9479885269360654,42.7639165399371,29.47571130935051
11,factory_prepolish_deep_stress,17291,success,True,True,3046,63,64,48,0.015758371634931056,2948,0,617.8456535646692,-79.61595532204956,199.05864883121103,697.4616088867188,1,3.503799573552423,0.21808273890823177,152.10433794935756,5.118792789783281e-14,71.81346158533717,74.38947059197565,0.11018187791770553,0.09240009976635954,1.0095005596965312,0.9358732448165479,1.0680948359889955,0.9618126839323343,42.101857136767876,28.743130592068862
