surface_profile,profile_seed,profile_gu_mean_cross,profile_gu_mean_same,profile_gu_mean_cross_minus_same,roi_total_ra_um_cross,roi_total_ra_um_same,roi_total_ra_um_cross_minus_same,roi_total_rz_um_cross,roi_total_rz_um_same,roi_total_rz_um_cross_minus_same,roi_fine_ra_um_cross,roi_fine_ra_um_same,roi_fine_ra_um_cross_minus_same,roi_fine_rz_um_cross,roi_fine_rz_um_same,roi_fine_rz_um_cross_minus_same,roi_removal_mean_um_cross,roi_removal_mean_um_same,roi_removal_mean_um_cross_minus_same,roi_removal_std_um_cross,roi_removal_std_um_same,roi_removal_std_um_cross_minus_same,roi_removal_cv_cross,roi_removal_cv_same,roi_removal_cv_cross_minus_same,roi_removal_waviness_ra_um_cross,roi_removal_waviness_ra_um_same,roi_removal_waviness_ra_um_cross_minus_same,roi_removal_waviness_std_um_cross,roi_removal_waviness_std_um_same,roi_removal_waviness_std_um_cross_minus_same,roi_center_edge_delta_um_cross,roi_center_edge_delta_um_same,roi_center_edge_delta_um_cross_minus_same,roi_center_edge_ratio_cross,roi_center_edge_ratio_same,roi_center_edge_ratio_cross_minus_same,roi_coverage_fraction_cross,roi_coverage_fraction_same,roi_coverage_fraction_cross_minus_same,roi_scratch_max_um_cross,roi_scratch_max_um_same,roi_scratch_max_um_cross_minus_same,roi_clearcoat_min_um_cross,roi_clearcoat_min_um_same,roi_clearcoat_min_um_cross_minus_same,force_used_mean_n_cross,force_used_mean_n_same,force_used_mean_n_cross_minus_same,force_used_max_n_cross,force_used_max_n_same,force_used_max_n_cross_minus_same,feed_cmd_mean_mm_s_cross,feed_cmd_mean_mm_s_same,feed_cmd_mean_mm_s_cross_minus_same,fallback_steps_cross,fallback_steps_same,fallback_steps_cross_minus_same
factory_prepolish,1000,72.37146478191671,72.35760379756763,0.013860984349079786,0.08812250775659232,0.08746385186653624,0.0006586558900560785,0.8156439814556768,0.8210043781534704,-0.005360396697793535,0.06198141554683766,0.06204588405081696,-6.446850397929388e-05,0.6163796866442162,0.6162549866307923,0.00012470001342390624,0.17914460761379736,0.1789703957770796,0.00017421183671775808,0.07093775315654816,0.07091475284934733,2.3000307200829462e-05,0.3959803987484615,0.3962373360210742,-0.0002569372726126673,0.04252789471278688,0.04193089387759775,0.0005970008351891334,0.0585672339360562,0.058387747002401146,0.00017948693365505558,0.10636198493573837,0.10582784324959399,0.0005341416861443793,1.7199853057980217,1.716406730850986,0.0035785749470356176,0.8871,0.8842,0.0029000000000000137,0.37971972539331583,0.37921632405116196,0.0005034013421538752,42.330659137004886,42.32595081153405,0.004708325470836883,5.324808597564697,5.322934150695801,0.0018744468688964844,7.544686317443848,7.674041271209717,-0.12935495376586914,14.794797636568546,14.80491366237402,-0.010116025805473328,0.0,0.0,0.0
factory_prepolish,1097,77.12733002653358,77.11067684261607,0.016653183917512138,0.08407951651786859,0.08423221768254206,-0.0001527011646734744,0.711621144037943,0.7140039261470633,-0.0023827821091203516,0.06413104817914411,0.06435567164692116,-0.00022462346777704645,0.5494750818541512,0.5479107125846466,0.0015643692695045397,0.15539372952269692,0.15540618985506696,-1.2460332370040073e-05,0.047750535630430704,0.04819943102999639,-0.00044889539956568386,0.30728740327618065,0.3101512949706029,-0.0028638916944222492,0.02628815297148101,0.02668199446599092,-0.00039384149450991113,0.03486763224586951,0.03539305827464968,-0.0005254260287801751,0.049552614162232694,0.049023928833667935,0.0005286853285647597,1.3591856024818614,1.3548536803621982,0.004331922119663156,0.8819,0.8841,-0.0021999999999999797,0.0,0.0,0.0,43.42624526626319,43.4087228192606,0.017522447002583874,5.081512928009033,5.081755638122559,-0.00024271011352539062,7.545542240142822,7.673169136047363,-0.12762689590454102,15.772407874464989,15.772264450788498,0.0001434236764907837,0.0,0.0,0.0
factory_prepolish,1194,67.76888039386644,67.7199871902872,0.04889320357924021,0.0918849842336672,0.09228964713417058,-0.0004046629005033803,0.8444504922760852,0.8471857152030152,-0.00273522292693007,0.07464491253548959,0.07456000942598855,8.49031095010444e-05,0.716422071862689,0.7168373443971239,-0.0004152725344348518,0.15599194531832467,0.155921676540578,7.026877774665707e-05,0.049819331250065456,0.049969840525847374,-0.0001505092757819182,0.31937117745664195,0.32048039525051486,-0.0011092177938729075,0.027412462534425048,0.027547211091920813,-0.00013474855749576534,0.03684855343089251,0.036835416418938484,1.3137011954024447e-05,0.05519867917815449,0.05445096369801411,0.0007477154801403818,1.3985673298437478,1.3927872896718667,0.005780040171881051,0.872,0.8743,-0.0022999999999999687,0.2844540253971217,0.28819673131161766,-0.0037427059144959363,40.627905099984254,40.63877810642721,-0.010873006442956523,5.081900119781494,5.081046104431152,0.0008540153503417969,7.54494047164917,7.673584461212158,-0.12864398956298828,15.772329643368721,15.776647254824638,-0.004317611455917358,0.0,0.0,0.0
factory_prepolish,1291,76.2535489892946,76.2448960900869,0.008652899207703513,0.09084051045774492,0.08958550691285827,0.0012550035448866542,0.8157761049175278,0.8036318481091136,0.012144256808414244,0.06865897244687562,0.06861608156813516,4.289087874045916e-05,0.6377214831721625,0.6374737514599701,0.00024773171219238943,0.16544543947112866,0.16398611919478684,0.0014593202763418245,0.05394218706293437,0.053053398106645715,0.0008887889562886539,0.32604215163239747,0.32352371266026214,0.0025184389721353284,0.027630137775217594,0.026595703305815618,0.0010344344694019764,0.041142657201771654,0.03979445447530789,0.0013482027264637639,0.029814302906331053,0.03085635400534012,-0.001042051099009067,1.1929623641936906,1.2021273577300793,-0.009164993536388666,0.8981,0.8974,0.0007000000000000339,0.28880116324370575,0.29384239508562093,-0.005041231841915184,41.69682749996374,41.68573751615423,0.011089983809512205,5.303642749786377,5.269729137420654,0.033913612365722656,8.56801986694336,8.17354965209961,0.39447021484375,14.876581728458405,15.01402072608471,-0.13743899762630463,0.0,0.0,0.0
factory_prepolish,1388,72.4458992621371,72.43160931715293,0.014289944984170688,0.1053619868386043,0.10477090006314466,0.0005910867754596455,0.9073435224145372,0.9095777061768684,-0.002234183762331199,0.07040241464262986,0.07031395897719844,8.845566543141947e-05,0.6832097107258135,0.684287068257732,-0.0010773575319185102,0.20463414607856156,0.20547569847270133,-0.0008415523941397718,0.09129420965643342,0.09193707405513635,-0.0006428643987029248,0.4461338022315418,0.4474352672286973,-0.0013014649971554992,0.047759697186722974,0.047396561347365446,0.00036313583935752847,0.07841108147767882,0.07894878485122721,-0.0005377033735483872,0.102537149926061,0.10184184938894311,0.0006953005371178878,1.5976884730997014,1.5900323247597206,0.0076561483399808505,0.9119,0.9093,0.0026000000000000467,0.43287217205908485,0.43473592892079327,-0.001863756861708421,43.90260425915191,43.90372833781323,-0.001124078661320027,5.573999404907227,5.582698345184326,-0.00869894027709961,7.969870090484619,7.969870090484619,0.0,13.797659426927567,13.762387447059155,0.03527197986841202,0.0,0.0,0.0
factory_prepolish,1485,76.51616958832388,76.56169357003525,-0.04552398171136929,0.09261090610790289,0.0919887191958589,0.0006221869120439927,0.7610068178041438,0.7550930522782553,0.005913765525888515,0.07380000049169783,0.07369552639943501,0.00010447409226281568,0.625356599737457,0.6210233353734449,0.004333264364012157,0.15561062688879992,0.15574001044759014,-0.00012938355879021923,0.048059393663875925,0.04880147298412733,-0.0007420793202514014,0.308843904974558,0.31335218768686335,-0.004508282712305356,0.025164459302131882,0.025433513990089113,-0.0002690546879572306,0.034089891911646596,0.03465138818424762,-0.0005614962726010267,0.04949519940757968,0.04866928688342584,0.0008259125241538434,1.3549780765049544,1.348181743418137,0.006796333086817485,0.887,0.8807,0.006299999999999972,0.0,0.0,0.0,41.39399808394178,41.39154754991687,0.0024505340249092455,5.0818023681640625,5.082108497619629,-0.00030612945556640625,7.543691158294678,7.674160003662109,-0.13046884536743164,15.766538679599762,15.766318887472153,0.00021979212760925293,0.0,0.0,0.0
factory_prepolish,1582,73.13550070695109,73.60882001991044,-0.47331931295934737,0.10590142512115977,0.10220294953862341,0.003698475582536359,1.0219043492731066,1.020239489273853,0.0016648599992534763,0.06224125738833029,0.06237216233658707,-0.00013090494825677979,0.7203270900133263,0.7140384881787882,0.0062886018345380545,0.2302453370842295,0.2265228942508556,0.003722442833373918,0.09914775762308822,0.09097968454574971,0.008168073077338509,0.4306178743016954,0.4016357147767905,0.028982159524904905,0.06084944143236573,0.060397317950651314,0.0004521234817144171,0.08461828231677986,0.07534366802572395,0.009274614291055902,0.09064301755361992,0.08605424259323935,0.0045887749603805705,1.453736524464686,1.4348723580412746,0.018864166423411488,0.9648,0.9623,0.0024999999999999467,0.500497536763916,0.4822925205232126,0.018205016240703364,42.70536009725718,42.704878794859894,0.00048130239728294555,5.7960615158081055,5.777486801147461,0.01857471466064453,8.55850601196289,8.219156265258789,0.33934974670410156,12.661256827414036,12.733886949717999,-0.07263012230396271,0.0,0.0,0.0
factory_prepolish,1679,74.63499479493454,74.57663347585384,0.058361319080702856,0.1004328022066564,0.09851564708818997,0.0019171551184664348,0.8312636416860544,0.8184584975859699,0.012805144100084487,0.06721829845798961,0.06799860158407599,-0.0007803031260863735,0.6035582659352287,0.6057537500330354,-0.002195484097806788,0.2217268787119052,0.21984777071733552,0.0018791079945696676,0.12087610488595657,0.11618874161904216,0.004687363266914407,0.5451576533624218,0.5284963374426448,0.016661315919777042,0.05416281731616848,0.05039038406595328,0.0037724332502152014,0.10977231820928907,0.1053285930781483,0.0044437251311407605,0.01851322831610383,0.01472744888122482,0.003785779434879011,1.0862443598098344,1.068850681758558,0.01739367805127645,0.9096,0.9098,-0.000200000000000089,0.35853612591387285,0.3679867464638711,-0.009450620549998234,42.190761829032134,42.228162083467055,-0.03740025443492101,5.913596153259277,5.89998722076416,0.013608932495117188,8.800344467163086,8.800344467163086,0.0,12.43642158806324,12.490778230130672,-0.054356642067432404,0.0,0.0,0.0
factory_prepolish,1776,73.28947926054998,73.3244139754932,-0.03493471494321909,0.10240890830716202,0.102236531530826,0.0001723767763360251,0.9359644007739617,0.9444685478810622,-0.008504147107100457,0.07122431565092922,0.07117272599659683,5.158965433239848e-05,0.6456608690801111,0.6449964363238998,0.0006644327562113084,0.18119213666403225,0.1810892914042063,0.0001028452598259566,0.07085415573441713,0.07022348462392643,0.0006306711104906992,0.39104431924546157,0.3877837506536032,0.0032605685918583593,0.04093090954694731,0.040052573101627575,0.0008783364453197329,0.058864938155405916,0.058049553076188365,0.000815385079217551,0.09452373239794437,0.09346321687333431,0.0010605155246100617,1.6186908239717244,1.6109063580603606,0.007784465911363725,0.9043,0.9098,-0.00550000000000006,0.39139198701452954,0.39150851076965226,-0.00011652375512272162,43.208030768095895,43.20193152878707,0.006099239308824167,5.342692852020264,5.342562675476074,0.00013017654418945312,7.5453386306762695,7.6778974533081055,-0.13255882263183594,14.725825749337673,14.727028086781502,-0.0012023374438285828,0.0,0.0,0.0
factory_prepolish,1873,73.67096396395104,73.66781503254592,0.0031489314051214023,0.09613435639562974,0.09638079324434701,-0.0002464368487172658,0.8148568166539223,0.801899119647806,0.012957697006116264,0.07525974779997797,0.07537243176234548,-0.00011268396236750744,0.6855472018664681,0.6854953483688908,5.185349757730329e-05,0.15533733373065273,0.15532118041992446,1.6153310728267423e-05,0.04806112221516084,0.048403673509516,-0.00034255129435516174,0.30939839805990527,0.3116360137017528,-0.0022376156418475457,0.026238099883397432,0.02653498874274298,-0.0002968888593455482,0.03490764963854802,0.0352421973385683,-0.00033454770002028233,0.05481148279027476,0.0542171890216582,0.000594293768616555,1.3996922843735613,1.3948981808746705,0.004794103498890756,0.8895,0.8897,-0.000200000000000089,0.1475294895510133,0.14914741013767502,-0.0016179205866617141,41.987088363785396,41.99143952180412,-0.004351158018721435,5.0827531814575195,5.083238124847412,-0.0004849433898925781,7.5442657470703125,7.676238059997559,-0.1319723129272461,15.764560550451279,15.764988958835602,-0.0004284083843231201,0.0,0.0,0.0
