source_run,env,roi_total_ra_um,roi_total_rz_um,roi_fine_ra_um,roi_fine_rz_um,roi_ra_low_frequency_contribution_um,roi_rz_low_frequency_contribution_um,roi_removal_mean_um,roi_removal_std_um,roi_removal_cv,roi_removal_max_min_um,roi_removal_p95_p05_um,roi_removal_waviness_ra_um,roi_removal_waviness_rz_um,roi_removal_waviness_std_um,roi_removal_fine_std_um,roi_center_removal_mean_um,roi_edge_removal_mean_um,roi_center_edge_delta_um,roi_center_edge_ratio,roi_under_fraction,roi_over_fraction,roi_coverage_fraction,roi_scratch_mean_um,roi_scratch_max_um,roi_clearcoat_min_um,waviness_sigma_m,under_over_fraction,surface_profile,profile_seed,design_status,base_ra_target_um,shallow_scratch_count,deep_scratch_count,sampled_shallow_depth_max_um,sampled_deep_depth_um,profile_gu_mean,profile_gu_p10,profile_gu_min,path_mode,direction_mode
/home/rokey/cacadaca/learning/rl/robot/results/gate_c_factory_crossxy_48_20260831_014100,10,0.11002717377281761,0.9025728477074183,0.09156297922233567,0.7348932766196197,0.01846419455048194,0.16767957108779863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.36197265226435,0.01,0.2,factory_prepolish,1970,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.1100271737728176,0,0,0.0,0.0,74.8663600772343,71.2418429017958,68.1963819199108,gate_c,cross_xy
/home/rokey/cacadaca/learning/rl/robot/results/gate_c_factory_crossxy_48_20260831_014100,11,0.10055515083731006,0.7405712430225885,0.07893037642282304,0.6301493034548094,0.021624774414487027,0.11042193956777913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.4550844401288,0.01,0.2,factory_prepolish,2067,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.10055515083731008,0,0,0.0,0.0,76.64735916711534,74.51667590957018,72.03329385660498,gate_c,cross_xy
/home/rokey/cacadaca/learning/rl/robot/results/gate_c_factory_crossxy_48_20260831_014100,12,0.11091362306144106,0.8811671819943925,0.09231745042848236,0.7471920700126602,0.018596172632958707,0.1339751119817323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.73662265295658,0.01,0.2,factory_prepolish,2164,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.11091362306144106,0,0,0.0,0.0,74.72714556448992,72.23630271231575,71.39224325017904,gate_c,cross_xy
/home/rokey/cacadaca/learning/rl/robot/results/gate_c_factory_crossxy_48_20260831_014100,13,0.11381901779479107,0.8508625469181299,0.08943753600128987,0.7183627978297298,0.024381481793501206,0.13249974908840012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.308119439972394,0.01,0.2,factory_prepolish,2261,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.1138190177947911,0,0,0.0,0.0,74.90691056784031,71.77208221017109,69.73919071101096,gate_c,cross_xy
/home/rokey/cacadaca/learning/rl/robot/results/gate_c_factory_crossxy_48_20260831_014100,14,0.11978824220299172,1.0524645854192722,0.10000567199174405,0.9055645890987316,0.01978257021124767,0.14689999632054063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017625754681240273,0.454100010040005,41.64845505076892,0.01,0.2,factory_prepolish,2358,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.11815804155569132,2,0,0.3776072837835329,0.0,69.60129018981556,67.70600564523647,25.452833273685453,gate_c,cross_xy
/home/rokey/cacadaca/learning/rl/robot/results/gate_c_factory_crossxy_48_20260831_014100,15,0.101959338799283,0.7344462138736301,0.08336578615387634,0.6099972596982455,0.018593552645406658,0.1244489541753846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.108736052565526,0.01,0.2,factory_prepolish,2455,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.10195933879928298,0,0,0.0,0.0,76.10902521689701,73.80980007061339,72.49858448523543,gate_c,cross_xy
/home/rokey/cacadaca/learning/rl/robot/results/gate_c_factory_crossxy_48_20260831_014100,16,0.11175381001568215,1.263169506670394,0.0885629677240752,1.0611111102657511,0.02319084229160695,0.20205839640464296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00521756772287208,0.7634049755143588,42.585946685238504,0.01,0.2,factory_prepolish_deep_defect,1000,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.10695977661776991,2,1,0.3653781025479139,0.7911665697866543,65.55155118002581,39.72494871243681,25.47413143660354,gate_c,cross_xy
/home/rokey/cacadaca/learning/rl/robot/results/gate_c_factory_crossxy_48_20260831_014100,17,0.10743038104532743,0.9556947000745077,0.08675258563064253,0.8433298799884731,0.020677795414684896,0.11236482008603466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002178816978044301,0.7396613632970581,43.446346183763175,0.01,0.2,factory_prepolish_deep_defect,1097,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.10540747278941119,0,1,0.0,0.6443219494903503,70.80329426345597,51.599936649305704,25.462058244537264,gate_c,cross_xy
/home/rokey/cacadaca/learning/rl/robot/results/gate_c_factory_crossxy_48_20260831_014100,18,0.11970615660687718,1.1006855960461492,0.09664198015421072,0.9398898300721203,0.023064176452666466,0.1607957659740289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021848820892283066,0.7077615069386217,40.88714697932381,0.01,0.2,factory_prepolish_deep_defect,1194,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.11867341194787542,2,1,0.2490107306388112,0.8110246165125548,63.842331343653704,25.4786562525869,25.41091189660378,gate_c,cross_xy
/home/rokey/cacadaca/learning/rl/robot/results/gate_c_factory_crossxy_48_20260831_014100,19,0.11403596437263468,1.0780421638768443,0.09189047052918516,0.9844621894822808,0.02214549384344952,0.09357997439456345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001958962085476491,0.7841265287460824,41.80191877377877,0.01,0.2,factory_prepolish_deep_defect,1291,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.11288967967454912,1,1,0.4618167760313141,0.9340922427693541,72.03288634886509,59.73610806303132,48.02250280467388,gate_c,cross_xy
