surface_profile,direction_mode,env,stage,pass,tile_x,tile_y,removal_mean_um,removal_std_um,total_ra_um,total_rz_um,fine_ra_um,fine_rz_um,waviness_std_um,scratch_mean_um,scratch_max_um,clearcoat_min_um,under_fraction,over_fraction,coverage_fraction,base_micro_ra_um,base_micro_rz_um,individual_scratch_initial_max_um,mar_density_mean,mar_severity_initial_mean,mar_severity_remaining_mean,q_mar_mean,profile_gu
legacy_stress,cross_xy,0,initial,0,0,0,0.0,0.0,0.06635655170757099,0.24232731611502667,0.062145347443748715,0.2291273025854499,0.0,0.0,0.0,44.08282057632752,0.0,0.0,0.0,0.06635655170757099,0.24232731611502667,4.45021316970772e-134,0.0,0.0,0.0,1.0,78.0
legacy_stress,cross_xy,0,initial,0,0,1,0.0,0.0,0.1152243934100845,0.7054850073344492,0.10874663154799316,0.5954703206288124,0.0,0.05228207952713009,0.7558805419668796,43.98909386387251,0.0,0.0,0.0,0.0566992496217136,0.24965024148197718,0.8648377849785075,0.0,0.0,0.0,1.0,48.626015646497436
legacy_stress,cross_xy,0,initial,0,0,2,0.0,0.0,0.13376375048348826,0.7231969385338031,0.12897515683319033,0.6987602583035656,0.0,0.04160959047138101,1.849941082767495,43.30264564421766,0.0,0.0,0.0,0.07006761122920235,0.2743787578589315,1.8492534238566154,0.0,0.0,0.0,1.0,25.443041969543966
legacy_stress,cross_xy,0,initial,0,0,3,0.0,0.0,0.05666847935637442,0.2426150616375145,0.05432857289576036,0.23651007566270488,0.0,0.0,0.0,42.485527513806495,0.0,0.0,0.0,0.05666847935637442,0.2426150616375145,2.3927594563158164e-35,0.0,0.0,0.0,1.0,78.0
legacy_stress,cross_xy,0,initial,0,0,4,0.0,0.0,0.08002877805554434,0.3025270419160041,0.06978878782338711,0.272582736774191,0.0,0.0,0.0,42.224699858207565,0.0,0.0,0.0,0.08002877805554434,0.3025270419160041,6.882192541273825e-247,0.0,0.0,0.0,1.0,77.99491612069801
legacy_stress,cross_xy,0,initial,0,1,0,0.0,0.0,0.06661232822132365,0.32122125546248503,0.05847676883526754,0.28111990197187897,0.0,0.0,0.0,44.29932172319969,0.0,0.0,0.0,0.06661232822132365,0.32122125546248503,2.965544264461236e-153,0.0,0.0,0.0,1.0,78.0
legacy_stress,cross_xy,0,initial,0,1,1,0.0,0.0,0.08944260835170564,0.298505733523173,0.07583680267324472,0.2699245125473372,0.0,5.520591329101797e-05,0.02208236531640719,43.96485466550582,0.0,0.0,0.0,0.08963356425986373,0.2986661396878191,0.07218677852055021,0.0,0.0,0.0,1.0,70.47217563393754
legacy_stress,cross_xy,0,initial,0,1,2,0.0,0.0,0.2648504999819018,1.948611069713405,0.25040847867312904,1.8720436388936053,0.0,0.1112154567225168,1.7110912775567662,43.136532966085554,0.0,0.0,0.0,0.08106465135745347,0.37778020747762137,1.8483714698359794,0.0,0.0,0.0,1.0,37.03049702343774
legacy_stress,cross_xy,0,initial,0,1,3,0.0,0.0,0.18425125367687428,0.9795145261124816,0.17189237537549468,0.9397751668611825,0.0,0.06809981353134202,1.6155625539731278,42.28937087287076,0.0,0.0,0.0,0.07520318167542904,0.37647538753160137,1.848545475816893,0.0,0.0,0.0,1.0,43.77246795812029
legacy_stress,cross_xy,0,initial,0,1,4,0.0,0.0,0.05937427542355939,0.26514200770893837,0.05512773426590172,0.2622831650649055,0.0,0.0,0.0,42.16163845267534,0.0,0.0,0.0,0.05937427542355939,0.26514200770893837,1.0018585699435381e-47,0.0,0.0,0.0,1.0,78.0
