surface_profile,env,profile_seed,profile_gu_mean_cross,profile_gu_mean_same,profile_gu_mean_cross_minus_same,roi_total_ra_um_cross,roi_total_ra_um_same,roi_total_ra_um_cross_minus_same,roi_total_rz_um_cross,roi_total_rz_um_same,roi_total_rz_um_cross_minus_same,roi_fine_ra_um_cross,roi_fine_ra_um_same,roi_fine_ra_um_cross_minus_same,roi_fine_rz_um_cross,roi_fine_rz_um_same,roi_fine_rz_um_cross_minus_same,roi_removal_mean_um_cross,roi_removal_mean_um_same,roi_removal_mean_um_cross_minus_same,roi_removal_std_um_cross,roi_removal_std_um_same,roi_removal_std_um_cross_minus_same,roi_removal_cv_cross,roi_removal_cv_same,roi_removal_cv_cross_minus_same,roi_removal_waviness_ra_um_cross,roi_removal_waviness_ra_um_same,roi_removal_waviness_ra_um_cross_minus_same,roi_removal_waviness_std_um_cross,roi_removal_waviness_std_um_same,roi_removal_waviness_std_um_cross_minus_same,roi_center_edge_delta_um_cross,roi_center_edge_delta_um_same,roi_center_edge_delta_um_cross_minus_same,roi_center_edge_ratio_cross,roi_center_edge_ratio_same,roi_center_edge_ratio_cross_minus_same,roi_coverage_fraction_cross,roi_coverage_fraction_same,roi_coverage_fraction_cross_minus_same,roi_scratch_max_um_cross,roi_scratch_max_um_same,roi_scratch_max_um_cross_minus_same,roi_clearcoat_min_um_cross,roi_clearcoat_min_um_same,roi_clearcoat_min_um_cross_minus_same,profile_mar_severity_remaining_mean_cross,profile_mar_severity_remaining_mean_same,profile_mar_severity_remaining_mean_cross_minus_same,profile_q_mar_mean_cross,profile_q_mar_mean_same,profile_q_mar_mean_cross_minus_same,force_used_mean_n_cross,force_used_mean_n_same,force_used_mean_n_cross_minus_same,force_used_max_n_cross,force_used_max_n_same,force_used_max_n_cross_minus_same,feed_cmd_mean_mm_s_cross,feed_cmd_mean_mm_s_same,feed_cmd_mean_mm_s_cross_minus_same,fallback_steps_cross,fallback_steps_same,fallback_steps_cross_minus_same
legacy_stress,0,1000,65.60712156607248,65.80816517848878,-0.2010436124162993,0.1629330540976986,0.162323267841968,0.0006097862557306044,2.1074639332230714,2.1117093666311026,-0.004245433408031296,0.06287794941043427,0.062099075965903444,0.0007788734445308282,1.5121360668466386,1.5105393383552803,0.001596728491358279,0.4008031230965918,0.4157494277907005,-0.014946304694108736,0.14592817361863664,0.15058550498827697,-0.004657331369640333,0.3640894125055722,0.3622025550064877,0.0018868574990845155,0.105169032993773,0.10504148239825466,0.00012755059551834702,0.1266444482206169,0.1305698159363828,-0.003925367715765904,0.1946495197639384,0.20262280453900555,-0.007973284775067147,1.5780442835264694,1.5792523739164916,-0.0012080903900222317,0.9836,0.9841,-0.0004999999999999449,1.6143431847914262,1.6184923266448559,-0.004149141853429628,41.81322497584693,41.8205504891728,-0.007325513325874056,0.0,0.0,0.0,1.0,1.0,0.0,6.838860988616943,6.899624824523926,-0.06076383590698242,8.775601387023926,8.501503944396973,0.2740974426269531,8.729935623705387,8.486809208989143,0.24312641471624374,0.0,0.0,0.0
legacy_stress,1,1097,65.39198680821595,65.28565320719608,0.10633360101986966,0.10330690982981273,0.10777334447470284,-0.004466434644890105,1.424787407488183,1.4582339333693857,-0.03344652588120267,0.05829032470465229,0.05988159108063763,-0.001591266375985341,1.127778032438113,1.1508236929541338,-0.02304566051602075,0.41330505931394673,0.3928670292364325,0.020438030077514213,0.13511324181769485,0.13405143322757745,0.0010618085901173968,0.32690923755439144,0.3412132432902725,-0.014304005735881087,0.060124238189920506,0.0626749795499735,-0.0025507413600529966,0.1153277670132788,0.11453189859503173,0.000795868418247081,0.07473480632173651,0.04531725700182482,0.029417549319911696,1.1936446235375546,1.1208856191063634,0.07275900443119121,0.9929,0.9937,-0.0008000000000000229,1.108610174279833,1.090776988703837,0.017833185575996113,41.022314936812755,41.021852377349134,0.00046255946362094846,0.0,0.0,0.0,1.0,1.0,0.0,6.977471351623535,6.925627708435059,0.05184364318847656,9.035799980163574,8.817365646362305,0.21843433380126953,8.018081076443195,8.22348240762949,-0.20540133118629456,0.0,0.0,0.0
legacy_stress,2,1194,60.937743419666646,60.89034837550935,0.047395044157298116,0.1540347962667761,0.1511047191630708,0.0029300771037052975,2.177897330562196,2.1668447373292246,0.011052593232971475,0.07565992763996533,0.07486645758366865,0.0007934700562966801,1.7560953187575472,1.7438380013282604,0.012257317429286818,0.4387761910090462,0.4542210800363592,-0.015444889027313002,0.15679769051659698,0.1539665166411979,0.002831173875399079,0.35735232159250024,0.33896823244943475,0.018384089143065496,0.10061946574061104,0.09826542469770023,0.002354041042910801,0.13659126551144868,0.13298865191176054,0.003602613599688137,0.1961568404962693,0.17496295035870513,0.021193890137564175,1.523709030523089,1.4417245107749428,0.08198451974814613,0.9686,0.9708,-0.0021999999999999797,1.5274987116238246,1.5238537614938108,0.0036449501300137577,41.80135126540686,41.799628682096504,0.001722583310353798,0.0,0.0,0.0,1.0,1.0,0.0,7.013757705688477,7.085334300994873,-0.07157659530639648,8.944039344787598,8.811098098754883,0.13294124603271484,8.022856898605824,7.73722305893898,0.2856338396668434,0.0,0.0,0.0
legacy_stress,3,1291,57.32654178668998,57.2425931727506,0.08394861393937703,0.15593371892464647,0.16294665794415022,-0.0070129390195037555,2.3941315405754615,2.4192445095290176,-0.02511296895355608,0.08467904921646871,0.08556029795056692,-0.0008812487340982139,1.8219312712208624,1.8261171781711292,-0.004185906950266771,0.4553743625253901,0.4425363084294818,0.012838054095908324,0.14137728569710253,0.14793013058988316,-0.006552844892780629,0.31046386738388204,0.33427795137278743,-0.023814083988905388,0.09611175759314404,0.10256044677464986,-0.006448689181505818,0.11900518378285903,0.1267245410112706,-0.007719357228411564,0.17945764236910305,0.1728593573718848,0.006598284997218262,1.4527710591514709,1.4469876697875383,0.005783389363932523,0.9868,0.9822,0.0046000000000000485,1.639346021383742,1.6490562663342785,-0.009710244950536406,42.576309376031986,42.60343350936544,-0.02712413333345154,0.0,0.0,0.0,1.0,1.0,0.0,7.088774681091309,7.0629801750183105,0.025794506072998047,9.364501953125,9.488659858703613,-0.12415790557861328,7.6069640927016735,7.709531579166651,-0.10256748646497726,0.0,0.0,0.0
legacy_stress,4,1388,58.5038655716222,59.132674772337516,-0.6288092007153168,0.154084364353904,0.15502622070525576,-0.0009418563513517719,2.144547396286442,2.1369877010270018,0.0075596952594403355,0.09697769476714348,0.09683899253708828,0.00013870223005520155,1.8028639231527028,1.8060481534674513,-0.0031842303147484596,0.4438953518895973,0.447151516113189,-0.0032561642235917065,0.16431701279892855,0.16779358523520177,-0.003476572436273223,0.37017060912995636,0.3752499526194777,-0.005079343489521326,0.08243875614364447,0.08409759243557813,-0.0016588362919336547,0.14638720132788657,0.14981193303599347,-0.003424731708106893,0.14057181362510335,0.14777629876666548,-0.007204485141562134,1.352883918934359,1.3695501901285259,-0.01666627119416675,0.9609,0.959,0.0019000000000000128,1.6534777896130026,1.6540107223878016,-0.0005329327747989332,41.68693242673861,41.71374848254218,-0.026816055803571714,0.0,0.0,0.0,1.0,1.0,0.0,7.095143795013428,7.1056060791015625,-0.010462284088134766,8.940498352050781,8.814687728881836,0.1258106231689453,7.708581164479256,7.666772697120905,0.041808467358350754,0.0,0.0,0.0
legacy_stress,5,1485,63.58304373912465,63.7701913894391,-0.1871476503144507,0.14295245853684438,0.14861361563106093,-0.005661157094216551,2.2129899241620468,2.2117758632618036,0.001214060900243119,0.06921167132140338,0.06942383333785715,-0.00021216201645377075,1.5511510959193862,1.5482553687461376,0.0028957271732485967,0.38918566968290813,0.39413752995076734,-0.004951860267859209,0.1654590071104661,0.16744660300561248,-0.0019875958951463824,0.42514157123327545,0.42484308212549216,0.0002984891077832952,0.09864023029557097,0.10376792466221461,-0.005127694366643648,0.14908773781922624,0.15059625261296383,-0.001508514793737592,0.21906326825969985,0.2301539185734029,-0.011090650313703043,1.6847627791599318,1.717124284131976,-0.032361504972044264,0.9925,0.9919,0.0006000000000000449,1.4793812132870563,1.4834714956046344,-0.004090282317578131,41.371118256732,41.35350066436333,0.01761759236866567,0.0,0.0,0.0,1.0,1.0,0.0,6.753786563873291,6.766873836517334,-0.013087272644042969,8.47734260559082,8.300373077392578,0.1769695281982422,8.904989808797836,8.853715844452381,0.05127396434545517,0.0,0.0,0.0
legacy_stress,6,1582,60.68758562880767,60.78121888103845,-0.09363325223078078,0.17663234086701965,0.17480555986214627,0.001826781004873379,2.17533372304904,2.1658610445559936,0.009472678493046338,0.08569279027908014,0.08564194490455863,5.084537452150484e-05,1.6609973537308307,1.6508966060018755,0.010100747728955195,0.4646613599804061,0.4714229482723266,-0.006761588291920528,0.15975000963483763,0.1601758292061008,-0.0004258195712631696,0.34379878206695297,0.339770963193697,0.004027818873255984,0.1093868432246495,0.1093498612027417,3.698202190779987e-05,0.13648815059291897,0.13676746883348181,-0.00027931824056284804,0.2135709316086078,0.20239803359820724,0.011172898010400556,1.5430962462087214,1.5014468709463853,0.04164937526233614,0.9872,0.9897,-0.0025000000000000577,1.463194409127387,1.454362910764293,0.008831498363093937,41.77268065870192,41.732683940509126,0.039996718192796266,0.0,0.0,0.0,1.0,1.0,0.0,7.085960388183594,7.1261138916015625,-0.04015350341796875,8.813225746154785,8.813225746154785,0.0,7.6697408221662045,7.510324474424124,0.1594163477420807,0.0,0.0,0.0
legacy_stress,7,1679,65.03208561968243,64.98526086948058,0.04682475020184995,0.1308004036354842,0.1281111072096844,0.002689296425799792,2.179102415365543,2.183093683581888,-0.003991268216344768,0.06520321357609103,0.06578587729125047,-0.0005826637151594427,1.673131351614832,1.6736256681019666,-0.000494316487134494,0.3886051260058726,0.37762347244593214,0.010981653559940463,0.13909924013667507,0.13371644151758155,0.005382798619093521,0.3579449441811352,0.3540999203557903,0.0038450238253449065,0.09024837429738258,0.08605065465392281,0.004197719643459774,0.12004229954738124,0.11457732887980873,0.005464970667572511,0.1643661451147616,0.13709241932728622,0.02727372578747539,1.4932022304286863,1.4152259221910735,0.07797630823761281,0.9868,0.9844,0.0023999999999999577,1.4757968456268595,1.478630295500675,-0.002833449873815397,42.5671598358494,42.561409095926734,0.005750739922667947,0.0,0.0,0.0,1.0,1.0,0.0,6.7915568351745605,6.753329753875732,0.038227081298828125,8.772859573364258,8.315515518188477,0.45734405517578125,8.806710131466389,8.958172053098679,-0.1514619216322899,0.0,0.0,0.0
legacy_stress,8,1776,69.26804441174185,69.31702616867568,-0.048981756933827114,0.12322157784126353,0.1341782204469503,-0.010956642605686767,1.3266729772440615,1.3275467405270844,-0.0008737632830229103,0.04042058889557908,0.04033682087136952,8.376802420956286e-05,0.8118980612745086,0.8068796268063131,0.005018434468195498,0.330984652787881,0.3358116281249603,-0.00482697533707932,0.14454207352811915,0.1479692242058012,-0.0034271506776820393,0.43670324986564324,0.4406316274156526,-0.003928377550009354,0.09667173477608904,0.1074459624258449,-0.010774227649755858,0.12902477010978217,0.13146790728638985,-0.002443137176607685,0.1970624304665664,0.22076201051338973,-0.02369958004682332,1.7351587539987516,1.830666156593972,-0.09550740259522028,0.9741,0.9722,0.0019000000000000128,0.7321575640960049,0.7395103120222385,-0.007352747926233638,43.580057767928196,43.56797959311948,0.012078174808713982,0.0,0.0,0.0,1.0,1.0,0.0,6.4796142578125,6.488613128662109,-0.008998870849609375,8.459346771240234,8.253190994262695,0.20615577697753906,10.169364511966705,10.135320946574211,0.0340435653924942,0.0,0.0,0.0
legacy_stress,9,1873,59.12070306643097,59.01819793443968,0.1025051319912933,0.16383274969761527,0.16506092943041326,-0.0012281797327979849,2.2326222053316256,2.219345528469332,0.013276676862293613,0.10060055589046923,0.1011708218058316,-0.0005702659153623696,1.7836446161376365,1.7849298655949521,-0.0012852494573156736,0.4645404564385404,0.46290212663581654,0.0016383298027238813,0.13748134929336284,0.14024224288101195,-0.0027608935876491103,0.2959512942045595,0.3029630559276866,-0.0070117617231270635,0.08979839408846214,0.0934984144702897,-0.003700020381827554,0.11180566773445877,0.11523219423335401,-0.0034265264988952437,0.17961334107499594,0.1964809100864176,-0.016867569011421668,1.4421344592626066,1.4919423499019573,-0.04980789063935065,0.9937,0.9947,-0.0010000000000000009,1.5829408806981475,1.5751876316898472,0.0077532490083003225,43.58812081212659,43.62315135947238,-0.03503054734579081,0.0,0.0,0.0,1.0,1.0,0.0,7.093531608581543,7.083411693572998,0.010119915008544922,8.943199157714844,8.499382019042969,0.443817138671875,7.564101368188858,7.603829726576805,-0.03972835838794708,0.0,0.0,0.0
