candidate_id,kind,curvature_radius_m,freeform_seed,direction_mode,step_over_ratio,edge_mode,path_line_count,path_sample_count,path_length_3d_m,surface_height_min_m,surface_height_max_m,surface_height_range_m,surface_tilt_max_deg,path_tilt_mean_deg,path_tilt_max_deg,pad_footprint_normal_change_max_deg,pad_footprint_normal_change_p95_deg,local_tangent_plane_deviation_max_m,local_tangent_plane_deviation_p95_m,vertical_pad_height_deviation_max_m,minimum_quality_map_projected_margin_m,minimum_physical_mesh_projected_margin_m,quality_map_projected_footprint_inside,physical_mesh_projected_footprint_inside,coverage_any_fraction,coverage_effective_fraction,exposure_cv,exposure_min_norm,exposure_p05_norm,exposure_p95_norm,tile_exposure_min_norm,tile_exposure_max_norm,tile_exposure_range_norm,mesh_vertex_count,mesh_triangle_count,mesh_minimum_face_normal_z,all_finite,metric_status,geometry_rank,selection_status
flat,flat,100000000.0,0,cross_xy,0.4,balanced_extend5,10,530,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001981132075471681,0.021981132075471692,True,True,1.0,1.0,0.14633463191069068,0.4278977031429557,0.6996948593246045,1.135812539724124,0.8315322932181125,1.118984586162762,0.2874522929446496,1681,3200,1.0,True,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL,1,PT-DESIGN_REPRESENTATIVE_MEDIAN_GEOMETRY_FOR_F4
cylinder_r0p60,cylinder,0.6,0,cross_xy,0.4,balanced_extend5,10,530,2.1054326711499143,-0.02701134391682758,-3.333342592615196e-06,0.027008010574234964,17.257504944551705,5.040104128705362,9.886565639649493,5.256083356723521,5.256083356723521,0.0025228759118167115,0.0025228759118167115,0.011866676531786635,0.0011520485200772757,0.021152048520077293,True,True,1.0,1.0,0.14625566780663019,0.42847570173392757,0.6996731038168743,1.1354049277652392,0.8316678425499737,1.1200041289333371,0.2883362863833634,1681,3200,0.9562627708119994,True,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL,14,PT-DESIGN_REPRESENTATIVE_MEDIAN_GEOMETRY_FOR_F4
sphere_r0p60,sphere,0.6,0,cross_xy,0.4,balanced_extend5,10,530,2.110986097450761,-0.0553606698006468,-6.66670370408351e-06,0.05535400309694272,24.806181855446674,7.8161623051917735,13.050669534865563,5.259253576436482,5.259219229017992,0.0025259180495511525,0.0025258850800221567,0.015468179351404099,0.0005228570790703491,0.020522857079070367,True,True,1.0,1.0,0.1459898024289748,0.4266948646387104,0.6984065286899913,1.1332355702001418,0.8314024096142884,1.1207806939974285,0.28937828438314017,1681,3200,0.9100071456249962,True,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL,15,PT-DESIGN_REPRESENTATIVE_MEDIAN_GEOMETRY_FOR_F4
freeform_s0,freeform,0.6,0,cross_xy,0.4,balanced_extend5,10,530,2.100235307471743,-0.001890369458686358,0.0013845706666927111,0.003274940125379069,2.636224162501382,1.0762018465311731,2.532841801021185,3.7052323157674376,3.4767385378787408,0.0019007952530746153,0.0017676917836386803,0.002242760293075899,0.001964932103105131,0.021964932103105135,True,True,1.0,1.0,0.14631517656598197,0.42786523859104264,0.6997152162111313,1.1357130486477747,0.8314438479375079,1.1191283689361384,0.2876845209986305,1681,3200,0.9989516027347911,True,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL,12,PT-DESIGN_REPRESENTATIVE_MEDIAN_GEOMETRY_FOR_F4
