shield_mode,surface_kind,direction_mode,surface_profile,env,profile_seed,outcome,quality_ok,safety_ok,force_hard_violated,thermal_hard_violated,unstable_hard_violated,control_steps,contact_steps,sensor_fault_steps,raw_force_max_n,normal_alignment_error_max_deg,parent_force_action_mean,executed_force_action_mean,parent_feed_action_mean,shield_step_fraction,geometry_risk_mean,geometry_risk_max,force_command_jump_max_n,feed_command_jump_max_mm_s,flat_action_exact_parity,force_action_cap_mean,force_action_cap_min,gu_before,gu_final,ra_before_um,ra_final_um,rz_before_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_min_um,temperature_peak_c,before_gu_pass_area_pct,before_tile_gu_pass_area_pct_mean,before_tile_gu_pass_area_pct_min,before_tile_gu_pass_area_pct_p10,before_ra_pass_area_pct,before_tile_ra_pass_area_pct_mean,before_tile_ra_pass_area_pct_min,before_tile_ra_pass_area_pct_p10,before_rz_pass_area_pct,before_tile_rz_pass_area_pct_mean,before_tile_rz_pass_area_pct_min,before_tile_rz_pass_area_pct_p10,before_scratch_pass_area_pct,before_tile_scratch_pass_area_pct_mean,before_tile_scratch_pass_area_pct_min,before_tile_scratch_pass_area_pct_p10,before_all4_pass_area_pct,before_tile_all4_pass_area_pct_mean,before_tile_all4_pass_area_pct_min,before_tile_all4_pass_area_pct_p10,before_clearcoat_pass_area_pct,before_tile_clearcoat_pass_area_pct_mean,before_tile_clearcoat_pass_area_pct_min,before_tile_clearcoat_pass_area_pct_p10,before_temperature_pass_area_pct,before_tile_temperature_pass_area_pct_mean,before_tile_temperature_pass_area_pct_min,before_tile_temperature_pass_area_pct_p10,final_gu_pass_area_pct,final_tile_gu_pass_area_pct_mean,final_tile_gu_pass_area_pct_min,final_tile_gu_pass_area_pct_p10,final_ra_pass_area_pct,final_tile_ra_pass_area_pct_mean,final_tile_ra_pass_area_pct_min,final_tile_ra_pass_area_pct_p10,final_rz_pass_area_pct,final_tile_rz_pass_area_pct_mean,final_tile_rz_pass_area_pct_min,final_tile_rz_pass_area_pct_p10,final_scratch_pass_area_pct,final_tile_scratch_pass_area_pct_mean,final_tile_scratch_pass_area_pct_min,final_tile_scratch_pass_area_pct_p10,final_all4_pass_area_pct,final_tile_all4_pass_area_pct_mean,final_tile_all4_pass_area_pct_min,final_tile_all4_pass_area_pct_p10,final_clearcoat_pass_area_pct,final_tile_clearcoat_pass_area_pct_mean,final_tile_clearcoat_pass_area_pct_min,final_tile_clearcoat_pass_area_pct_p10,final_temperature_pass_area_pct,final_tile_temperature_pass_area_pct_mean,final_tile_temperature_pass_area_pct_min,final_tile_temperature_pass_area_pct_p10
curvature_safety,cylinder,cross_xy,factory_prepolish,1,40000,success,True,True,False,False,False,4831,4731,0,10.231672286987305,48.495338439941406,0.5247539041177922,0.29415516957237353,-0.2708548644938915,1.0,0.5485755631397994,1.0,0.09999999999999964,1.25,True,0.31131020154770184,-1.0,70.73515978216898,75.02803800688568,0.12224960127767467,0.08959146488712547,1.1633130685504443,0.9840298221275743,0.5910620976386651,0.4509302177915226,41.65891876475476,28.06888129138532,97.26,97.26,65.75,97.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9,99.9,98.75,100.0,97.26,97.26,65.75,97.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.32,97.32,67.0,97.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.32,97.32,67.0,97.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,cylinder,cross_xy,factory_prepolish_deep_defect,2,40000,success,True,True,False,False,False,5251,5151,0,10.650949478149414,48.49592208862305,0.6530876264282577,0.29758930727172594,-0.487780228995001,1.0,0.5477953405365327,1.0,0.09999999999999964,1.25,True,0.31435183524163013,-1.0,65.23049475872075,71.83048125943928,0.12742705911151617,0.10305078042619491,1.4045567538449721,1.244474809649421,0.8675357318664196,0.7030065466107833,41.6608753824882,28.61693548487519,93.65,93.65,59.25,67.45,99.24,99.24,89.25,99.7,100.0,100.0,100.0,100.0,99.81,99.81,98.5,98.95,93.65,93.65,59.25,67.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.93,93.93,61.5,68.0,99.69,99.69,95.5,99.85,100.0,100.0,100.0,100.0,99.98,99.98,99.5,100.0,93.93,93.93,61.5,68.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,cylinder,cross_xy,factory_prepolish_deep_stress,3,40000,success,True,True,False,False,False,5256,5156,0,9.851673126220703,48.49592208862305,0.6529658750859139,0.2976926078939636,-0.4908862936273614,1.0,0.5477829431148775,1.0,0.09999999999999964,1.25,True,0.3143917951861532,-1.0,65.04439703884593,71.01825773559996,0.13072709766768353,0.10797869529475047,1.7768171317622778,1.6131676354755065,1.3045163529444608,1.1385845063671043,41.66108426874264,28.619620072162157,93.60000000000001,93.6,58.5,67.3,97.94,97.94,72.75,97.85,100.0,100.0,100.0,100.0,99.81,99.81,98.25,99.05,93.60000000000001,93.6,58.5,67.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.75,93.75,59.75,68.0,98.66,98.66,80.5,99.15,100.0,100.0,100.0,100.0,99.97,99.97,99.25,100.0,93.75,93.75,59.75,68.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,cylinder,cross_xy,legacy_stress,0,40000,fail_max_passes,False,True,False,False,False,5764,5664,0,10.706169128417969,48.495338439941406,0.7894779604851249,0.31115732830642134,-0.7199679140459118,1.0,0.548242479661613,1.0,0.09999999999999964,1.2500000000000009,True,0.315317383380875,-1.0,53.71319128558401,64.10880245395072,0.11174944583640958,0.10630306384361295,1.8912524029635944,1.7657483312522444,1.8578515036350947,1.6432698709756466,41.09425692968177,28.593457248432113,79.64,79.64,37.5,58.35,95.11,95.11,71.0,83.4,100.0,100.0,100.0,100.0,99.51,99.51,96.25,98.2,79.64,79.64,37.5,58.35,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,81.2,81.2,43.5,60.65,97.33000000000001,97.33,75.25,90.5,100.0,100.0,100.0,100.0,99.98,99.98,99.75,100.0,81.2,81.2,43.5,60.65,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
