observation_mode,observation_dim,feature_name,n,mean,std,min,max
spatial120,120,tile_scratch_max_um_x2_y4_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_scratch_max_um_x3_y0_norm,15,0.12856973707675934,0.0,0.12856973707675934,0.12856973707675934
spatial120,120,tile_scratch_max_um_x3_y1_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_scratch_max_um_x3_y2_norm,15,0.22587786614894867,0.0,0.22587786614894867,0.22587786614894867
spatial120,120,tile_scratch_max_um_x3_y3_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_scratch_max_um_x3_y4_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_scratch_max_um_x4_y0_norm,15,0.14905403554439545,0.0,0.14905403554439545,0.14905403554439545
spatial120,120,tile_scratch_max_um_x4_y1_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_scratch_max_um_x4_y2_norm,15,0.1634274572134018,0.0,0.1634274572134018,0.1634274572134018
spatial120,120,tile_scratch_max_um_x4_y3_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_scratch_max_um_x4_y4_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_removal_mean_um_x0_y0_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_removal_mean_um_x0_y1_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_removal_mean_um_x0_y2_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_removal_mean_um_x0_y3_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_removal_mean_um_x0_y4_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_removal_mean_um_x1_y0_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_removal_mean_um_x1_y1_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_removal_mean_um_x1_y2_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_removal_mean_um_x1_y3_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_removal_mean_um_x1_y4_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_removal_mean_um_x2_y0_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_removal_mean_um_x2_y1_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_removal_mean_um_x2_y2_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_removal_mean_um_x2_y3_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_removal_mean_um_x2_y4_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_removal_mean_um_x3_y0_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_removal_mean_um_x3_y1_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_removal_mean_um_x3_y2_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_removal_mean_um_x3_y3_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_removal_mean_um_x3_y4_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_removal_mean_um_x4_y0_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_removal_mean_um_x4_y1_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_removal_mean_um_x4_y2_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_removal_mean_um_x4_y3_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_removal_mean_um_x4_y4_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_under_fraction_x0_y0_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_under_fraction_x0_y1_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_under_fraction_x0_y2_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_under_fraction_x0_y3_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_under_fraction_x0_y4_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_under_fraction_x1_y0_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_under_fraction_x1_y1_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_under_fraction_x1_y2_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_under_fraction_x1_y3_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_under_fraction_x1_y4_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_under_fraction_x2_y0_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_under_fraction_x2_y1_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_under_fraction_x2_y2_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_under_fraction_x2_y3_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_under_fraction_x2_y4_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_under_fraction_x3_y0_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_under_fraction_x3_y1_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_under_fraction_x3_y2_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_under_fraction_x3_y3_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_under_fraction_x3_y4_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_under_fraction_x4_y0_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_under_fraction_x4_y1_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_under_fraction_x4_y2_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_under_fraction_x4_y3_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_under_fraction_x4_y4_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_over_fraction_x0_y0_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_over_fraction_x0_y1_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_over_fraction_x0_y2_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_over_fraction_x0_y3_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_over_fraction_x0_y4_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_over_fraction_x1_y0_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_over_fraction_x1_y1_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_over_fraction_x1_y2_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_over_fraction_x1_y3_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_over_fraction_x1_y4_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_over_fraction_x2_y0_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_over_fraction_x2_y1_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_over_fraction_x2_y2_norm,15,0.0,0.0,0.0,0.0
