epoch,train_mse,n,mse,mae,force_mae,feed_mae
0,0.023675132933117096,2880,0.016511522233486176,0.0677814781665802,0.1122332289814949,0.023329729214310646
1,0.013248569278844765,2880,0.00904286652803421,0.06102370470762253,0.09296458959579468,0.02908281609416008
2,0.007881567609452066,2880,0.004682785365730524,0.04152699559926987,0.054601915180683136,0.028452079743146896
3,0.004194447287313995,2880,0.003350635524839163,0.0336386002600193,0.05071190744638443,0.016565287485718727
4,0.003038616764492222,2880,0.0020950825419276953,0.025222662836313248,0.04074450582265854,0.009700818918645382
5,0.002051090956887319,2880,0.0017740207258611917,0.021360373124480247,0.03391943499445915,0.008801311254501343
6,0.0017867089005275851,2880,0.0014888023724779487,0.01962442696094513,0.0320129469037056,0.007235911209136248
7,0.0015122779534153996,2880,0.0013287545880302787,0.018381187692284584,0.02991345524787903,0.006848922930657864
8,0.001330243195185349,2880,0.0011499999091029167,0.01680407114326954,0.027066199108958244,0.006541942246258259
9,0.0011675994699111296,2880,0.0010081551736220717,0.015239265747368336,0.024988636374473572,0.005489898379892111
10,0.001036164734978229,2880,0.0009003698942251503,0.014166777953505516,0.023395437747240067,0.004938117694109678
11,0.0009352134108277304,2880,0.0008100817794911563,0.013103035278618336,0.021373797208070755,0.004832273814827204
12,0.0008546060560980723,2880,0.0007427682867273688,0.012222521007061005,0.019892940297722816,0.004552102647721767
13,0.0007896833138407341,2880,0.000687998253852129,0.011402782052755356,0.018642695620656013,0.004162867087870836
14,0.0007334629556031099,2880,0.0006357562961056828,0.010726550593972206,0.017521493136882782,0.003931606654077768
15,0.0006853175316272037,2880,0.0005935411900281906,0.01022119726985693,0.016593782231211662,0.00384861184284091
16,0.0006436318375303277,2880,0.0005566576146520674,0.009703529998660088,0.01573215425014496,0.0036749052815139294
17,0.0006034234045295134,2880,0.0005236257566139102,0.00925676804035902,0.014956430532038212,0.003557106712833047
18,0.0005694825931208296,2880,0.0004956729826517403,0.008872749283909798,0.014301213435828686,0.0034442858304828405
19,0.0005407577907178728,2880,0.00047095579793676734,0.00848099123686552,0.013680269941687584,0.0032817109022289515
