policy_label,sequences,tiles,safety_pass,quality_pass,sensor_fault_steps,mean_gu_final,mean_ra_final_um,mean_rz_final_um,mean_scratch_final_um,mean_clearcoat_min_um,mean_temperature_peak_c,mean_control_steps,mean_all4_area_pct,all4_cells_pass,tiles_all4_area_100pct,tiles_all4_area_ge95pct,tiles_all4_area_ge90pct,tiles_all4_area_ge80pct
champion,32,800,32,24,0,71.90384106212308,0.11355485057302134,1.2390594664783146,0.8059322929592567,42.367143270247944,28.400645954492177,3487.28125,94.21718749999998,301495,620,642,649,691
control_30528,32,800,32,24,0,72.01866794315785,0.1055370573946283,1.205343653721581,0.8090300991129548,42.355019769696426,28.563370266762202,3538.3125,94.29437499999999,301742,620,642,649,693
control_46080,32,800,32,24,0,72.24841202629497,0.099791280135688,1.176879091613018,0.7962936788183905,42.30031353394579,28.9078737886311,4007.90625,94.40375000000002,302092,620,642,651,693
