policy_label,delta_gu,delta_ra_um,delta_rz_um,delta_scratch_um,delta_clearcoat_um,delta_temperature_c,delta_control_steps,delta_control_steps_pct,delta_all4_area_pct_points,delta_all4_cells,delta_tiles_100pct,delta_tiles_ge95pct,delta_tiles_ge90pct,delta_tiles_ge80pct
control_30528,0.11482688103477301,-0.008017793178393032,-0.03371581275673363,0.003097806153698035,-0.012123500551517452,0.1627243122700257,51.03125,1.4633534361474285,0.07718750000000796,247,0,0,0,2
control_46080,0.3445709641718935,-0.013763570437333339,-0.062180374865296484,-0.009638614140866197,-0.06682973630215372,0.5072278341389236,520.625,14.929251834792504,0.18656250000003638,597,0,0,2,2
