shield_mode,direction_mode,surface_kind,sequences,safety_pass,quality_pass,force_overloads,thermal_overloads,unstable_overloads,sensor_fault_steps,mean_control_steps,max_raw_force_n,mean_final_all4_area_pct,mean_parent_force_action,mean_executed_force_action,mean_shield_step_fraction,min_force_action_cap
control,same_xx,flat,4,4,3,0,0,0,0,4140.5,9.4632568359375,95.29500000000002,0.7634298717020609,0.7634298717020609,0.0,1.0
control,same_xx,cylinder,4,1,1,3,0,0,0,2452.25,14.04121208190918,94.8375,0.885350265634643,0.885350265634643,0.0,1.0
control,same_xx,sphere,4,4,3,0,0,0,0,4134.75,11.833740234375,95.29500000000002,0.7586766862861383,0.7586766862861383,0.0,1.0
control,same_xx,freeform,4,4,3,0,0,0,0,4128.5,12.411579132080078,95.29250000000002,0.7448473747824265,0.7448473747824265,0.0,1.0
control,cross_xy,flat,4,4,3,0,0,0,0,4088.75,9.4632568359375,95.32,0.753927736872077,0.753927736872077,0.0,1.0
control,cross_xy,cylinder,4,2,1,2,0,0,0,2709.25,14.04121208190918,94.995,0.8837671185838505,0.8837671185838505,0.0,1.0
control,cross_xy,sphere,4,4,3,0,0,0,0,4086.0,11.558186531066895,95.32,0.749724933026959,0.749724933026959,0.0,1.0
control,cross_xy,freeform,4,4,3,0,0,0,0,4084.5,12.411579132080078,95.3075,0.7364419900799706,0.7364419900799706,0.0,1.0
static_cap,same_xx,flat,4,4,3,0,0,0,0,4140.5,9.4632568359375,95.29500000000002,0.7634298717020609,0.7634298717020609,0.0,1.0
static_cap,same_xx,cylinder,4,4,3,0,0,0,0,4085.0,13.380904197692871,95.17999999999999,0.6643483673087918,0.4194121465059548,0.7201791747194188,0.5
static_cap,same_xx,sphere,4,4,3,0,0,0,0,4081.5,10.53706169128418,95.17999999999999,0.6634154502022449,0.41823929607985805,0.7241292591187746,0.5
static_cap,same_xx,freeform,4,4,3,0,0,0,0,4101.75,12.019120216369629,95.18249999999999,0.668818929804713,0.423155946131379,0.7081094656932063,0.5
static_cap,cross_xy,flat,4,4,3,0,0,0,0,4088.75,9.4632568359375,95.32,0.753927736872077,0.753927736872077,0.0,1.0
static_cap,cross_xy,cylinder,4,4,3,0,0,0,0,4034.75,12.21843433380127,95.15999999999998,0.6559711112679789,0.4185022964011574,0.7152017275859519,0.5
static_cap,cross_xy,sphere,4,4,3,0,0,0,0,4024.25,10.293384552001953,95.16499999999999,0.6525716437738283,0.4151852434711474,0.7170141126073999,0.5
static_cap,cross_xy,freeform,4,4,3,0,0,0,0,4045.5,12.335296630859375,95.1575,0.6575978662502714,0.4193294092916765,0.7017930651000989,0.5
