stage,candidate,direction_mode,surface_profile,profile_seed,champion_quality_ok,candidate_quality_ok,champion_safety_ok,candidate_safety_ok,champion_sensor_fault_steps,candidate_sensor_fault_steps,champion_gu_final,candidate_gu_final,delta_gu_final,champion_ra_final_um,candidate_ra_final_um,delta_ra_final_um,champion_rz_final_um,candidate_rz_final_um,delta_rz_final_um,champion_scratch_final_um,candidate_scratch_final_um,delta_scratch_final_um,champion_clearcoat_min_um,candidate_clearcoat_min_um,delta_clearcoat_min_um,champion_temperature_peak_c,candidate_temperature_peak_c,delta_temperature_peak_c,champion_control_steps,candidate_control_steps,delta_control_steps
screen,actor1,same_xx,factory_prepolish,15000,0,0,1,1,0,0,69.99872774657975,69.98546648631005,-0.01326126026970087,0.09489176834976333,0.09510181820005553,0.00021004985029220158,0.8278341642277018,0.8288989881166267,0.0010648238889248152,0.346248221021473,0.34641570676330463,0.0001674857418316189,43.71353219882311,43.716082598792504,0.0025503999693938795,25.6562965535015,25.63911976835519,-0.0171767851463116,2664.0,2649.0,-15.0
screen,actor1,same_xx,factory_prepolish,15097,1,1,1,1,0,0,73.63818093970717,73.65849213727378,0.02031119756661326,0.07909760809334884,0.0795884113352122,0.0004908032418633607,0.6856351134555081,0.6880325654715516,0.0023974520160434665,0.30464628227144613,0.3010458964291391,-0.003600385842307041,41.92398109597981,41.92610369613045,0.0021226001506349235,28.61278424717953,28.608737324260925,-0.004046922918604423,2872.0,2872.0,0.0
screen,actor1,same_xx,factory_prepolish_deep_defect,15000,0,0,1,1,0,0,69.66820834539472,69.6545848396956,-0.013623505699115412,0.09873833170031111,0.09896730598672322,0.00022897428641210915,0.9135160507905775,0.9147442204970119,0.0012281697064343566,0.5452669080352787,0.5454036145638852,0.00013670652860653387,43.70750998371414,43.71036642099542,0.0028564372812809324,28.84791225531458,28.853637589592424,0.005725334277844496,2995.0,2981.0,-14.0
screen,actor1,same_xx,factory_prepolish_deep_defect,15097,1,1,1,1,0,0,73.20010411734216,73.21838083069152,0.018276713349351326,0.08453299626531392,0.08435187977559121,-0.00018111648972271577,0.7365570024789014,0.735788473982036,-0.0007685284968654837,0.4822717459026963,0.4827292468067126,0.00045750090401630583,41.54004393329242,41.542977312687334,0.002933379394917779,29.299354945676946,29.30385018469163,0.0044952390146839605,3292.0,3287.0,-5.0
screen,actor1,same_xx,factory_prepolish_deep_stress,15000,0,0,1,1,0,0,69.49525199193693,69.48050109759332,-0.014750894343606546,0.10299190604474948,0.10313925439073375,0.0001473483459842745,1.0142881086500812,1.0148915737640931,0.0006034651140118807,0.9111956110696762,0.9115453133594408,0.0003497022897646085,43.70755480069187,43.710395907358745,0.0028411066668780904,28.871988232357182,28.857247807157496,-0.014740425199686769,3087.0,3071.0,-16.0
screen,actor1,same_xx,factory_prepolish_deep_stress,15097,1,1,1,1,0,0,73.00442145178432,73.01699599979806,0.012574548013731146,0.0857886799518343,0.08546724646908932,-0.00032143348274497885,0.8206615009540412,0.819601532034852,-0.001059968919189247,0.8759806386337448,0.8768402244203621,0.0008595857866173784,41.54265167224066,41.54813559642671,0.005483924186052036,29.311068192715904,29.297796446887162,-0.013271745828742354,3300.0,3291.0,-9.0
screen,actor1,same_xx,legacy_stress,15000,0,0,1,1,0,0,59.31844808575995,59.251753120082064,-0.06669496567788258,0.1378403746377113,0.13772944417435723,-0.00011093046335405865,2.026150375190938,2.026294298675215,0.00014392348427660906,1.5005101320222178,1.5042477531727236,0.003737621150505799,41.35135987967727,41.354277159939144,0.0029172802618759874,29.57796833733166,29.536006956332507,-0.041961380999154585,5794.0,5728.0,-66.0
screen,actor1,same_xx,legacy_stress,15097,0,0,1,1,0,0,69.7159883291652,69.6988571906225,-0.017131138542694657,0.11362736292523741,0.1131465533578863,-0.00048080956735110925,1.9985640191460148,1.9959071795839818,-0.0026568395620329976,1.6422648027980578,1.6453355870801456,0.003070784282087846,40.920936827723295,40.9227378955345,0.0018010678112077017,29.577682141970982,29.537048630884335,-0.04063351108664648,3938.0,3902.0,-36.0
screen,actor3,same_xx,factory_prepolish,15000,0,0,1,1,0,0,69.99872774657975,69.97024760118808,-0.028480145391668543,0.09489176834976333,0.09509873131358457,0.00020696296382123613,0.8278341642277018,0.8286285404788767,0.0007943762511748442,0.346248221021473,0.3464778726170126,0.000229651595539615,43.71353219882311,43.716008995675,0.0024767968518872863,25.6562965535015,25.641462445160947,-0.014834108340554764,2664.0,2642.0,-22.0
screen,actor3,same_xx,factory_prepolish,15097,1,1,1,1,0,0,73.63818093970717,73.61332369064128,-0.02485724906588871,0.07909760809334884,0.07917375448488047,7.614639153162572e-05,0.6856351134555081,0.6854290113643963,-0.0002061020911118261,0.30464628227144613,0.3042973395911678,-0.0003489426802783524,41.92398109597981,41.92690661620073,0.0029255202209199638,28.61278424717953,28.47379492122339,-0.138989325956139,2872.0,2850.0,-22.0
