stage,candidate,direction_mode,pairs,champion_safety_ok,candidate_safety_ok,champion_quality_ok,candidate_quality_ok,champion_sensor_fault_steps,candidate_sensor_fault_steps,mean_delta_gu_final,mean_delta_ra_final_um,mean_delta_rz_final_um,mean_delta_scratch_final_um,mean_delta_clearcoat_min_um,mean_delta_temperature_peak_c,mean_delta_control_steps
confirmation,actor5,same_xx,16,16,16,10,10,0,0,-0.024571092920538273,-0.0013840851050300933,-0.004296685617211575,0.0020986632379432976,-0.005156762037082707,-0.09886502491601212,-35.6875
confirmation,actor5,cross_xy,16,16,16,10,10,0,0,-0.0244886409581051,-0.0015100652641323467,-0.00470484042959797,0.0018801091169927883,-0.0030048556711919083,-0.10644590512854757,-33.0625
confirmation,actor5,all,32,32,32,20,20,0,0,-0.024529866939321687,-0.00144707518458122,-0.0045007630234047726,0.001989386177468043,-0.004080808854137308,-0.10265546502227985,-34.375
confirmation_profile,actor5,factory_prepolish,8,8,8,8,8,0,0,0.0023972845742488147,-0.0004505768762577602,-0.0010592894709835071,0.0008335400521018582,-0.0038245574793389636,-0.08152858573755895,-2.5
confirmation_profile,actor5,factory_prepolish_deep_defect,8,8,8,6,6,0,0,-0.017048236981354492,-0.0019997563327308204,-0.007993587088762771,0.0035282018761607775,-0.00530717837403305,-0.16836048300548923,-37.5
confirmation_profile,actor5,factory_prepolish_deep_stress,8,8,8,6,6,0,0,0.014465851050621481,-0.0012065622187970495,-0.006320507208018578,0.0011236897611176244,-0.013397520624186754,-0.10202676863740834,-11.75
confirmation_profile,actor5,legacy_stress,8,8,8,0,0,0,0,-0.09793436640080255,-0.00213140531053925,-0.002629668325854234,0.0024721130204919117,0.006206021061009537,-0.058706022708662875,-85.75
