stage,policy,direction_mode,executions,safety_ok,quality_ok,sensor_fault_steps,mean_gu_final,mean_ra_final_um,mean_rz_final_um,mean_scratch_final_um,mean_clearcoat_min_um,mean_temperature_peak_c,mean_control_steps
screen,champion,all,8,8,3,0,69.75491637595877,0.09968862849603372,1.1279007918617205,0.8260480427193239,42.30094629901782,28.719381863256036,3492.75
screen,actor1,all,8,8,3,0,69.74562896275836,0.0996864892112061,1.128019854015671,0.8266954178244642,42.3038845734831,28.70418058852021,3472.625
screen,actor3,all,8,8,3,0,69.72758306889185,0.09950258662229206,1.1272078648598607,0.827310347819723,42.307320749424,28.646568714338603,3463.25
screen,actor5,all,8,8,4,0,69.75274807372028,0.09883913010035705,1.1250454668627097,0.8269456557474619,42.30536182114868,28.617232514638243,3477.0
