stage,candidate,direction_mode,surface_profile,profile_seed,champion_quality_ok,candidate_quality_ok,champion_safety_ok,candidate_safety_ok,champion_sensor_fault_steps,candidate_sensor_fault_steps,champion_gu_final,candidate_gu_final,delta_gu_final,champion_ra_final_um,candidate_ra_final_um,delta_ra_final_um,champion_rz_final_um,candidate_rz_final_um,delta_rz_final_um,champion_scratch_final_um,candidate_scratch_final_um,delta_scratch_final_um,champion_clearcoat_min_um,candidate_clearcoat_min_um,delta_clearcoat_min_um,champion_temperature_peak_c,candidate_temperature_peak_c,delta_temperature_peak_c,champion_control_steps,candidate_control_steps,delta_control_steps
confirmation,actor5,same_xx,factory_prepolish,16000,1,1,1,1,0,0,71.34624982122187,71.33983971736001,-0.006410103861867356,0.08369054246516425,0.08281985638042756,-0.0008706860847366854,0.848961477620036,0.8437819596423993,-0.005179517977636716,0.461449337231808,0.4659489409924637,0.004499603760655724,43.875456316611206,43.874539146159364,-0.000917170451842253,29.142888955393452,28.947924055600335,-0.19496489979311704,3095.0,3069.0,-26.0
confirmation,actor5,same_xx,factory_prepolish,16097,1,1,1,1,0,0,76.85931627325553,76.86230864846013,0.0029923752045988294,0.0868928169705245,0.0867105763242116,-0.00018224064631290615,0.7110433875021842,0.7100757957055484,-0.0009675917966358583,0.0,0.0,0.0,43.182518663159776,43.181456467788806,-0.001062195370970187,25.65358664307198,25.67197104424982,0.01838440117784046,2663.0,2670.0,7.0
confirmation,actor5,same_xx,factory_prepolish,16194,1,1,1,1,0,0,77.1699695456832,77.16954289876439,-0.00042664691881100225,0.0813900967563264,0.08122818942943072,-0.00016190732689568,0.6639631871519894,0.6634864317890324,-0.00047675536295699317,0.0,0.0,0.0,41.38105389412927,41.378426121046715,-0.002627773082558349,25.655087305925548,25.682648896765258,0.027561590839709993,2664.0,2672.0,8.0
confirmation,actor5,same_xx,factory_prepolish,16291,1,1,1,1,0,0,75.36552048533868,75.3601365397609,-0.005383945577776217,0.0900430950260045,0.08940301405026975,-0.0006400809757347442,0.8191921316657371,0.8191253284323146,-6.680323342256322e-05,0.42872113983679455,0.43038741264179353,0.0016662728049989806,42.57693236312169,42.57061324115636,-0.006319121965333352,29.0510453002147,28.872467749630243,-0.1785775505844569,3009.0,3003.0,-6.0
confirmation,actor5,same_xx,factory_prepolish_deep_defect,16000,0,0,1,1,0,0,69.56641059542135,69.54498285552185,-0.02142773989949376,0.09012054234541744,0.0888686309764687,-0.001251911368948741,1.0701285908657237,1.065545785366483,-0.0045828054992407274,0.6355935154187662,0.6378557966365508,0.002262281217784601,43.87555711889586,43.87453955800232,-0.0010175608935441005,29.182654504492128,29.012201506765585,-0.17045299772654232,3544.0,3484.0,-60.0
confirmation,actor5,same_xx,factory_prepolish_deep_defect,16097,1,1,1,1,0,0,74.95633086373422,74.93982412117711,-0.016506742557112375,0.10067705511131521,0.09884983323273784,-0.0018272218785773675,1.016025979895613,1.005412534285301,-0.010613445610311967,0.5713224928397033,0.5755368053654377,0.004214312525734454,43.182468334326224,43.18145777161132,-0.0010105627149030738,29.531265961614245,29.365177962259178,-0.16608799935506724,3213.0,3178.0,-35.0
confirmation,actor5,same_xx,factory_prepolish_deep_defect,16194,1,1,1,1,0,0,74.53708822297129,74.51239632209462,-0.024691900876675277,0.11105931369342516,0.10822438879936915,-0.0028349248940560123,1.0325885836972728,1.0201773122302447,-0.01241127146702814,0.5424698190573882,0.5478486621630996,0.005378843105711351,41.351967622969134,41.35095110399597,-0.0010165189731665691,29.056361788323617,28.88800491449978,-0.16835687382383568,3132.0,3107.0,-25.0
confirmation,actor5,same_xx,factory_prepolish_deep_defect,16291,1,1,1,1,0,0,73.51915442419704,73.49764856438208,-0.021505859814965333,0.0972198394979533,0.09538203678736794,-0.0018378027105853678,0.9717035748060492,0.9686655492788008,-0.0030380255272484114,0.6163316984811845,0.6196066468248842,0.0032749483436996796,42.5815670452711,42.564709564774354,-0.01685748049674629,29.44146198833669,29.315028916193935,-0.12643307214275623,3446.0,3419.0,-27.0
confirmation,actor5,same_xx,factory_prepolish_deep_stress,16000,0,0,1,1,0,0,69.12217328592797,69.11655861380854,-0.005614672119435227,0.09299997533317356,0.09223746750130918,-0.0007625078318643785,1.331350265133881,1.3290688504914137,-0.0022814146424674497,1.0502297713642488,1.0514716858795254,0.0012419145152766653,43.87555888759941,43.87452702116812,-0.0010318664312904957,29.206209792846696,29.11283105195848,-0.09337874088821607,3551.0,3506.0,-45.0
confirmation,actor5,same_xx,factory_prepolish_deep_stress,16097,1,1,1,1,0,0,74.39657497398237,74.39472644444103,-0.0018485295413341873,0.10355811537548926,0.10256386635744812,-0.0009942490180411406,1.277879153459088,1.272037292608602,-0.0058418608504859915,0.9507414788891984,0.9526689259382984,0.001927447049100084,43.1824220158751,43.1814569525909,-0.0009650632841982087,29.54960406354676,29.461500550366186,-0.08810351318057386,3216.0,3203.0,-13.0
confirmation,actor5,same_xx,factory_prepolish_deep_stress,16194,1,1,1,1,0,0,74.21275009640995,74.20634332604486,-0.006406770365089187,0.11417635967147856,0.11223030636993898,-0.0019460533015395742,1.421047390639084,1.4117989644913087,-0.009248426147775213,0.9122952235390832,0.915462689886646,0.0031674663475628195,41.35107529807316,41.34992999399914,-0.0011453040740221354,29.074190461348717,28.944966815310497,-0.1292236460382199,3144.0,3130.0,-14.0
confirmation,actor5,same_xx,factory_prepolish_deep_stress,16291,1,1,1,1,0,0,72.86864067294431,73.00035437008715,0.13171369714284253,0.10098072581438274,0.10062496154738415,-0.00035576426699858443,1.1982856571291383,1.1933131666976566,-0.004972490431481624,0.9895809973164772,0.9833167545779191,-0.006264242738558079,42.646967109809424,42.57242226898297,-0.07454484082645507,29.46926998584568,29.38028240297996,-0.08898758286571962,3408.0,3466.0,58.0
confirmation,actor5,same_xx,legacy_stress,16000,0,0,1,1,0,0,68.3209069896452,68.22996532654372,-0.090941663101475,0.0898606981841205,0.0881715047591856,-0.0016891934249348983,1.6176406242480348,1.6181467019151445,0.00050607766710975,1.5001739092021582,1.5045055184186955,0.004331609216537302,40.06775192684999,40.08166655897943,0.013914632129434779,29.481340707448435,29.428260231371038,-0.05308047607739752,4823.0,4711.0,-112.0
confirmation,actor5,same_xx,legacy_stress,16097,0,0,1,1,0,0,65.69816468290938,65.64024765909281,-0.0579170238165716,0.16542171883820947,0.1631274066517657,-0.00229431218644377,2.104840826553668,2.1044039200234232,-0.0004369065302447517,1.541769671267646,1.5435292552596873,0.001759583992041236,43.52556890331169,43.52620356200556,0.0006346586938761334,29.476830394248314,29.4136520248157,-0.06317836943261312,4838.0,4779.0,-59.0
confirmation,actor5,same_xx,legacy_stress,16194,0,0,1,1,0,0,59.868386511695356,59.78868152102329,-0.07970499067206305,0.12503844924539273,0.12450151704824511,-0.0005369321971476215,1.9426905630334455,1.9421421619190928,-0.0005484011143526146,1.3442007077641889,1.3471200703925534,0.0029193626283645635,41.7148369881563,41.721545765761135,0.006708777604835348,29.5811432756099,29.550731726293265,-0.0304115493166357,5616.0,5538.0,-78.0
confirmation,actor5,same_xx,legacy_stress,16291,0,0,1,1,0,0,64.3327499349583,64.14369296500492,-0.18905696995338417,0.14512938058539407,0.14116980701773005,-0.003959573567664021,1.6571375958011436,1.6485502644499377,-0.008587331351205929,1.150356578739167,1.1535557877773503,0.0031992090381833815,41.96052387611494,41.9652730736585,0.004749197543560513,29.45692628987538,29.380377170426787,-0.07654911944859322,5334.0,5190.0,-144.0
confirmation,actor5,cross_xy,factory_prepolish,16000,1,1,1,1,0,0,71.34100106690771,71.33804777896526,-0.0029532879424465364,0.08565325384593364,0.08459517797348697,-0.001058075872446676,0.8571754333881534,0.8529792125250255,-0.004196220863127875,0.45294355349421334,0.4570761404344944,0.004132586940281069,43.88249990752326,43.881731705577636,-0.0007682019456254352,29.10573876523603,28.910572148243073,-0.19516661699295668,3140.0,3112.0,-28.0
confirmation,actor5,cross_xy,factory_prepolish,16097,1,1,1,1,0,0,76.85902699075223,76.86186088343348,0.002833892681252337,0.08611480778517554,0.08593317665562075,-0.0001816311295547851,0.6995784782411574,0.6983196775699568,-0.001258800671200544,0.0,0.0,0.0,43.18080220598222,43.17983569126194,-0.0009665147202753133,26.12835956821999,26.154676698170224,0.0263171299502325,2663.0,2670.0,7.0
confirmation,actor5,cross_xy,factory_prepolish,16194,1,1,1,1,0,0,77.19064867258373,77.18876710078797,-0.001881571795763648,0.08087531297749948,0.08069803602791031,-0.0001772769495891613,0.6615540828574927,0.6608875855455836,-0.0006664973119091533,0.0,0.0,0.0,41.36798638035569,41.365427778289906,-0.0025586020657826225,26.1278379558114,26.150632765898134,0.02279481008673301,2664.0,2673.0,9.0
confirmation,actor5,cross_xy,factory_prepolish,16291,1,1,1,1,0,0,75.41349515204934,75.44390271685414,0.03040756480480411,0.09095103130295774,0.0906183152781663,-0.00033271602479144347,0.8130313515282068,0.8173692229772285,0.004337871449021646,0.41513083237579734,0.41150068928667644,-0.0036301430891209074,42.58223264789151,42.566855767659185,-0.015376880232324197,29.0510453002147,28.872467749630243,-0.1785775505844569,3061.0,3070.0,9.0
confirmation,actor5,cross_xy,factory_prepolish_deep_defect,16000,0,0,1,1,0,0,69.562734033519,69.53808208063103,-0.024651952887978723,0.08878846526828234,0.08751725697670168,-0.0012712082915806583,1.0668644734965318,1.0623997270646974,-0.0044647464318343655,0.632142412482464,0.6353908814795994,0.0032484689971354896,43.88258395309081,43.88165756480147,-0.0009263882893364439,29.137901291224757,28.967219628574973,-0.17068166264978402,3520.0,3460.0,-60.0
confirmation,actor5,cross_xy,factory_prepolish_deep_defect,16097,1,1,1,1,0,0,75.01435170056806,74.99519441580462,-0.019157284763437588,0.10207528541234959,0.10007400912436158,-0.0020012762879880047,1.01985762488165,1.0078281245724277,-0.01202950030922234,0.5604264275213426,0.5644493873010334,0.0040229597796908045,43.180731587870675,43.17981735993539,-0.0009142279352829519,29.389797828633764,29.21347216839913,-0.17632566023463525,3243.0,3204.0,-39.0
confirmation,actor5,cross_xy,factory_prepolish_deep_defect,16194,1,1,1,1,0,0,74.55813281869968,74.54229457306715,-0.015838245632522785,0.11400563081607652,0.11081297925732693,-0.003192651558749593,1.0429227431996266,1.0305329994202679,-0.012389743779358753,0.5294046137385721,0.53315381591146,0.0037492021728879887,41.292499113619016,41.2944491610744,0.0019500474553808544,29.152070364133607,28.9578143359829,-0.19425602815070775,3205.0,3174.0,-31.0
