checkpoint,env,sequence,pass,decision,base_force_n,force_cmd_mean_n,force_used_mean_n,force_used_max_n,force_action_mean,feed_cmd_mean_mm_s,feed_action_mean,fallback_steps,gu_before,gu_after,ra_before_um,ra_after_um,rz_before_um,rz_after_um,scratch_before_um,scratch_after_um,clearcoat_before_um,clearcoat_after_um,clearcoat_removed_um,clearcoat_budget_um,temperature_peak_c,thermal_damage_peak,shortfall_ratio,removal_per_force_um_n,desired_extra_force_n,max_extra_force_n,next_base_force_n,quality_ok,safety_ok
model_700.pt,4,0,1,continue,5.7779998779296875,4.921785831451416,4.822280406951904,8.4793701171875,-0.4939471185207367,3.8329530507326126,-0.7108295559883118,0,55.123352586070986,66.61438945338129,0.21899351422999247,0.16139415965358012,2.317362662835538,1.8216587041644594,1.7328878054683368,1.190646736110451,40.0,38.097709494449866,1.902290505550134,3.097709494449866,38.81348457530262,0.03179502037800152,0.04836586495169582,0.39447944644773264,0.3678204179246446,2.782678551023847,6.145820417924644,False,True
model_700.pt,4,0,2,fail_clearcoat_budget,6.145820617675781,5.934971332550049,5.8445940017700195,8.931029319763184,-0.11410074681043625,3.2911007292568684,-0.8930729627609253,0,66.61438945338129,61.271688755051194,0.16139415965358012,0.20254450198175675,1.8216587041644594,1.63732398117854,1.190646736110451,0.3182937380360844,38.097709494449866,35.70744286245674,2.3902666319931285,0.7074428624567375,42.934836235343994,0.2920361542569624,0.12469016064212579,0.4089705172453797,,,,False,True
model_700.pt,1,0,1,continue,5.7779998779296875,4.9236602783203125,4.824375629425049,8.517843246459961,-0.4928628206253052,3.825271734967828,-0.7134132981300354,0,55.020578814320324,66.89341735625845,0.17001379147716275,0.14487654879178485,1.856739630255628,1.33570746141748,1.7586347776790008,0.84694140174925,40.0,37.77278382692802,2.22721617307198,2.77278382692802,38.84242791150585,0.036809196467631235,0.04437975205345067,0.4616589470122606,0.2883931027915638,1.6739279763324861,6.066393102791563,False,True
model_700.pt,1,0,2,fail_clearcoat_budget,6.06639289855957,5.880913257598877,5.793703079223633,8.821932792663574,-0.10187230259180069,3.2034663017839193,-0.9225428700447083,0,66.89341735625845,54.6643337979372,0.14487654879178485,0.20885641681022113,1.33570746141748,1.5366287835718337,0.84694140174925,0.1629885652409424,37.77278382692802,35.09276005506329,2.6800237718647324,0.09276005506328744,43.99543413004293,0.33331617380856693,0.21908094574375422,0.4625752709826235,,,,False,True
model_700.pt,2,0,1,continue,5.7779998779296875,4.962812423706055,4.864975452423096,8.489748001098633,-0.47024816274642944,3.7706377916038036,-0.7317892909049988,0,51.50272842608628,68.03510722736367,0.16976909355078312,0.12938200821423704,1.7482039043783693,1.2236887787229103,1.4565298243497218,0.8361057062368182,41.35697717855107,39.67881284290049,1.6781643356505782,4.678812842900491,38.8932586076131,0.05261109388621488,0.02806989675194761,0.344948161005568,0.24412274009625332,7.765841786462665,6.022122740096253,False,True
model_700.pt,2,0,2,fail_infeasible,6.022122859954834,5.9022040367126465,5.817846298217773,8.84321117401123,-0.06612266600131989,3.136455314233899,-0.9450746178627014,0,68.03510722736367,61.64446763500528,0.12938200821423704,0.21320205290415076,1.2236887787229103,1.6502311053054544,0.8361057062368182,0.2487796120427106,39.67881284290049,37.2014553434917,2.4773574994087895,2.201455343491702,44.217254890837296,0.3570935605512062,0.11936474807135318,0.425820376204799,0.8409514063315597,0.4730993506868061,,False,True
model_700.pt,0,0,1,continue,5.7779998779296875,4.256412506103516,4.175866603851318,8.55228042602539,-0.8777499198913574,3.106606425717473,-0.9551129937171936,0,48.02341013137734,61.49491500569766,0.24843911861113557,0.18896402647963084,2.2405000130120296,1.8815027446156145,1.8293398482433674,1.1684052835656373,40.0,37.66357710110189,2.336422898898107,2.663577101101893,39.21546751492359,0.051316615376786695,0.1215012142043191,0.559506114669293,0.6514739214752001,1.1860050921768985,6.4294739214752,False,True
model_700.pt,0,0,2,fail_clearcoat_budget,6.429473876953125,5.462904930114746,5.371922969818115,9.300753593444824,-0.5008694529533386,3.166467882692814,-0.9349965453147888,0,61.49491500569766,47.0481661960367,0.18896402647963084,0.23881204757662022,1.8815027446156145,1.774815300044974,1.1684052835656373,0.5617392761205449,37.66357710110189,35.00617825169973,2.6573988494021634,0.006178251699729742,41.85520063368963,0.20580117932776695,0.3278833400566185,0.4946829774612607,,,,False,True
model_700.pt,7,0,1,continue,5.7779998779296875,4.220465660095215,4.14066743850708,7.701535224914551,-0.8984875082969666,3.077997826039791,-0.9647356271743774,0,60.546253284184225,68.59427034094283,0.1499052373540658,0.15553608944062006,2.115461447187254,1.6162932532107943,1.918805535884012,1.1499803276229996,40.58332885215803,39.034760600891396,1.5485682512666372,4.034760600891396,38.81418674150489,0.0625844072638453,0.02008185227224532,0.373990008679609,0.1610886799608257,5.440681712528157,5.939088679960825,False,True
model_700.pt,7,0,2,fail_clearcoat_budget,5.939088821411133,5.570877552032471,5.488494873046875,8.733341217041016,-0.20641697943210602,3.104899311438203,-0.9556914567947388,0,68.59427034094283,63.27377582824543,0.15553608944062006,0.21055183053395013,1.6162932532107943,1.5068056906104834,1.1499803276229996,0.21970051450541694,39.034760600891396,36.70951841108226,2.3252421898091384,1.7095184110822572,42.301150353173156,0.30419337800776824,0.09608891673935105,0.4236575315444008,,,,False,True
model_700.pt,6,0,1,continue,5.7779998779296875,4.230565547943115,4.151025772094727,7.668257713317871,-0.8926553726196289,3.069150960072875,-0.967711329460144,0,59.38847384926092,68.76759636808585,0.11913804565857165,0.13569903537812358,1.7897708221853352,1.1412970549243187,1.5363848000238132,0.6246368257575168,40.0,38.02877252093003,1.9712274790699666,3.0287725209300334,38.600888944512775,0.05750635165063278,0.01760576617020218,0.4748771959744371,0.11122306768642924,2.166396975156947,5.889223067686429,False,True
model_700.pt,6,0,2,fail_clearcoat_budget,5.889223098754883,5.631796836853027,5.551540374755859,8.577425003051758,-0.14544236660003662,3.0506006442010403,-0.9739558100700378,0,68.76759636808585,58.62063562201959,0.13569903537812358,0.20875890991546636,1.1412970549243187,1.4491887899416052,0.6246368257575168,0.17927463818143163,38.02877252093003,35.52259823592406,2.506174285005976,0.5225982359240575,42.34334248491276,0.2979164594230209,0.16256234825686297,0.4514376399750475,,,,False,True
model_700.pt,3,0,1,continue,5.7779998779296875,5.136309623718262,5.03007173538208,8.505951881408691,-0.370207816362381,4.090901929885149,-0.6240862607955933,0,49.702368148844236,65.79564399715625,0.2671390946084944,0.20199790080964508,2.2385700257400636,1.8419947159926644,1.6342579647181317,0.9651108766756551,44.75338184964393,43.74807636183516,1.0053054878087693,8.74807636183516,38.40737414700552,0.02675548419487508,0.060062228612053604,0.19985907571403794,0.9015686938029037,33.76417276886856,6.679568693802903,False,True
model_700.pt,3,0,2,continue,6.679568767547607,7.262673854827881,7.160967826843262,9.65257453918457,0.2909308969974518,3.382348222658038,-0.8623781800270081,0,65.79564399715625,62.619296848697886,0.20199790080964508,0.298484872790591,1.8419947159926644,2.028888663495744,0.9651108766756551,0.22767975393635176,43.74807636183516,41.493033460809315,2.2550429010258455,6.493033460809315,44.119535242027666,0.41730980713507404,0.4924243639529549,0.31490755936267434,4.691132517900313,14.267785345968006,9.153846153846153,False,True
model_700.pt,3,0,3,fail_infeasible,9.15384578704834,9.147845268249512,9.024946212768555,12.883598327636719,-0.0018655864987522364,3.000771626830101,-0.9907101392745972,0,62.619296848697886,46.198703579187125,0.298484872790591,0.4677625023302816,2.028888663495744,3.39503191088082,0.22767975393635176,0.12861833387032284,41.493033460809315,37.357778601880995,4.13525485892832,2.3577786018809945,51.398981372238914,1.0214296386374337,1.3388125116514078,0.45820271516718114,8.765634515039428,0.7808303836664399,,False,True
model_700.pt,5,0,1,continue,5.7779998779296875,4.931581020355225,4.830714225769043,8.46030330657959,-0.4883101284503937,3.8852908182889223,-0.6932286620140076,0,50.469676382178704,66.82658522290617,0.22928038211926302,0.1659742600790775,1.9693123406305104,1.5611277249473439,1.505043090734971,0.7287123733768306,42.36350825404388,40.88402061657379,1.4794876374700863,5.8840206165737925,38.104597947788534,0.029686375409644396,0.04533449681562607,0.3062668517168502,0.44406859470582255,12.681818469093244,6.2220685947058225,False,True
model_700.pt,5,0,2,continue,6.222068786621094,6.046049118041992,5.956557273864746,9.0250244140625,-0.0942743718624115,3.2028902787715197,-0.9227335453033447,0,66.82658522290617,63.414642050251715,0.1659742600790775,0.22523323919867344,1.5611277249473439,1.6324927147863293,0.7287123733768306,0.16055884249463315,40.88402061657379,38.3452714869046,2.538749129669192,3.3452714869046005,43.294066903968584,0.2989753501994192,0.12616619599336715,0.42621081489610113,0.8880548656945022,3.156352302398854,6.666054865694502,False,True
model_700.pt,5,0,3,fail_clearcoat_budget,6.666054725646973,7.310798645019531,7.221484184265137,9.588457107543945,0.3225706219673157,2.9912483878433704,-0.9939135909080505,0,63.414642050251715,49.32349830054936,0.22523323919867344,0.35901866395472853,1.6324927147863293,2.770150430118154,0.16055884249463315,0.07660272019473524,38.3452714869046,35.24915535068131,3.096116136223287,0.24915535068131334,45.83632263123123,0.6624697655186567,0.7950933197736426,0.4287368160369862,,,,False,True
