checkpoint,env,sequence,outcome,passes,gu_before,gu_final,ra_final_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_min_um,temperature_peak_c,thermal_damage_peak,quality_ok,safety_ok
finish_rule,63,0,fail_quality_regression,2,51.97,66.37,0.1496,1.533,1.907,0.718,37.29,35.9,0.008118,False,True
finish_rule,64,0,success,2,55.5,70.28,0.1459,1.496,1.664,0.636,40.17,35.9,0.008118,True,True
finish_rule,65,0,fail_quality_regression,2,56.75,66.64,0.1524,1.491,1.526,0.718,37.36,35.9,0.008118,False,True
finish_rule,67,0,fail_quality_regression,2,61.56,66.96,0.1498,1.45,1.656,0.678,37.57,35.9,0.008118,False,True
finish_rule,69,0,success,2,54.93,70.04,0.1791,1.528,1.642,0.573,45.13,35.9,0.008118,True,True
finish_rule,70,0,fail_quality_regression,2,59.19,68.69,0.1597,1.427,1.48,0.589,38.95,35.9,0.008117,False,True
finish_rule,71,0,fail_quality_regression,2,51.88,69.95,0.1397,1.489,1.914,0.76,41.36,35.9,0.008117,False,True
finish_rule,73,0,success,2,56.17,70.01,0.138,1.26,1.339,0.49,39.39,35.9,0.008118,True,True
finish_rule,74,0,fail_quality_regression,2,57.23,68.91,0.1748,1.735,1.897,0.904,41.9,35.9,0.008118,False,True
finish_rule,75,0,fail_quality_regression,2,60.43,68.02,0.1302,1.595,1.906,0.962,38.47,35.9,0.008118,False,True
finish_rule,77,0,fail_quality_regression,2,51.93,68.13,0.1858,1.658,1.803,0.763,39.77,35.9,0.008117,False,True
finish_rule,78,0,fail_quality_regression,2,58.14,66.73,0.141,1.483,1.449,0.547,37.31,35.9,0.008117,False,True
finish_rule,80,0,fail_quality_regression,2,54.54,68.39,0.1681,1.439,1.828,0.602,39.88,35.9,0.008118,False,True
finish_rule,83,0,fail_quality_regression,2,46.49,68.31,0.1699,1.629,1.864,0.806,40.85,35.9,0.008119,False,True
finish_rule,84,0,fail_quality_regression,2,52.63,69.15,0.1456,1.434,1.739,0.713,38.93,35.9,0.008118,False,True
finish_rule,85,0,fail_quality_regression,2,57.56,69.28,0.1328,1.514,1.744,0.813,38.79,35.9,0.008118,False,True
finish_rule,86,0,fail_quality_regression,2,56.54,67.03,0.1535,1.488,1.675,0.785,37.53,35.9,0.008119,False,True
finish_rule,89,0,fail_infeasible,2,57.65,65.05,0.1594,1.496,1.437,0.735,37.21,35.9,0.008118,False,True
finish_rule,90,0,fail_quality_regression,2,54.65,69.15,0.1558,1.824,1.937,0.938,44.73,35.9,0.008118,False,True
finish_rule,91,0,fail_infeasible,2,51.01,62.53,0.1965,1.649,1.893,0.718,37.08,35.9,0.008118,False,True
finish_rule,92,0,fail_quality_regression,2,48.27,69.98,0.1613,1.366,1.509,0.548,44.83,35.9,0.008119,False,True
finish_rule,93,0,success,2,62.51,70.43,0.1267,1.19,1.613,0.664,40.06,35.9,0.008119,True,True
finish_rule,95,0,fail_quality_regression,2,51.1,69.25,0.1551,1.413,1.496,0.617,39.63,35.9,0.008118,False,True
finish_rule,97,0,fail_quality_regression,2,66.48,69.55,0.1581,1.674,1.858,1.027,39.97,35.9,0.008118,False,True
finish_rule,98,0,fail_quality_regression,2,61.88,68.33,0.1204,0.896,0.995,0.256,37.48,35.9,0.008118,False,True
finish_rule,99,0,fail_quality_regression,2,60.02,69.89,0.1468,1.881,1.914,0.927,41.69,35.9,0.008118,False,True
finish_rule,1,0,fail_quality_regression,3,55.02,63.97,0.1598,1.305,1.759,0.363,36.31,35.9,0.008118,False,True
finish_rule,2,0,fail_quality_regression,3,51.5,67.81,0.1261,1.244,1.457,0.379,38.31,35.9,0.008119,False,True
finish_rule,5,0,fail_quality_regression,3,50.47,67.93,0.1776,1.401,1.505,0.299,39.38,35.9,0.008118,False,True
finish_rule,16,0,success,3,47.72,70.11,0.1858,1.419,1.764,0.43,46.28,35.9,0.008119,True,True
finish_rule,19,0,fail_quality_regression,3,51.81,68.97,0.1828,1.486,1.601,0.307,42.01,35.9,0.008118,False,True
finish_rule,27,0,fail_quality_regression,3,53.1,67.69,0.1409,1.268,1.491,0.59,37.25,35.9,0.008118,False,True
finish_rule,35,0,fail_quality_regression,3,47.67,68.37,0.1581,1.367,1.568,0.437,39.56,35.9,0.008118,False,True
finish_rule,37,0,fail_quality_regression,3,52.3,64.3,0.1765,1.88,1.829,0.787,36.98,35.9,0.008118,False,True
finish_rule,40,0,fail_quality_regression,3,51.08,67.28,0.1686,1.423,1.725,0.492,38.21,35.9,0.008118,False,True
finish_rule,42,0,success,3,58.2,70.07,0.1736,1.847,1.942,0.517,46.28,35.9,0.008118,True,True
finish_rule,45,0,fail_quality_regression,3,47.88,67.89,0.1931,1.631,1.74,0.383,40.09,35.9,0.008117,False,True
finish_rule,48,0,fail_quality_regression,3,50.68,65.74,0.2058,1.603,1.737,0.344,38.88,35.9,0.008118,False,True
finish_rule,54,0,fail_no_improvement,3,51.15,68.67,0.2143,1.465,1.65,0.192,41.24,35.9,0.008118,False,True
finish_rule,56,0,fail_quality_regression,3,52.94,63.45,0.1687,1.372,1.702,0.284,36.35,35.9,0.008118,False,True
finish_rule,60,0,fail_quality_regression,3,50.63,63.58,0.2182,1.708,1.846,0.407,37.04,35.9,0.009815,False,True
finish_rule,66,0,fail_quality_regression,3,51.05,66.62,0.2024,1.464,1.614,0.201,37.94,35.9,0.008118,False,True
finish_rule,68,0,fail_quality_regression,3,47.79,69.21,0.1975,1.55,1.836,0.533,45.15,35.9,0.008118,False,True
finish_rule,72,0,fail_quality_regression,3,42.81,66.58,0.2039,1.529,1.755,0.415,39.53,35.9,0.008909,False,True
finish_rule,76,0,fail_quality_regression,3,49.01,66.93,0.1913,1.453,1.424,0.285,38.69,35.9,0.008118,False,True
finish_rule,79,0,fail_quality_regression,3,48.64,62.89,0.2137,1.638,1.751,0.326,36.43,35.9,0.008117,False,True
finish_rule,82,0,fail_quality_regression,3,46.68,67.21,0.1679,1.409,1.611,0.266,39.51,35.9,0.008119,False,True
finish_rule,87,0,fail_quality_regression,3,54.17,67.68,0.1432,1.148,1.396,0.191,37.58,35.9,0.008118,False,True
finish_rule,88,0,fail_quality_regression,3,51.84,67.99,0.1712,1.374,1.664,0.414,40.69,35.9,0.008118,False,True
finish_rule,96,0,fail_quality_regression,3,55.15,66.46,0.1761,1.355,1.598,0.434,36.62,35.9,0.008119,False,True
