checkpoint,env,sequence,pass,decision,base_force_n,force_cmd_mean_n,force_used_mean_n,force_used_max_n,force_action_mean,feed_cmd_mean_mm_s,feed_action_mean,fallback_steps,gu_before,gu_after,ra_before_um,ra_after_um,rz_before_um,rz_after_um,scratch_before_um,scratch_after_um,clearcoat_before_um,clearcoat_after_um,clearcoat_removed_um,clearcoat_budget_um,temperature_peak_c,thermal_damage_peak,shortfall_ratio,removal_per_force_um_n,desired_extra_force_n,max_extra_force_n,next_base_force_n,quality_ok,safety_ok
zero_action,0,0,1,continue,5.7779998779296875,5.777801513671875,5.659204483032227,6.929259300231934,0.0,5.945709068328142,0.0,0,48.02341013137734,60.23837807593848,0.24843911861113557,0.18474126334165325,2.2405000130120296,1.9636751428250276,1.8293398482433674,1.4203666062081977,40.0,38.26891467023459,1.7310853297654134,3.2689146702345866,35.902777350518114,0.00811760363271898,0.13945174177230746,0.3058884574599945,1.367672480324423,4.148292095658893,7.145672480324422,False,True
zero_action,0,0,2,fail_clearcoat_budget,7.14567232131958,7.145941257476807,6.998597621917725,8.295906066894531,0.0,5.945709068328142,0.0,0,60.23837807593848,60.471864296737046,0.18474126334165325,0.1929713736934702,1.9636751428250276,1.7811507239935334,1.4203666062081977,0.7853084427655523,38.26891467023459,36.40902443553734,1.8598902346972466,1.40902443553734,38.94484837773898,0.07298678988318669,0.13611622433232792,0.2657518456086932,,,,False,True
zero_action,1,0,1,continue,5.7779998779296875,5.777801513671875,5.659210205078125,6.928853988647461,0.0,5.945709068328142,0.0,0,55.020578814320324,66.77232996935658,0.17001379147716275,0.14517823154415901,1.856739630255628,1.4511940696970158,1.7586347776790008,1.062744119179014,40.0,38.27713218178231,1.7228678182176935,3.2771321817823065,35.902816751831146,0.00811840058863595,0.046109571866334624,0.3044360883912262,0.4543768655352046,4.195074862941621,6.232376865535204,False,True
zero_action,1,0,2,fail_clearcoat_budget,6.232377052307129,6.232419967651367,6.104213714599609,7.384133338928223,0.0,5.945709068328142,0.0,0,66.77232996935658,65.23234296707399,0.14517823154415901,0.15868533124980033,1.4511940696970158,1.274021452549767,1.062744119179014,0.44025465978874,38.27713218178231,36.6607847713369,1.6163474104454068,1.6607847713368997,36.91203194317836,0.03225291774438057,0.06810938618465728,0.2647920741338964,,,,False,True
zero_action,4,0,1,continue,5.7779998779296875,5.777801513671875,5.659203052520752,6.929129600524902,0.0,5.945709068328142,0.0,0,55.123352586070986,65.60068422115613,0.21899351422999247,0.1690877871806919,2.317362662835538,1.9889209193309474,1.7328878054683368,1.3217652212776798,40.0,38.57243107076552,1.4275689292344822,3.572431070765518,35.9027813643416,0.008117661560118209,0.06284736826919815,0.2522561774132856,0.7474231423823379,6.233469034890332,6.525423142382337,False,True
zero_action,4,0,2,fail_clearcoat_budget,6.525423049926758,6.525392055511475,6.391195297241211,7.676413536071777,0.0,5.945709068328142,0.0,0,65.60068422115613,66.7008662525598,0.1690877871806919,0.1827276987451674,1.9889209193309474,1.68281328290196,1.3217652212776798,0.8007834359155472,38.57243107076552,36.94702486410724,1.6254062066582762,1.9470248641072416,37.565410010846975,0.044291679011810664,0.04713048210628849,0.2543195961105883,,,,False,True
zero_action,6,0,1,continue,5.7779998779296875,5.777801513671875,5.659213542938232,6.927704811096191,0.0,5.945709068328142,0.0,0,59.38847384926092,69.41160324315558,0.11913804565857165,0.11511213066081602,1.7897708221853352,1.323667960863332,1.5363848000238132,0.9414675765358309,40.0,38.57505092698015,1.424949073019853,3.575050926980147,35.90275158848963,0.008117174047671826,0.008405667954920253,0.25179277336123057,0.1001498316577322,6.255346036959229,5.878149831657732,False,True
zero_action,6,0,2,continue,5.87814998626709,5.878378868103027,5.757279872894287,7.028101921081543,0.0,5.945709068328142,0.0,0,69.41160324315558,67.52234539849202,0.11511213066081602,0.13392773041110506,1.323667960863332,0.9995039491554223,0.9414675765358309,0.2561967269379717,38.57505092698015,37.29834708317214,1.2767038438080078,2.298347083172139,36.12457990021799,0.019448390566179367,0.03539506573582827,0.22175469527177702,0.47884080685347785,1.345392406715413,6.256840806853478,False,True
zero_action,6,0,3,fail_clearcoat_budget,6.256840705871582,6.257284641265869,6.12815523147583,7.4087233543396,0.0,5.945709068328142,0.0,0,67.52234539849202,62.176716846055285,0.13392773041110506,0.16468341996517344,0.9995039491554223,1.289222074437593,0.2561967269379717,0.10686065555444735,37.29834708317214,35.909352413121695,1.3889946700504439,0.9093524131216952,36.966562084785295,0.044547051413818275,0.11176118791349593,0.22665787950608676,,,,False,True
zero_action,7,0,1,continue,5.7779998779296875,5.777801513671875,5.659202575683594,6.928811073303223,0.0,5.945709068328142,0.0,0,60.546253284184225,68.19597571701894,0.1499052373540658,0.13889263371813074,2.115461447187254,1.7334805795371897,1.918805535884012,1.3630039471759017,40.58332885215803,39.56151086462845,1.0218179875295803,4.561510864628453,35.90277463842602,0.00811824616045783,0.025771775471158012,0.18055865183552852,0.42820061862170317,14.18658612361451,6.206200618621703,False,True
zero_action,7,0,2,continue,6.20620059967041,6.20652437210083,6.078562259674072,7.3583784103393555,0.0,5.945709068328142,0.0,0,68.19597571701894,68.42728824077685,0.13889263371813074,0.16269142351474436,1.7334805795371897,1.4092804183169774,1.3630039471759017,0.7083573007186774,39.56151086462845,38.21332076936915,1.348190095259305,3.2133207693691475,36.85365247052452,0.031233114530937155,0.02246731084604505,0.22179423976675597,0.3038939722195518,5.470479173152126,6.081893972219551,False,True
