checkpoint,env,sequence,pass,decision,base_force_n,force_cmd_mean_n,force_used_mean_n,force_used_max_n,force_action_mean,feed_cmd_mean_mm_s,feed_action_mean,fallback_steps,gu_before,gu_after,ra_before_um,ra_after_um,rz_before_um,rz_after_um,scratch_before_um,scratch_after_um,clearcoat_before_um,clearcoat_after_um,clearcoat_removed_um,clearcoat_budget_um,temperature_peak_c,thermal_damage_peak,shortfall_ratio,removal_per_force_um_n,desired_extra_force_n,max_extra_force_n,next_base_force_n,quality_ok,safety_ok
finish_rule,0,0,1,continue,5.7779998779296875,5.777801513671875,5.659215927124023,6.92963981628418,0.0,5.945709068328142,0.0,0,48.02341013137734,60.238371721815454,0.24843911861113557,0.18474196090944753,2.2405000130120296,1.963621951162072,1.8293398482433674,1.420370785917227,40.0,38.268906624513086,1.731093375486914,3.268906624513086,35.90281035846833,0.008118284153765847,0.1394518325454935,0.30588926059349786,1.3676697796606896,4.148254901303516,7.14566977966069,False,True
finish_rule,0,0,2,fail_infeasible,7.145669937133789,6.074045181274414,5.905879020690918,7.297781467437744,-0.4999999701976776,7.999825291335583,0.6908990144729614,0,60.238371721815454,62.420752238046525,0.18474196090944753,0.18186212095395451,1.963621951162072,1.8182527878202093,1.420370785917227,0.9947896515211136,38.268906624513086,37.11099908602294,1.157907538490143,2.110999086022943,35.90281035846833,0.008118284153765847,0.10827496802790679,0.19606015199997806,1.6567614620831095,0.5661481177621217,,False,True
finish_rule,1,0,1,continue,5.7779998779296875,5.777801513671875,5.65920877456665,6.929029941558838,0.0,5.945709068328142,0.0,0,55.020578814320324,66.77240555376672,0.17001379147716275,0.14517670454625395,1.856739630255628,1.451191998444302,1.7586347776790008,1.0627451417645144,40.0,38.27713304717022,1.7228669528297829,3.277133047170217,35.90277945830263,0.008118115967479468,0.0461084920890469,0.304436012428559,0.45436633847515356,4.1950787522876185,6.2323663384751535,False,True
finish_rule,1,0,2,fail_no_improvement,6.232366561889648,5.297544002532959,5.151113033294678,6.5218400955200195,-0.4999999701976776,7.999825291335583,0.6908990144729614,0,66.77240555376672,66.79025558038553,0.14517670454625395,0.14805057232824403,1.451191998444302,1.2939624101161658,1.0627451417645144,0.687509139200432,38.27713304717022,37.280844006281136,0.9962890408890814,2.2808440062811357,35.90277945830263,0.008118115967479468,0.045853491708778095,0.19341238183854217,,,,False,True
finish_rule,3,0,1,continue,5.7779998779296875,5.777801513671875,5.659215927124023,6.92963981628418,0.0,5.945709068328142,0.0,0,49.702368148844236,63.804338609593934,0.2671390946084944,0.20061149558967759,2.2385700257400636,1.8694451209801244,1.6342579647181317,1.112858193402128,44.75338184964393,44.100541104044986,0.6528407455989438,9.100541104044986,35.90281035846833,0.008118284153765847,0.08850944843437238,0.11535886843793097,2.3017592743290916,61.55175757350154,8.079759274329092,False,True
finish_rule,3,0,2,fail_quality_regression,8.07975959777832,6.867682456970215,6.677775859832764,8.095780372619629,-0.4999999701976776,7.999825291335583,0.6908990144729614,0,63.804338609593934,68.5775967994142,0.20061149558967759,0.20722308557066477,1.8694451209801244,1.656473309600225,1.112858193402128,0.6198355594358338,44.100541104044986,43.374657417032346,0.7258836870126402,8.374657417032346,36.03526826085525,0.014840128419179385,0.03611542785332378,0.10870141529889848,,,,False,True
finish_rule,6,0,1,continue,5.7779998779296875,5.777801513671875,5.659211158752441,6.928569793701172,0.0,5.945709068328142,0.0,0,59.38847384926092,69.41158944406361,0.11913804565857165,0.11511306562429648,1.7897708221853352,1.3236665377087067,1.5363848000238132,0.9414707746952666,40.0,38.57504525774104,1.4249547422589615,3.5750452577410385,35.9027307710548,0.008117378879739573,0.008405865084805595,0.2517938812117216,0.10015173972084135,6.2552959990979975,5.878151739720841,False,True
finish_rule,6,0,2,fail_quality_regression,5.878151893615723,4.996273517608643,4.8583807945251465,6.221167087554932,-0.4999999701976776,7.999825291335583,0.6908990144729614,0,69.41158944406361,68.7560896366885,0.11511306562429648,0.12302499232996089,1.3236665377087067,1.1083184736644642,0.9414707746952666,0.500741861106563,38.57504525774104,37.736919829526244,0.838125428214795,2.7369198295262436,35.9027307710548,0.008117378879739573,0.017770148047307137,0.17251126736695258,,,,False,True
finish_rule,8,0,1,continue,5.7779998779296875,5.777801513671875,5.659213066101074,6.927976608276367,0.0,5.945709068328142,0.0,0,60.874485077091805,67.4406935520389,0.15086253842507918,0.1369397546815743,1.9896241420350942,1.5679772255495696,1.7256661213717215,1.0113667262972175,40.0,38.26206717175758,1.7379328282424211,3.262067171757579,35.90276909539096,0.008117781874659733,0.03656152068515865,0.3070979671454168,0.3571647284904957,4.1096565486542795,6.135164728490495,False,True
finish_rule,8,0,2,fail_no_improvement,6.135164737701416,5.214846611022949,5.070786952972412,6.440145969390869,-0.4999999701976776,7.999825291335583,0.6908990144729614,0,67.4406935520389,67.36660855695273,0.1369397546815743,0.1498684999614714,1.5679772255495696,1.4376516886589261,1.0113667262972175,0.6320681083973669,38.26206717175758,37.276265860439764,0.9858013113178146,2.2762658604397643,35.90276909539096,0.008117781874659733,0.037619877757818186,0.1944079529391299,,,,False,True
