checkpoint,env,sequence,outcome,passes,gu_before,gu_final,ra_final_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_min_um,temperature_peak_c,thermal_damage_peak,quality_ok,safety_ok
model_700.pt,4,0,fail_clearcoat_budget,2,55.12,61.27,0.2025,1.637,1.733,0.318,35.71,42.93,0.292036,False,True
model_700.pt,1,0,fail_clearcoat_budget,2,55.02,54.66,0.2089,1.537,1.759,0.163,35.09,44.0,0.333316,False,True
model_700.pt,2,0,fail_infeasible,2,51.5,61.64,0.2132,1.65,1.457,0.249,37.2,44.22,0.357094,False,True
model_700.pt,0,0,fail_clearcoat_budget,2,48.02,47.05,0.2388,1.775,1.829,0.562,35.01,41.86,0.205801,False,True
model_700.pt,7,0,fail_clearcoat_budget,2,60.55,63.27,0.2106,1.507,1.919,0.22,36.71,42.3,0.304193,False,True
model_700.pt,6,0,fail_clearcoat_budget,2,59.39,58.62,0.2088,1.449,1.536,0.179,35.52,42.34,0.297916,False,True
model_700.pt,3,0,fail_infeasible,3,49.7,46.2,0.4678,3.395,1.634,0.129,37.36,51.4,1.02143,False,True
model_700.pt,5,0,fail_clearcoat_budget,3,50.47,49.32,0.359,2.77,1.505,0.077,35.25,45.84,0.66247,False,True
