checkpoint,env,sequence,outcome,disposition,passes,best_observed_pass,best_observed_gu,gu_before,gu_final,ra_final_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_min_um,temperature_peak_c,thermal_damage_peak,quality_ok,safety_ok
finish_rule,44,0,success,success,2,2,72.52,46.52,72.52,0.1418,1.064,1.085,0.208,40.69,35.9,0.008118,True,True
finish_rule,46,0,success,success,2,2,70.61,55.13,70.61,0.1812,1.919,1.883,0.9,40.09,35.9,0.008118,True,True
finish_rule,48,0,fail_finish_not_eligible,best_safe_result_current_process_limit,2,2,68.46,46.67,68.46,0.2037,1.655,1.737,0.668,39.85,35.9,0.009419,False,True
finish_rule,49,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,68.6,54.26,68.6,0.1913,1.832,1.791,0.977,37.35,35.9,0.008118,False,True
finish_rule,50,0,fail_finish_not_eligible,best_safe_result_current_process_limit,2,2,68.75,51.09,68.75,0.2124,1.795,1.954,0.672,37.1,35.9,0.008118,False,True
finish_rule,52,0,success,success,2,2,72.12,56.74,72.12,0.1376,1.509,1.498,0.789,39.32,35.9,0.008118,True,True
finish_rule,53,0,success,success,2,2,70.94,49.75,70.94,0.1634,1.474,1.483,0.552,37.61,35.9,0.008118,True,True
finish_rule,54,0,fail_finish_not_eligible,best_safe_result_current_process_limit,2,2,70.29,47.53,70.29,0.2104,1.488,1.65,0.48,42.18,35.9,0.008118,False,True
finish_rule,55,0,success,success,2,2,70.08,46.47,70.08,0.1864,1.689,1.706,0.769,38.02,35.9,0.008117,True,True
finish_rule,56,0,success,success,2,2,71.65,49.86,71.65,0.1542,1.427,1.702,0.661,37.36,35.9,0.008118,True,True
finish_rule,57,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,69.95,45.82,69.95,0.1767,1.652,1.745,0.794,42.97,35.9,0.008118,False,True
finish_rule,58,0,success,success,2,2,71.58,49.99,71.58,0.1405,1.537,1.747,0.714,37.08,35.9,0.008118,True,True
finish_rule,59,0,success,success,2,2,70.69,47.64,70.69,0.172,1.542,1.712,0.737,39.2,35.9,0.008118,True,True
finish_rule,60,0,fail_finish_not_eligible,best_safe_result_current_process_limit,2,2,67.91,47.03,67.91,0.2149,1.796,1.846,0.726,38.09,35.9,0.01171,False,True
finish_rule,61,0,success,success,2,2,70.93,48.55,70.93,0.1466,1.397,1.819,0.621,37.41,35.9,0.008118,True,True
finish_rule,62,0,success,success,2,2,71.89,52.23,71.89,0.1514,1.335,1.69,0.798,38.59,35.9,0.008118,True,True
finish_rule,63,0,success,success,2,2,71.15,49.1,71.15,0.1491,1.539,1.907,0.733,37.32,35.9,0.008118,True,True
finish_rule,64,0,success,success,2,2,72.48,52.38,72.48,0.1457,1.497,1.664,0.639,40.18,35.9,0.008118,True,True
finish_rule,65,0,success,success,2,2,70.64,55.01,70.64,0.1519,1.493,1.526,0.727,37.39,35.9,0.008118,True,True
finish_rule,66,0,success,success,2,2,70.12,47.17,70.12,0.1938,1.515,1.614,0.492,38.85,35.9,0.008118,True,True
finish_rule,67,0,success,success,2,2,72.28,59.28,72.28,0.1491,1.457,1.656,0.697,37.61,35.9,0.008118,True,True
finish_rule,68,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,68.97,43.64,68.97,0.1909,1.634,1.836,0.661,45.99,35.9,0.009194,False,True
finish_rule,69,0,success,success,2,2,70.85,51.6,70.85,0.1795,1.525,1.642,0.56,45.1,35.9,0.008118,True,True
finish_rule,70,0,success,success,2,2,71.25,56.98,71.25,0.1596,1.428,1.48,0.592,38.96,35.9,0.008117,True,True
finish_rule,71,0,success,success,2,2,71.97,49.38,71.97,0.1398,1.489,1.914,0.759,41.36,35.9,0.008117,True,True
finish_rule,73,0,success,success,2,2,72.72,52.78,72.72,0.1374,1.259,1.339,0.499,39.41,35.9,0.008118,True,True
finish_rule,74,0,success,success,2,2,70.59,55.51,70.59,0.1752,1.734,1.897,0.899,41.89,35.9,0.008118,True,True
finish_rule,75,0,success,success,2,2,72.11,58.12,72.11,0.1291,1.6,1.906,0.981,38.52,35.9,0.008118,True,True
finish_rule,76,0,success,success,2,2,70.29,44.86,70.29,0.1816,1.529,1.424,0.505,39.64,35.9,0.008118,True,True
finish_rule,77,0,success,success,2,2,70.07,48.59,70.07,0.1862,1.657,1.803,0.756,39.75,35.9,0.008117,True,True
finish_rule,78,0,success,success,2,2,72.92,54.92,72.92,0.1399,1.487,1.449,0.562,37.36,35.9,0.008117,True,True
finish_rule,79,0,fail_finish_not_eligible,best_safe_result_current_process_limit,2,2,68.26,44.45,68.26,0.2079,1.743,1.751,0.727,37.44,35.9,0.008117,False,True
finish_rule,80,0,success,success,2,2,70.74,51.44,70.74,0.1682,1.437,1.828,0.599,39.87,35.9,0.008118,True,True
finish_rule,81,0,success,success,2,2,72.52,49.01,72.52,0.1409,1.24,1.355,0.532,47.28,35.9,0.008118,True,True
finish_rule,82,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,69.44,42.35,69.44,0.1585,1.455,1.611,0.558,40.43,35.9,0.008119,False,True
finish_rule,83,0,success,success,2,2,70.08,42.81,70.08,0.1704,1.626,1.864,0.796,40.82,35.9,0.008119,True,True
finish_rule,84,0,success,success,2,2,72.01,49.6,72.01,0.1453,1.436,1.739,0.719,38.94,35.9,0.008118,True,True
finish_rule,85,0,success,success,2,2,71.89,54.97,71.89,0.1324,1.515,1.744,0.82,38.8,35.9,0.008118,True,True
finish_rule,86,0,success,success,2,2,71.57,53.45,71.57,0.1527,1.492,1.675,0.798,37.56,35.9,0.008119,True,True
finish_rule,87,0,success,success,2,2,73.05,51.21,73.05,0.1276,1.085,1.396,0.418,38.52,35.9,0.008118,True,True
finish_rule,88,0,success,success,2,2,70.05,47.8,70.05,0.16,1.49,1.664,0.656,41.57,35.9,0.008118,True,True
finish_rule,89,0,success,success,2,2,70.94,54.78,70.94,0.1588,1.594,1.437,0.74,37.25,35.9,0.008118,True,True
finish_rule,90,0,fail_quality_regression,best_safe_result_current_process_limit,2,2,69.86,50.98,69.86,0.1567,1.821,1.937,0.926,44.7,35.9,0.008118,False,True
finish_rule,92,0,success,success,2,2,71.04,43.58,71.04,0.162,1.365,1.509,0.537,44.79,35.9,0.008119,True,True
finish_rule,95,0,success,success,2,2,71.42,47.73,71.42,0.1552,1.413,1.496,0.616,39.63,35.9,0.008118,True,True
finish_rule,96,0,success,success,2,2,71.82,51.83,71.82,0.1672,1.45,1.598,0.731,37.59,35.9,0.008119,True,True
finish_rule,99,0,success,success,2,2,71.72,58.16,71.72,0.1469,1.881,1.914,0.925,41.69,35.9,0.008118,True,True
finish_rule,0,0,success,success,3,3,70.31,44.05,70.31,0.1827,1.711,1.829,0.793,36.36,35.9,0.008118,True,True
finish_rule,16,0,success,success,3,3,71.46,43.34,71.46,0.1845,1.435,1.764,0.478,46.42,35.9,0.008119,True,True
finish_rule,37,0,success,success,3,3,70.88,48.53,70.88,0.1713,1.875,1.829,0.819,37.26,35.9,0.008118,True,True
finish_rule,42,0,success,success,3,3,71.33,55.06,71.33,0.1713,1.857,1.942,0.579,46.44,35.9,0.008118,True,True
finish_rule,45,0,success,success,3,3,71.04,43.6,71.04,0.1912,1.637,1.74,0.429,40.27,35.9,0.008117,True,True
finish_rule,72,0,fail_max_passes,best_safe_result_current_process_limit,3,3,70.33,38.08,70.33,0.2016,1.535,1.755,0.449,39.71,35.9,0.013176,False,True
finish_rule,91,0,fail_max_passes,best_safe_result_current_process_limit,3,3,70.21,46.72,70.21,0.2013,1.505,1.893,0.45,36.33,35.9,0.008118,False,True
