criterion,passed,candidate_value,required_or_champion_value
candidate_safety_64_of_64,True,64,64
candidate_sensor_fault_steps_zero,True,0,0
quality_pass_not_below_champion,True,52,48
all4_cell_area_not_below_champion,True,94.30796875,93.78421875
tiles_all4_area_100pct_not_below_champion,True,1152,1141
tiles_all4_area_ge95pct_not_below_champion,True,1252,1225
tiles_all4_area_ge90pct_not_below_champion,True,1294,1273
tiles_all4_area_ge80pct_not_below_champion,True,1403,1370
mean_control_steps_increase_pct_le40,False,40.63178394990039,40.0
candidate_same_seed_repeat_exact_csv_match,True,1,1
